Date,Country,Streams,TEMP,Indicators
01/01/2017,do,194359,26,0 1 0 0 0 0
02/01/2017,do,191221,26,0 0 0 0 0 0
03/01/2017,do,203786,26,0 0 0 0 0 0
04/01/2017,do,208579,26,0 1 0 0 0 0
05/01/2017,do,210304,23,0 0 0 0 0 0
06/01/2017,do,221587,24,0 0 0 0 0 0
07/01/2017,do,235431,26,0 0 0 0 0 0
08/01/2017,do,220323,24,0 1 0 0 0 0
09/01/2017,do,210631,24,0 0 0 0 0 0
10/01/2017,do,200451,23,0 1 0 0 0 0
11/01/2017,do,203177,25,0 1 0 0 0 0
12/01/2017,do,208787,24,0 1 0 0 0 0
13/01/2017,do,221797,24,0 1 0 0 0 0
14/01/2017,do,236396,25,0 1 0 0 0 0
15/01/2017,do,225380,24,0 1 0 0 0 0
16/01/2017,do,212782,25,0 0 0 0 0 0
17/01/2017,do,217142,26,0 1 0 0 0 0
18/01/2017,do,221603,24,0 1 0 0 0 0
19/01/2017,do,227617,21,0 0 0 0 0 0
20/01/2017,do,237719,22,0 0 0 0 0 0
21/01/2017,do,250985,21,0 1 0 0 0 0
22/01/2017,do,231435,22,0 0 0 0 0 0
23/01/2017,do,221489,21,0 0 0 0 0 0
24/01/2017,do,230928,26,0 0 0 0 0 0
25/01/2017,do,229620,23,0 1 0 0 0 0
26/01/2017,do,236689,24,0 0 0 0 0 0
27/01/2017,do,246611,24,0 0 0 0 0 0
28/01/2017,do,269058,24,0 0 0 0 0 0
29/01/2017,do,234321,25,0 0 0 0 0 0
30/01/2017,do,246888,24,0 0 0 0 0 0
31/01/2017,do,228005,25,0 1 0 0 0 0
01/02/2017,do,235868,25,0 1 0 0 0 0
02/02/2017,do,239940,24,0 1 0 0 0 0
03/02/2017,do,256124,25,0 0 0 0 0 0
04/02/2017,do,275698,26,0 0 0 0 0 0
05/02/2017,do,251114,25,0 0 0 0 0 0
06/02/2017,do,224113,25,0 1 0 0 0 0
07/02/2017,do,230018,26,0 0 0 0 0 0
08/02/2017,do,237715,26,0 1 0 0 0 0
09/02/2017,do,243668,25,0 0 0 0 0 0
10/02/2017,do,261323,24,0 0 0 0 0 0
11/02/2017,do,272568,26,0 0 0 0 0 0
12/02/2017,do,245112,25,0 1 0 0 0 0
13/02/2017,do,221216,24,0 1 0 0 0 0
14/02/2017,do,233627,22,0 1 0 0 0 0
15/02/2017,do,234083,24,0 0 0 0 0 0
16/02/2017,do,238904,25,0 0 0 0 0 0
17/02/2017,do,255592,23,0 0 0 0 0 0
