Date,Country,Streams,TEMP,Indicators
01/01/2017,ec,364275,28,0 1 0 0 0 0
02/01/2017,ec,324550,30,0 0 0 0 0 0
03/01/2017,ec,353082,29,0 0 0 0 0 0
04/01/2017,ec,362167,28,0 1 0 0 0 0
05/01/2017,ec,356783,27,0 1 0 0 0 0
06/01/2017,ec,370292,27,0 1 0 0 0 0
07/01/2017,ec,399342,28,0 1 0 0 0 0
08/01/2017,ec,373715,25,0 1 0 0 0 0
09/01/2017,ec,340738,26,0 1 0 0 0 0
10/01/2017,ec,340145,25,0 1 0 0 0 0
11/01/2017,ec,361535,27,0 0 0 0 0 0
12/01/2017,ec,360622,27,0 0 0 0 0 0
13/01/2017,ec,382549,27,0 1 0 0 0 0
14/01/2017,ec,412530,26,0 1 0 0 0 0
15/01/2017,ec,371927,26,0 1 0 0 0 0
16/01/2017,ec,371060,28,0 0 0 0 0 0
17/01/2017,ec,391751,28,0 0 0 0 0 0
18/01/2017,ec,404233,27,0 0 0 0 0 0
19/01/2017,ec,414636,28,0 0 0 0 0 0
20/01/2017,ec,423363,26,0 1 0 0 0 0
21/01/2017,ec,451334,26,0 1 0 0 0 0
22/01/2017,ec,450616,29,0 0 0 0 0 0
23/01/2017,ec,416796,28,0 1 0 0 0 0
24/01/2017,ec,455057,29,0 1 0 0 0 0
25/01/2017,ec,455651,27,0 1 0 0 0 0
26/01/2017,ec,441513,26,0 1 0 0 0 0
27/01/2017,ec,463583,26,0 1 0 0 0 0
28/01/2017,ec,505698,27,0 1 0 0 0 0
29/01/2017,ec,446392,26,0 1 0 0 0 0
30/01/2017,ec,411610,25,0 1 0 0 1 0
31/01/2017,ec,440254,27,0 1 0 0 1 0
01/02/2017,ec,448615,27,0 1 0 0 1 0
02/02/2017,ec,458172,26,0 1 0 0 0 0
03/02/2017,ec,478400,26,0 1 0 0 0 0
04/02/2017,ec,504618,26,0 1 0 0 1 0
05/02/2017,ec,442090,27,0 1 0 0 1 0
06/02/2017,ec,412100,27,0 1 0 0 0 0
07/02/2017,ec,446478,27,0 1 0 0 1 0
08/02/2017,ec,453942,27,0 1 0 0 0 0
09/02/2017,ec,452730,27,0 1 0 0 1 0
10/02/2017,ec,480155,27,0 1 0 0 1 0
11/02/2017,ec,490560,28,0 1 0 0 1 0
12/02/2017,ec,430372,28,0 1 0 0 1 0
13/02/2017,ec,404942,28,0 0 0 0 0 0
14/02/2017,ec,416740,28,0 1 0 0 0 0
15/02/2017,ec,426528,28,0 1 0 0 1 0
16/02/2017,ec,434370,27,0 1 0 0 1 0
17/02/2017,ec,448752,27,0 1 0 0 1 0
18/02/2017,ec,488042,28,0 0 0 0 0 0
19/02/2017,ec,381548,28,0 0 0 0 1 0
20/02/2017,ec,343915,27,0 1 0 0 1 0
21/02/2017,ec,397022,28,0 1 0 1 1 0
22/02/2017,ec,404372,26,0 1 0 0 0 0
23/02/2017,ec,433467,28,0 1 0 0 0 0
24/02/2017,ec,465528,28,0 1 0 0 0 0
25/02/2017,ec,482988,27,0 1 0 0 0 0
26/02/2017,ec,400293,27,0 1 0 0 1 0
27/02/2017,ec,380130,27,0 1 0 0 1 0
28/02/2017,ec,392157,28,0 1 0 0 1 0
01/03/2017,ec,401095,27,0 1 0 0 1 0
02/03/2017,ec,413293,27,0 1 0 0 1 0
03/03/2017,ec,427235,27,0 1 0 0 0 0
04/03/2017,ec,448391,27,0 1 0 0 0 0
05/03/2017,ec,412538,28,0 1 0 0 1 0
06/03/2017,ec,395605,27,0 1 0 0 1 0
07/03/2017,ec,405548,26,0 1 0 0 1 0
08/03/2017,ec,410920,27,0 1 0 0 0 0
