Date,Country,Streams,TEMP,Indicators
01/01/2017,ee,24405,3,1 1 1 0 0 0
02/01/2017,ee,45974,-2,0 0 1 0 0 0
03/01/2017,ee,54699,-5,0 0 1 0 0 0
04/01/2017,ee,50370,-10,0 0 1 0 0 0
05/01/2017,ee,48501,-12,0 0 1 0 0 0
06/01/2017,ee,65856,-13,0 0 1 0 0 0
07/01/2017,ee,51458,-9,0 0 1 0 0 0
08/01/2017,ee,48273,-1,0 0 1 0 0 0
09/01/2017,ee,57532,1,0 1 1 0 0 0
10/01/2017,ee,60064,1,0 1 0 0 0 0
11/01/2017,ee,60160,-4,0 0 0 0 0 0
12/01/2017,ee,67159,-4,0 0 1 0 0 0
13/01/2017,ee,84786,1,0 1 1 0 0 0
14/01/2017,ee,71208,0,0 0 1 0 0 0
15/01/2017,ee,63804,-1,0 1 1 0 0 0
16/01/2017,ee,66520,-4,0 0 1 0 0 0
17/01/2017,ee,69421,-3,0 0 1 0 0 0
18/01/2017,ee,64611,0,0 1 1 0 0 0
19/01/2017,ee,66763,2,0 1 0 0 0 0
20/01/2017,ee,79316,1,1 1 1 0 0 0
21/01/2017,ee,69030,0,0 0 0 0 0 0
22/01/2017,ee,69535,2,0 1 0 1 0 0
23/01/2017,ee,64480,1,0 1 0 0 0 0
24/01/2017,ee,65293,-1,0 1 1 0 0 0
25/01/2017,ee,61482,-5,0 0 1 0 0 0
26/01/2017,ee,68042,2,0 1 1 0 0 0
27/01/2017,ee,82029,0,1 0 0 0 0 0
28/01/2017,ee,70240,0,1 1 0 0 0 0
29/01/2017,ee,67607,0,1 1 1 0 0 0
30/01/2017,ee,61027,1,0 1 1 0 0 0
31/01/2017,ee,71600,1,0 1 1 0 0 0
01/02/2017,ee,68712,0,0 1 1 0 0 0
02/02/2017,ee,66893,-2,0 1 1 0 0 0
03/02/2017,ee,77042,-1,1 1 1 0 0 0
04/02/2017,ee,65128,-1,0 1 1 0 0 0
05/02/2017,ee,75872,-2,0 1 1 0 0 0
06/02/2017,ee,66469,-9,0 0 1 0 0 0
07/02/2017,ee,67715,-14,0 0 0 0 0 0
08/02/2017,ee,64513,-10,1 0 0 0 0 0
09/02/2017,ee,61901,-10,1 0 1 0 0 0
10/02/2017,ee,75069,-10,1 0 1 0 0 0
11/02/2017,ee,63728,-7,1 0 0 0 0 0
12/02/2017,ee,71870,-3,0 0 1 0 0 0
13/02/2017,ee,67797,1,0 0 0 0 0 0
14/02/2017,ee,68921,3,0 0 0 0 0 0
15/02/2017,ee,63427,-1,1 0 0 0 0 0
16/02/2017,ee,63479,0,0 1 0 0 0 0
17/02/2017,ee,76917,1,1 1 0 0 0 0
18/02/2017,ee,68176,2,0 0 0 0 0 0
19/02/2017,ee,69171,3,0 1 1 0 0 0
20/02/2017,ee,68076,2,1 1 1 0 0 0
21/02/2017,ee,76017,-1,0 1 1 0 0 0
22/02/2017,ee,70222,-5,0 0 1 0 0 0
23/02/2017,ee,93074,0,0 1 1 0 0 0
24/02/2017,ee,57171,-3,0 0 1 0 0 0
25/02/2017,ee,65079,-4,0 0 1 0 0 0
26/02/2017,ee,70585,-1,1 1 1 0 0 0
27/02/2017,ee,69696,0,0 1 1 0 0 0
28/02/2017,ee,76425,4,1 1 0 0 0 0
01/03/2017,ee,82688,2,0 1 1 0 0 0
02/03/2017,ee,87429,2,0 1 0 0 0 0
03/03/2017,ee,115733,1,0 1 1 0 0 0
04/03/2017,ee,93401,0,0 1 1 0 0 0
05/03/2017,ee,102049,-4,0 0 0 0 0 0
06/03/2017,ee,99791,-3,0 0 0 0 0 0
07/03/2017,ee,96930,-3,0 1 1 0 0 0
08/03/2017,ee,96759,0,0 1 1 0 0 0
09/03/2017,ee,102822,2,0 0 1 0 0 0
10/03/2017,ee,96378,2,0 1 0 0 0 0
11/03/2017,ee,86384,0,1 1 1 0 0 0
12/03/2017,ee,87917,-2,1 0 1 0 0 0
13/03/2017,ee,86104,-1,0 0 0 0 0 0
14/03/2017,ee,86818,1,0 1 1 0 0 0
15/03/2017,ee,88838,4,0 1 0 0 0 0
16/03/2017,ee,94246,2,0 0 0 0 0 0
17/03/2017,ee,86606,2,0 1 0 0 0 0
18/03/2017,ee,74639,2,0 1 0 0 0 0
19/03/2017,ee,81673,0,1 1 1 0 0 0
20/03/2017,ee,87567,0,1 1 1 0 0 0
21/03/2017,ee,84432,3,0 1 0 0 0 0
22/03/2017,ee,87159,3,0 1 0 0 0 0
23/03/2017,ee,91816,3,0 1 1 0 0 0
24/03/2017,ee,87951,0,0 0 0 0 0 0
25/03/2017,ee,58502,1,0 1 1 0 0 0
26/03/2017,ee,63521,4,0 1 0 0 0 0
27/03/2017,ee,68705,6,0 0 0 0 0 0
28/03/2017,ee,72374,2,0 0 0 0 0 0
29/03/2017,ee,76567,1,0 0 0 0 0 0
30/03/2017,ee,76372,0,0 0 1 0 0 0
31/03/2017,ee,82785,0,0 1 1 0 0 0
01/04/2017,ee,65152,3,1 1 0 0 0 0
02/04/2017,ee,69196,7,0 0 0 0 0 0
03/04/2017,ee,70581,3,0 1 0 0 0 0
04/04/2017,ee,70897,6,0 0 0 0 0 0
05/04/2017,ee,71645,5,0 1 0 0 0 0
06/04/2017,ee,75534,4,1 0 0 0 0 0
07/04/2017,ee,82984,4,0 1 0 0 0 0
08/04/2017,ee,69688,3,0 0 0 0 0 0
09/04/2017,ee,67130,6,0 0 0 0 0 0
10/04/2017,ee,91727,8,0 1 0 0 0 0
11/04/2017,ee,84983,4,0 1 1 0 0 0
12/04/2017,ee,86671,4,0 1 0 0 0 0
13/04/2017,ee,86705,1,0 1 1 0 0 0
14/04/2017,ee,95199,-1,0 0 1 0 0 0
15/04/2017,ee,81183,-2,0 0 1 0 0 0
16/04/2017,ee,75493,-2,0 0 1 0 0 0
17/04/2017,ee,85638,0,0 0 1 0 0 0
18/04/2017,ee,83408,0,0 0 1 0 0 0
19/04/2017,ee,87728,0,0 0 0 0 0 0
20/04/2017,ee,85614,3,0 1 1 0 0 0
21/04/2017,ee,86957,5,0 1 0 0 0 0
22/04/2017,ee,73373,3,0 1 0 0 0 0
23/04/2017,ee,67194,3,0 1 1 0 0 0
24/04/2017,ee,78522,3,0 1 0 0 0 0
25/04/2017,ee,78546,3,0 1 1 0 0 0
26/04/2017,ee,76296,3,0 1 1 1 0 0
27/04/2017,ee,79328,3,0 1 1 0 0 0
28/04/2017,ee,82939,4,1 0 0 0 0 0
29/04/2017,ee,61338,2,1 1 1 0 0 0
30/04/2017,ee,59557,2,0 1 1 0 0 0
01/05/2017,ee,65071,7,0 0 0 0 0 0
02/05/2017,ee,83990,8,0 0 0 0 0 0
03/05/2017,ee,83708,7,0 0 0 0 0 0
04/05/2017,ee,81602,6,0 0 0 0 0 0
05/05/2017,ee,84010,8,0 0 0 0 0 0
06/05/2017,ee,67860,10,0 0 0 0 0 0
07/05/2017,ee,73436,6,0 0 0 0 0 0
08/05/2017,ee,77079,4,0 0 0 0 0 0
09/05/2017,ee,71444,2,0 0 1 0 0 0
10/05/2017,ee,81005,2,0 0 0 0 0 0
11/05/2017,ee,75561,3,0 0 0 0 0 0
12/05/2017,ee,86130,4,0 0 0 0 0 0
13/05/2017,ee,69493,7,0 0 0 0 0 0
14/05/2017,ee,83123,10,0 1 0 0 0 0
15/05/2017,ee,88560,8,0 1 0 0 0 0
16/05/2017,ee,86967,6,0 0 0 0 0 0
17/05/2017,ee,82796,11,0 1 0 0 0 0
18/05/2017,ee,84598,13,0 1 0 0 0 0
19/05/2017,ee,93014,18,1 0 0 0 0 0
20/05/2017,ee,75121,16,0 1 0 0 0 0
21/05/2017,ee,77330,15,0 0 0 0 0 0
22/05/2017,ee,82979,13,0 1 0 0 0 0
23/05/2017,ee,82110,12,0 1 0 0 0 0
24/05/2017,ee,87112,12,0 1 0 0 0 0
25/05/2017,ee,84246,13,0 1 0 0 0 0
26/05/2017,ee,89411,13,0 0 0 0 0 0
27/05/2017,ee,73294,12,0 0 0 0 0 0
28/05/2017,ee,73873,17,0 1 0 0 0 0
29/05/2017,ee,85059,14,0 0 0 0 0 0
01/06/2017,ee,88663,8,0 1 1 0 0 0
03/06/2017,ee,80093,9,0 0 0 0 0 0
04/06/2017,ee,75831,11,0 0 0 0 0 0
05/06/2017,ee,83312,11,0 1 0 0 0 0
06/06/2017,ee,92184,14,0 0 0 0 0 0
07/06/2017,ee,91470,18,0 1 0 0 0 0
08/06/2017,ee,88065,12,1 1 0 0 0 0
09/06/2017,ee,93191,13,1 0 0 0 0 0
10/06/2017,ee,82388,15,1 0 0 0 0 0
11/06/2017,ee,76584,16,0 1 0 0 0 0
12/06/2017,ee,84944,13,0 1 0 0 0 0
13/06/2017,ee,89175,12,0 1 0 0 0 0
