Date,Country,Streams,TEMP,Indicators
01/01/2017,es,3535556,0,0 0 0 0 0 0
02/01/2017,es,4500990,2,0 0 0 0 0 0
03/01/2017,es,4617905,4,0 0 0 0 0 0
04/01/2017,es,4793991,4,1 0 0 0 0 0
05/01/2017,es,4971731,5,1 0 0 0 0 0
06/01/2017,es,4128631,2,0 0 0 0 0 0
07/01/2017,es,4757538,1,0 0 0 0 0 0
08/01/2017,es,4531077,2,0 0 0 0 0 0
09/01/2017,es,4493389,3,0 0 0 0 0 0
10/01/2017,es,4464071,7,0 0 0 0 0 0
11/01/2017,es,4699865,11,0 0 0 0 0 0
12/01/2017,es,4747389,6,0 0 0 0 0 0
13/01/2017,es,4993660,6,0 0 0 0 0 0
14/01/2017,es,5452440,3,0 0 0 0 0 0
15/01/2017,es,4749906,5,0 0 0 0 0 0
16/01/2017,es,4847514,8,0 0 0 0 0 0
17/01/2017,es,5070447,6,0 0 0 0 0 0
18/01/2017,es,5182929,-1,0 0 0 0 0 0
19/01/2017,es,5265153,2,0 0 0 0 0 0
20/01/2017,es,5649917,5,0 0 0 0 0 0
21/01/2017,es,6083272,6,0 0 0 0 0 0
22/01/2017,es,5327288,3,0 0 0 0 0 0
23/01/2017,es,5522694,5,0 0 0 0 0 0
24/01/2017,es,5657446,3,0 0 0 0 0 0
25/01/2017,es,5854657,2,0 0 0 0 0 0
26/01/2017,es,5983523,1,0 1 0 0 0 0
27/01/2017,es,6215729,5,0 1 0 0 0 0
28/01/2017,es,6808195,4,0 0 0 0 0 0
29/01/2017,es,5430406,6,1 0 0 0 0 0
30/01/2017,es,5762506,9,1 1 0 0 0 0
31/01/2017,es,5871591,9,0 0 0 0 0 0
01/02/2017,es,6143810,7,0 1 0 0 0 0
02/02/2017,es,6215943,9,0 1 0 0 0 0
03/02/2017,es,6494201,10,0 1 0 0 0 0
04/02/2017,es,6815504,12,0 1 0 0 0 0
05/02/2017,es,5697033,8,0 1 0 0 0 0
06/02/2017,es,5666634,10,0 0 0 0 0 0
07/02/2017,es,5613525,8,0 1 0 0 0 0
08/02/2017,es,5794738,5,0 0 0 0 0 0
09/02/2017,es,6047953,4,0 0 0 0 0 0
10/02/2017,es,6356384,3,0 1 1 0 0 0
11/02/2017,es,6766305,6,0 1 0 0 0 0
12/02/2017,es,5569674,10,0 1 0 0 0 0
13/02/2017,es,5552992,10,0 1 0 0 0 0
14/02/2017,es,5610381,7,0 0 0 0 0 0
15/02/2017,es,5889978,8,0 0 0 0 0 0
16/02/2017,es,6120691,7,0 0 0 0 0 0
17/02/2017,es,6516794,7,0 0 0 0 0 0
18/02/2017,es,6826406,6,0 0 0 0 0 0
19/02/2017,es,5491285,9,0 0 0 0 0 0
20/02/2017,es,5526042,8,0 0 0 0 0 0
21/02/2017,es,5744770,7,0 0 0 0 0 0
22/02/2017,es,5703092,10,0 0 0 0 0 0
23/02/2017,es,5966921,11,0 1 0 0 0 0
24/02/2017,es,6550378,11,0 0 0 0 0 0
25/02/2017,es,7225643,8,0 0 0 0 0 0
26/02/2017,es,5404108,7,0 0 0 0 0 0
27/02/2017,es,6263382,10,0 0 0 0 0 0
28/02/2017,es,6070315,10,0 0 0 0 0 0
01/03/2017,es,6068502,9,0 0 0 0 0 0
02/03/2017,es,6327229,8,0 0 0 0 0 0
03/03/2017,es,6658223,6,0 1 0 0 0 0
04/03/2017,es,7095962,5,0 0 0 0 0 0
05/03/2017,es,5847547,9,0 1 0 0 0 0
06/03/2017,es,6025388,13,0 0 0 0 0 0
07/03/2017,es,6094384,13,0 0 0 0 0 0
08/03/2017,es,6228544,12,0 0 0 0 0 0
09/03/2017,es,6887232,13,0 0 0 0 0 0
10/03/2017,es,6833756,14,0 0 0 0 0 0
11/03/2017,es,7332897,13,0 0 0 0 0 0
12/03/2017,es,5768440,11,0 0 0 0 0 0
13/03/2017,es,5729667,10,0 0 0 0 0 0
14/03/2017,es,5879719,14,0 0 0 0 0 0
15/03/2017,es,6172364,13,0 0 0 0 0 0
16/03/2017,es,6459914,12,0 0 0 0 0 0
17/03/2017,es,6726850,10,0 0 0 0 0 0
18/03/2017,es,6883947,11,0 0 0 0 0 0
19/03/2017,es,5524222,13,0 0 0 0 0 0
20/03/2017,es,5711302,14,0 0 0 0 0 0
21/03/2017,es,5665665,11,0 0 0 0 0 0
22/03/2017,es,5649223,7,0 1 0 0 0 0
23/03/2017,es,5763675,2,0 1 0 0 0 0
24/03/2017,es,5991240,4,0 1 0 0 0 0
25/03/2017,es,6549686,5,1 1 0 0 0 0
26/03/2017,es,5239613,10,0 1 0 0 0 0
27/03/2017,es,5376003,9,0 1 0 0 0 0
28/03/2017,es,5667795,10,0 0 0 0 0 0
29/03/2017,es,5880932,11,0 0 0 0 0 0
30/03/2017,es,5973269,13,0 0 0 0 0 0
31/03/2017,es,6280071,15,0 0 0 0 0 0
01/04/2017,es,6663756,12,0 0 0 0 0 0
02/04/2017,es,5349873,11,0 0 0 0 0 0
03/04/2017,es,5539363,11,0 0 0 0 0 0
04/04/2017,es,5710968,12,0 0 0 0 0 0
05/04/2017,es,5720682,12,0 0 0 0 0 0
06/04/2017,es,6091627,13,0 0 0 0 0 0
07/04/2017,es,6562279,15,0 0 0 0 0 0
08/04/2017,es,6583995,14,0 0 0 0 0 0
09/04/2017,es,5275731,15,0 0 0 0 0 0
10/04/2017,es,5984653,16,0 0 0 0 0 0
11/04/2017,es,6004021,17,0 0 0 0 0 0
12/04/2017,es,6319994,17,0 0 0 0 0 0
13/04/2017,es,6078481,18,0 0 0 0 0 0
14/04/2017,es,5126032,17,0 0 0 0 0 0
15/04/2017,es,5198167,18,0 0 0 0 0 0
16/04/2017,es,4822055,17,0 0 0 0 0 0
17/04/2017,es,5633809,18,0 0 0 0 0 0
18/04/2017,es,5545716,19,0 0 0 0 0 0
19/04/2017,es,5603334,16,0 1 0 0 0 0
20/04/2017,es,5844536,14,0 1 0 0 0 0
21/04/2017,es,6208056,13,0 0 0 0 0 0
22/04/2017,es,6621044,13,0 0 0 0 0 0
23/04/2017,es,5297703,17,0 0 0 0 0 0
24/04/2017,es,5692211,18,0 0 0 0 0 0
25/04/2017,es,5988469,18,0 1 0 0 0 0
26/04/2017,es,5825440,14,0 0 0 0 0 0
27/04/2017,es,5906460,9,0 1 0 0 1 0
28/04/2017,es,6278284,10,0 0 0 0 0 0
29/04/2017,es,6413809,10,0 1 0 0 0 0
30/04/2017,es,5394060,10,0 1 0 0 0 0
01/05/2017,es,5656558,11,0 0 0 0 0 0
02/05/2017,es,5548317,15,0 0 0 0 0 0
03/05/2017,es,5856808,18,0 0 0 0 0 0
04/05/2017,es,5924334,19,0 0 0 0 0 0
05/05/2017,es,6417919,17,0 1 0 0 0 0
