Date,Country,Streams,TEMP,Indicators
01/01/2017,fi,1211836,2,0 1 0 0 0 0
02/01/2017,fi,1506783,-3,0 1 1 0 0 0
03/01/2017,fi,1535615,-4,0 1 1 0 0 0
04/01/2017,fi,1746469,-11,0 0 1 0 0 0
05/01/2017,fi,1802385,-15,0 0 1 0 0 0
06/01/2017,fi,1870303,-12,0 0 1 0 0 0
07/01/2017,fi,1842913,-3,0 1 1 0 0 0
08/01/2017,fi,1655864,0,1 1 0 0 0 0
09/01/2017,fi,1767990,1,0 1 0 0 0 0
10/01/2017,fi,1766340,2,0 1 0 0 0 0
11/01/2017,fi,1825960,-1,0 0 0 0 0 0
12/01/2017,fi,1812621,-2,0 1 1 0 0 0
13/01/2017,fi,2019196,2,0 1 1 0 0 0
14/01/2017,fi,2001208,1,0 1 1 0 0 0
15/01/2017,fi,1667471,-2,0 1 1 0 0 0
16/01/2017,fi,1738812,-3,0 0 0 0 0 0
17/01/2017,fi,1735839,-3,0 1 1 0 0 0
18/01/2017,fi,1867975,1,0 1 0 0 0 0
19/01/2017,fi,1842384,2,1 0 0 0 0 0
20/01/2017,fi,2063227,0,0 1 1 0 0 0
21/01/2017,fi,1986841,0,0 1 0 0 0 0
22/01/2017,fi,1641207,1,0 1 0 0 0 0
23/01/2017,fi,1723657,0,0 1 0 0 0 0
24/01/2017,fi,1715773,-2,0 1 0 0 0 0
25/01/2017,fi,1724121,-3,0 0 1 0 0 0
26/01/2017,fi,1782845,2,0 1 0 0 0 0
27/01/2017,fi,2094663,1,1 0 0 0 0 0
28/01/2017,fi,1952085,1,1 1 0 0 0 0
29/01/2017,fi,1645803,1,0 1 1 0 0 0
30/01/2017,fi,1760976,1,0 1 1 0 0 0
31/01/2017,fi,1804201,0,0 0 0 0 0 0
01/02/2017,fi,1849286,0,0 1 1 0 0 0
02/02/2017,fi,1971518,-1,0 1 1 0 0 0
03/02/2017,fi,2157652,0,0 0 0 0 0 0
04/02/2017,fi,2055637,1,0 1 1 0 0 0
05/02/2017,fi,1769459,-2,0 1 1 0 0 0
06/02/2017,fi,1855454,-5,0 1 1 0 0 0
07/02/2017,fi,1813242,-9,0 0 1 0 0 0
08/02/2017,fi,1982834,-7,0 0 0 0 0 0
09/02/2017,fi,1967424,-8,0 0 0 0 0 0
10/02/2017,fi,2116000,-6,0 0 1 0 0 0
11/02/2017,fi,2076543,-4,0 0 0 0 0 0
