Date,Country,Streams,TEMP,Indicators
01/01/2017,fr,2650110,-2,0 0 1 0 0 0
02/01/2017,fr,2817695,2,0 1 0 0 0 0
03/01/2017,fr,2684364,1,0 0 0 0 0 0
04/01/2017,fr,3028793,4,0 1 0 0 0 0
05/01/2017,fr,2877561,4,0 0 0 0 0 0
06/01/2017,fr,3121843,0,0 0 0 0 0 0
07/01/2017,fr,3541241,-1,0 1 0 0 0 0
08/01/2017,fr,3023760,7,0 1 0 0 0 0
09/01/2017,fr,2858877,7,1 1 0 0 0 0
10/01/2017,fr,2821899,7,0 1 0 0 0 0
11/01/2017,fr,3215149,8,0 1 0 0 0 0
12/01/2017,fr,3027956,7,0 1 0 0 0 0
13/01/2017,fr,3269155,4,0 1 0 0 0 0
14/01/2017,fr,3712235,3,0 1 0 0 0 0
15/01/2017,fr,3088201,2,0 1 0 0 0 0
16/01/2017,fr,2908464,2,0 1 0 0 0 0
17/01/2017,fr,2937563,-1,0 0 0 0 0 0
18/01/2017,fr,3315291,-2,0 0 0 0 0 0
19/01/2017,fr,3093702,-1,0 0 0 0 0 0
20/01/2017,fr,3253855,-1,0 0 0 0 0 0
21/01/2017,fr,3706919,-1,0 0 0 0 0 0
22/01/2017,fr,3103090,1,0 0 0 0 0 0
23/01/2017,fr,2908422,0,0 0 0 0 0 0
24/01/2017,fr,2967039,0,0 1 0 0 0 0
25/01/2017,fr,3357239,-1,0 0 0 0 0 0
26/01/2017,fr,3234503,-1,0 0 0 0 0 0
27/01/2017,fr,3444214,5,0 1 0 0 0 0
28/01/2017,fr,3931078,8,0 0 0 0 0 0
29/01/2017,fr,3164922,5,0 1 0 0 0 0
30/01/2017,fr,3085215,9,0 1 0 0 0 0
31/01/2017,fr,3076681,11,0 1 0 0 0 0
01/02/2017,fr,3474492,11,0 0 0 0 0 0
02/02/2017,fr,3361209,10,0 1 0 0 0 0
03/02/2017,fr,3760825,9,0 1 0 0 0 0
04/02/2017,fr,4095156,6,0 1 0 0 0 0
05/02/2017,fr,3407595,7,0 1 0 0 0 0
06/02/2017,fr,3359846,7,0 1 0 0 0 0
07/02/2017,fr,3403266,8,0 1 0 0 0 0
08/02/2017,fr,3600069,6,0 0 0 0 0 0
09/02/2017,fr,3532730,4,0 0 0 0 0 0
10/02/2017,fr,3692224,2,0 1 0 0 0 0
11/02/2017,fr,4152837,1,0 0 0 0 0 0
12/02/2017,fr,3432528,4,0 1 0 0 0 0
13/02/2017,fr,3662532,6,0 0 0 0 0 0
14/02/2017,fr,3602446,8,0 1 0 0 0 0
15/02/2017,fr,3744577,12,0 0 0 0 0 0
16/02/2017,fr,3842497,11,0 1 0 0 0 0
17/02/2017,fr,4061144,8,0 0 0 0 0 0
18/02/2017,fr,4232257,6,1 0 0 0 0 0
19/02/2017,fr,3452848,7,0 0 0 0 0 0
20/02/2017,fr,3574714,10,0 1 0 0 0 0
21/02/2017,fr,3523132,13,0 0 0 0 0 0
22/02/2017,fr,3634927,11,0 0 0 0 0 0
23/02/2017,fr,3665036,10,0 1 0 0 0 0
24/02/2017,fr,3774297,7,0 0 0 0 0 0
25/02/2017,fr,4022763,7,0 0 0 0 0 0
26/02/2017,fr,3283872,10,0 0 0 0 0 0
27/02/2017,fr,3287320,10,0 1 0 0 0 0
