Date,Country,Streams,TEMP,Indicators
01/01/2017,gb,6161042,6,0 1 0 0 0 0
02/01/2017,gb,7410732,3,0 0 0 0 0 0
03/01/2017,gb,8078412,2,0 0 0 0 0 0
04/01/2017,gb,8330603,5,0 1 0 0 0 0
05/01/2017,gb,8027377,2,0 0 0 0 0 0
06/01/2017,gb,10598439,2,1 1 0 0 0 0
07/01/2017,gb,11341093,9,0 1 0 0 0 0
08/01/2017,gb,10276696,9,1 1 0 0 0 0
09/01/2017,gb,10960989,8,1 1 0 0 0 0
10/01/2017,gb,11083088,6,0 1 0 0 0 0
11/01/2017,gb,11389860,8,0 0 0 0 0 0
12/01/2017,gb,10874589,5,0 1 1 0 0 0
13/01/2017,gb,11313037,3,0 1 1 0 0 0
14/01/2017,gb,12146939,3,0 1 0 0 0 0
15/01/2017,gb,10231337,6,0 1 0 0 0 0
16/01/2017,gb,10885096,6,0 1 0 0 0 0
17/01/2017,gb,10954944,3,0 0 0 0 0 0
18/01/2017,gb,11117676,1,0 0 0 0 0 0
19/01/2017,gb,10893066,2,0 0 0 0 0 0
20/01/2017,gb,11204855,2,1 0 0 0 0 0
21/01/2017,gb,11892880,0,0 0 0 0 0 0
22/01/2017,gb,10016756,0,0 0 0 0 0 0
23/01/2017,gb,10424949,0,1 0 0 0 0 0
24/01/2017,gb,10657486,3,1 0 0 0 0 0
25/01/2017,gb,10866202,1,1 1 0 0 0 0
26/01/2017,gb,10637767,-1,0 0 0 0 0 0
27/01/2017,gb,11270446,3,0 0 0 0 0 0
28/01/2017,gb,11941229,7,0 1 0 0 0 0
29/01/2017,gb,9856810,6,0 1 0 0 0 0
30/01/2017,gb,10419004,8,0 1 0 0 0 0
31/01/2017,gb,10477304,7,0 1 0 0 0 0
01/02/2017,gb,10861744,10,0 1 0 0 0 0
02/02/2017,gb,10579561,10,0 1 0 0 0 0
03/02/2017,gb,11239474,8,0 1 0 0 0 0
04/02/2017,gb,11832874,5,0 1 0 0 0 0
05/02/2017,gb,9854117,5,0 1 0 0 0 0
06/02/2017,gb,10186423,4,1 1 0 0 0 0
07/02/2017,gb,10515676,7,0 1 0 0 0 0
08/02/2017,gb,10601569,4,0 1 0 0 0 0
09/02/2017,gb,10226297,2,0 1 1 0 0 0
10/02/2017,gb,10862525,2,0 1 1 0 0 0
11/02/2017,gb,11158285,2,0 1 1 0 0 0
12/02/2017,gb,9386717,3,0 1 0 0 0 0
13/02/2017,gb,10417313,6,0 0 0 0 0 0
14/02/2017,gb,10328939,7,0 0 0 0 0 0
15/02/2017,gb,10549629,9,1 1 0 0 0 0
16/02/2017,gb,10383892,8,0 1 0 0 0 0
17/02/2017,gb,11204256,9,0 1 0 0 0 0
18/02/2017,gb,11371660,8,0 0 0 0 0 0
19/02/2017,gb,9546709,8,0 1 0 0 0 0
20/02/2017,gb,10308033,12,0 0 0 0 0 0
21/02/2017,gb,10330358,12,0 1 0 0 0 0
22/02/2017,gb,10561743,12,0 1 0 0 0 0
23/02/2017,gb,10511131,10,0 1 0 0 0 0
24/02/2017,gb,13069322,6,0 1 0 0 0 0
25/02/2017,gb,11897011,8,0 1 0 0 0 0
26/02/2017,gb,10002091,10,0 1 0 0 0 0
27/02/2017,gb,10670539,7,0 1 0 0 0 0
28/02/2017,gb,10961186,5,0 1 0 0 0 0
01/03/2017,gb,11050985,7,0 1 0 0 0 0
02/03/2017,gb,10896360,8,0 0 0 0 0 0
03/03/2017,gb,19636691,8,0 1 0 0 0 0
04/03/2017,gb,18433852,9,0 1 0 0 0 0
05/03/2017,gb,16195936,7,0 1 0 0 0 0
06/03/2017,gb,17408742,7,0 1 0 0 0 0
07/03/2017,gb,17626991,7,0 1 0 0 0 0
