Date,Country,Streams,TEMP,Indicators
01/01/2017,gr,59509,7,0 0 0 0 0 0
02/01/2017,gr,75888,8,0 0 0 0 0 0
03/01/2017,gr,86150,8,0 0 0 0 0 0
04/01/2017,gr,88488,9,0 1 0 0 0 0
05/01/2017,gr,93051,11,0 1 0 0 0 0
06/01/2017,gr,99985,6,0 1 0 0 0 0
07/01/2017,gr,101768,1,0 0 0 0 0 0
08/01/2017,gr,98840,1,0 0 0 0 0 0
09/01/2017,gr,101163,2,0 0 1 0 0 0
10/01/2017,gr,110578,2,0 0 1 0 0 0
11/01/2017,gr,99798,4,0 1 0 0 0 0
12/01/2017,gr,105089,5,0 0 0 0 0 0
13/01/2017,gr,110764,7,0 1 0 0 0 0
14/01/2017,gr,119003,10,0 1 0 0 0 0
15/01/2017,gr,112805,7,0 1 0 0 0 0
16/01/2017,gr,103365,7,0 1 0 0 0 0
17/01/2017,gr,109582,8,0 1 1 0 0 0
18/01/2017,gr,102934,9,0 1 0 0 0 0
19/01/2017,gr,104996,8,0 1 0 0 1 0
20/01/2017,gr,108585,10,0 0 0 0 0 0
21/01/2017,gr,121385,8,0 0 0 0 0 0
22/01/2017,gr,125241,9,0 0 0 0 0 0
23/01/2017,gr,104691,10,0 1 0 0 0 0
24/01/2017,gr,110735,9,0 1 0 0 0 0
25/01/2017,gr,105602,9,0 0 0 0 0 0
26/01/2017,gr,105488,10,0 0 0 0 0 0
27/01/2017,gr,109979,8,0 0 0 0 0 0
28/01/2017,gr,118979,8,0 0 0 0 0 0
29/01/2017,gr,115557,8,0 1 0 0 0 0
30/01/2017,gr,115030,9,0 0 0 0 0 0
31/01/2017,gr,109091,10,0 0 0 0 0 0
01/02/2017,gr,111419,10,0 1 0 0 0 0
02/02/2017,gr,113531,11,0 0 0 0 0 0
03/02/2017,gr,116424,11,0 1 0 0 0 0
04/02/2017,gr,127563,14,0 1 0 0 0 0
05/02/2017,gr,125414,15,0 0 0 0 0 0
06/02/2017,gr,109791,14,0 1 0 0 1 0
07/02/2017,gr,114052,10,0 1 0 0 0 0
08/02/2017,gr,106749,10,0 0 0 0 0 0
09/02/2017,gr,106514,12,0 0 0 0 0 0
10/02/2017,gr,108610,12,0 0 0 0 0 0
11/02/2017,gr,120531,11,0 0 0 0 0 0
12/02/2017,gr,118699,10,0 0 0 0 0 0
13/02/2017,gr,99390,9,0 0 0 0 0 0
14/02/2017,gr,104977,8,0 0 0 0 0 0
15/02/2017,gr,101983,8,0 0 0 0 0 0
16/02/2017,gr,102542,10,0 0 0 0 0 0
17/02/2017,gr,102153,10,0 0 0 0 0 0
18/02/2017,gr,117757,12,0 1 0 0 0 0
19/02/2017,gr,112993,11,0 1 0 0 1 0
20/02/2017,gr,102644,10,0 1 0 0 0 0
21/02/2017,gr,109952,10,0 0 0 0 0 0
22/02/2017,gr,106303,10,0 0 0 0 0 0
23/02/2017,gr,121389,11,0 0 0 0 0 0
24/02/2017,gr,121181,12,0 0 0 0 0 0
25/02/2017,gr,126918,14,0 1 0 0 0 0
26/02/2017,gr,113007,14,0 1 0 0 0 0
27/02/2017,gr,103578,15,0 0 0 0 0 0
28/02/2017,gr,108749,13,0 0 0 0 0 0
01/03/2017,gr,117688,13,0 1 0 0 0 0
02/03/2017,gr,125298,12,0 0 0 0 0 0
03/03/2017,gr,137186,12,0 0 0 0 0 0
04/03/2017,gr,142711,13,0 0 0 0 0 0
05/03/2017,gr,137605,12,0 0 0 0 0 0
06/03/2017,gr,122529,12,0 1 0 0 1 0
07/03/2017,gr,123861,12,0 1 0 0 1 0
08/03/2017,gr,125131,13,0 1 0 0 0 0
09/03/2017,gr,131109,13,0 1 0 0 0 0
10/03/2017,gr,123057,13,0 1 0 0 0 0
11/03/2017,gr,139260,12,0 0 0 0 0 0
12/03/2017,gr,130100,13,0 0 0 0 0 0
13/03/2017,gr,111623,12,0 0 0 0 0 0
14/03/2017,gr,114517,12,0 0 0 0 0 0
15/03/2017,gr,114993,12,0 0 0 0 0 0
16/03/2017,gr,118731,11,0 0 0 0 0 0
17/03/2017,gr,115920,12,0 0 0 0 0 0
18/03/2017,gr,127021,13,0 0 0 0 0 0
19/03/2017,gr,131174,13,0 0 0 0 0 0
20/03/2017,gr,118595,14,0 0 0 0 0 0
21/03/2017,gr,120158,14,0 0 0 0 0 0
22/03/2017,gr,120585,15,0 0 0 0 0 0
23/03/2017,gr,123215,16,0 0 0 0 0 0
24/03/2017,gr,127370,15,0 0 0 0 0 0
25/03/2017,gr,120060,15,0 0 0 0 0 0
26/03/2017,gr,121050,15,0 0 0 0 0 0
27/03/2017,gr,110308,15,0 0 0 0 0 0
28/03/2017,gr,110721,15,0 0 0 0 0 0
29/03/2017,gr,114947,14,0 0 0 0 0 0
30/03/2017,gr,120074,15,0 0 0 0 0 0
31/03/2017,gr,116559,17,0 0 0 0 0 0
01/04/2017,gr,122786,15,0 0 0 0 0 0
02/04/2017,gr,115280,16,0 0 0 0 0 0
