Date,Country,Streams,TEMP,Indicators
01/01/2017,gt,187063,19,0 0 0 0 0 0
02/01/2017,gt,177590,19,0 0 0 0 0 0
03/01/2017,gt,191907,19,1 0 0 0 0 0
04/01/2017,gt,192479,17,0 0 0 0 0 0
05/01/2017,gt,197254,20,1 0 0 0 0 0
06/01/2017,gt,207508,21,0 0 0 0 0 0
07/01/2017,gt,202955,18,0 1 0 0 0 0
08/01/2017,gt,166480,14,0 1 0 0 0 0
09/01/2017,gt,187350,12,0 1 0 0 0 0
10/01/2017,gt,190878,15,0 0 0 0 0 0
11/01/2017,gt,193553,17,0 0 0 0 0 0
12/01/2017,gt,201377,18,0 0 0 0 0 0
13/01/2017,gt,204589,17,0 0 0 0 0 0
14/01/2017,gt,202328,16,0 1 0 0 0 0
15/01/2017,gt,182751,16,0 1 0 0 0 0
16/01/2017,gt,196843,18,1 0 0 0 0 0
17/01/2017,gt,211133,19,1 0 0 0 0 0
18/01/2017,gt,213504,20,0 0 0 0 0 0
19/01/2017,gt,223823,20,0 0 0 0 0 0
20/01/2017,gt,236092,22,0 0 0 0 0 0
21/01/2017,gt,229913,22,0 0 0 0 0 0
22/01/2017,gt,214884,24,0 0 0 0 0 0
23/01/2017,gt,227636,18,0 0 0 0 0 0
24/01/2017,gt,237341,17,0 0 0 0 0 0
25/01/2017,gt,242201,21,0 0 0 0 0 0
26/01/2017,gt,253220,19,0 0 0 0 0 0
27/01/2017,gt,264252,19,0 1 0 0 0 0
28/01/2017,gt,272022,20,0 0 0 0 0 0
29/01/2017,gt,238401,17,0 1 0 0 0 0
30/01/2017,gt,235762,13,0 1 0 0 0 0
31/01/2017,gt,260271,16,0 0 0 0 0 0
01/02/2017,gt,260408,18,1 0 0 0 0 0
02/02/2017,gt,266318,19,0 0 0 0 0 0
03/02/2017,gt,275817,18,0 0 0 0 0 0
04/02/2017,gt,272475,15,1 1 0 0 0 0
05/02/2017,gt,247021,17,0 1 0 0 0 0
06/02/2017,gt,241686,19,0 1 0 0 0 0
07/02/2017,gt,257534,20,1 0 0 0 0 0
08/02/2017,gt,263036,22,0 0 0 0 0 0
09/02/2017,gt,273040,20,0 0 0 0 0 0
10/02/2017,gt,276891,17,0 1 0 0 0 0
11/02/2017,gt,268680,18,0 1 0 0 0 0
12/02/2017,gt,248925,18,1 0 0 0 0 0
13/02/2017,gt,238921,20,0 0 0 0 0 0
14/02/2017,gt,256521,20,0 0 0 0 0 0
15/02/2017,gt,248422,22,0 0 0 0 0 0
16/02/2017,gt,268176,20,0 1 0 0 0 0
17/02/2017,gt,277364,21,1 0 0 0 0 0
18/02/2017,gt,279806,23,0 0 0 0 0 0
19/02/2017,gt,254461,22,0 0 0 0 0 0
20/02/2017,gt,249424,23,0 0 0 0 0 0
21/02/2017,gt,265602,21,0 0 0 0 0 0
22/02/2017,gt,264400,17,0 1 0 0 0 0
23/02/2017,gt,281178,21,0 0 0 0 0 0
24/02/2017,gt,286825,23,0 0 0 0 0 0
25/02/2017,gt,291072,22,0 0 0 0 0 0
26/02/2017,gt,258078,21,0 0 0 0 0 0
27/02/2017,gt,250824,20,0 0 0 0 0 0
28/02/2017,gt,272944,20,0 0 0 0 0 0
01/03/2017,gt,270966,22,0 0 0 0 0 0
02/03/2017,gt,272931,20,1 0 0 0 0 0
03/03/2017,gt,291033,17,0 1 0 0 0 0
04/03/2017,gt,276228,18,0 1 0 0 0 0
05/03/2017,gt,249512,18,0 1 0 0 0 0
06/03/2017,gt,247645,16,0 1 0 0 0 0
07/03/2017,gt,261836,20,0 0 0 0 0 0
08/03/2017,gt,250441,19,0 0 0 0 0 0
09/03/2017,gt,262420,17,0 1 0 0 0 0
10/03/2017,gt,276383,18,0 0 0 0 0 0
11/03/2017,gt,277506,18,0 1 0 0 0 0
12/03/2017,gt,248021,21,0 0 0 0 0 0
13/03/2017,gt,242355,21,0 0 0 0 0 0
14/03/2017,gt,251353,17,0 1 0 0 0 0
15/03/2017,gt,250635,16,0 1 0 0 0 0
16/03/2017,gt,253957,16,0 1 0 0 0 0
17/03/2017,gt,267483,19,0 0 0 0 0 0
18/03/2017,gt,251820,17,0 0 0 0 0 0
19/03/2017,gt,229073,18,1 0 0 0 0 0
20/03/2017,gt,230154,18,0 0 0 0 0 0
21/03/2017,gt,244479,19,0 0 0 0 0 0
22/03/2017,gt,248775,17,0 0 0 0 0 0
23/03/2017,gt,250131,17,0 0 0 0 0 0
24/03/2017,gt,265232,19,0 0 0 0 0 0
25/03/2017,gt,265113,20,0 0 0 0 0 0
26/03/2017,gt,240443,20,1 0 0 0 0 0
27/03/2017,gt,238308,23,0 0 0 0 0 0
28/03/2017,gt,251175,23,0 0 0 0 0 0
29/03/2017,gt,252074,25,0 0 0 0 0 0
30/03/2017,gt,257061,25,0 0 0 0 0 0
31/03/2017,gt,269747,23,0 1 0 0 0 0
01/04/2017,gt,270574,25,0 0 0 0 0 0
02/04/2017,gt,230955,26,0 0 0 0 0 0
03/04/2017,gt,235509,27,0 0 0 0 0 0
04/04/2017,gt,254766,25,0 0 0 0 0 0
05/04/2017,gt,253984,26,0 0 0 0 1 0
06/04/2017,gt,263092,23,0 0 0 0 0 0
07/04/2017,gt,277694,22,0 1 0 0 0 0
08/04/2017,gt,267594,21,0 0 0 0 0 0
09/04/2017,gt,230274,21,0 0 0 0 0 0
10/04/2017,gt,257327,22,0 0 0 0 0 0
11/04/2017,gt,259776,22,1 0 0 0 0 0
12/04/2017,gt,250113,20,1 0 0 0 0 0
