Date,Country,Streams,TEMP,Indicators
01/01/2017,hk,275331,21,0 0 0 0 0 0
02/01/2017,hk,309761,21,0 0 0 0 0 0
03/01/2017,hk,353038,22,0 0 0 0 0 0
04/01/2017,hk,369677,22,0 0 0 0 0 0
05/01/2017,hk,345951,23,0 0 0 0 0 0
06/01/2017,hk,351039,23,0 0 0 0 0 0
07/01/2017,hk,358207,23,0 0 0 0 0 0
08/01/2017,hk,349500,23,0 0 0 0 0 0
09/01/2017,hk,368087,21,0 0 0 0 0 0
10/01/2017,hk,372640,21,0 0 0 0 0 0
11/01/2017,hk,385595,20,0 1 0 0 0 0
12/01/2017,hk,367297,17,0 1 0 0 0 0
13/01/2017,hk,357404,15,0 1 0 0 0 0
14/01/2017,hk,354365,15,0 1 0 0 0 0
15/01/2017,hk,338237,15,0 1 0 0 0 0
16/01/2017,hk,366430,17,0 1 0 0 0 0
17/01/2017,hk,369686,19,0 0 0 0 0 0
18/01/2017,hk,394134,20,0 1 0 0 0 0
19/01/2017,hk,368661,20,0 0 0 0 0 0
20/01/2017,hk,354664,17,0 0 0 0 0 0
21/01/2017,hk,353701,17,0 0 0 0 0 0
22/01/2017,hk,336416,17,0 0 0 0 0 0
23/01/2017,hk,354958,18,0 0 0 0 0 0
24/01/2017,hk,363797,19,0 0 0 0 0 0
25/01/2017,hk,392577,19,0 0 0 0 0 0
26/01/2017,hk,366519,18,0 0 0 0 0 0
27/01/2017,hk,352222,18,0 0 0 0 0 0
28/01/2017,hk,266366,19,0 1 0 0 0 0
29/01/2017,hk,274411,21,0 1 0 0 0 0
30/01/2017,hk,284774,20,0 1 0 0 0 0
31/01/2017,hk,307041,18,0 1 0 0 0 0
01/02/2017,hk,369189,20,0 1 0 0 0 0
02/02/2017,hk,358156,18,0 1 0 0 0 0
03/02/2017,hk,359480,19,0 0 0 0 0 0
04/02/2017,hk,346632,20,0 1 0 0 0 0
05/02/2017,hk,346101,20,0 0 0 0 0 0
06/02/2017,hk,367911,20,0 0 0 0 0 0
07/02/2017,hk,369951,18,0 0 0 0 0 0
08/02/2017,hk,390853,17,0 1 0 0 0 0
09/02/2017,hk,360298,13,0 1 0 0 0 0
10/02/2017,hk,333208,13,0 0 0 0 0 0
11/02/2017,hk,336654,14,0 0 0 0 0 0
12/02/2017,hk,327291,16,0 0 0 0 0 0
13/02/2017,hk,353107,17,0 0 0 0 0 0
14/02/2017,hk,342981,19,0 0 0 0 0 0
15/02/2017,hk,360041,19,0 0 0 0 0 0
16/02/2017,hk,375212,20,0 0 0 0 0 0
17/02/2017,hk,355003,21,0 0 0 0 0 0
18/02/2017,hk,366104,21,0 0 0 0 0 0
19/02/2017,hk,363176,19,0 1 0 0 0 0
20/02/2017,hk,384328,22,0 0 0 0 0 0
21/02/2017,hk,382079,19,0 1 0 0 1 0
22/02/2017,hk,377127,22,0 1 0 0 0 0
23/02/2017,hk,415631,14,0 1 0 0 0 0
24/02/2017,hk,387219,11,0 1 0 0 0 0
25/02/2017,hk,390875,11,0 1 0 0 0 0
26/02/2017,hk,388640,15,0 0 0 0 0 0
27/02/2017,hk,426025,18,0 0 0 0 0 0
28/02/2017,hk,437872,19,0 0 0 0 0 0
01/03/2017,hk,432674,19,0 0 0 0 0 0
02/03/2017,hk,442450,20,0 0 0 0 0 0
03/03/2017,hk,433874,19,0 0 0 0 0 0
04/03/2017,hk,440408,21,0 0 0 0 0 0
05/03/2017,hk,447780,22,1 0 0 0 0 0
06/03/2017,hk,477890,20,0 0 0 0 0 0
07/03/2017,hk,471371,18,0 1 0 0 0 0
08/03/2017,hk,447856,16,0 1 0 0 0 0
09/03/2017,hk,463943,18,0 1 0 0 0 0
10/03/2017,hk,428537,21,0 1 0 0 0 0
11/03/2017,hk,426027,19,0 0 0 0 0 0
12/03/2017,hk,423739,21,0 0 0 0 0 0
13/03/2017,hk,444972,24,0 0 0 0 0 0
14/03/2017,hk,432273,18,0 1 0 0 0 0
15/03/2017,hk,423436,18,0 0 0 0 0 0
16/03/2017,hk,422761,19,0 0 0 0 0 0
17/03/2017,hk,391777,20,0 0 0 0 0 0
18/03/2017,hk,405009,21,0 1 0 0 0 0
19/03/2017,hk,385755,21,0 1 0 0 1 0
20/03/2017,hk,405728,24,0 0 0 0 0 0
21/03/2017,hk,403107,23,0 1 0 0 0 0
22/03/2017,hk,388443,20,0 1 0 0 0 0
23/03/2017,hk,392772,23,0 0 0 0 0 0
24/03/2017,hk,374138,23,0 0 0 0 0 0
25/03/2017,hk,386046,18,0 1 0 0 0 0
26/03/2017,hk,364092,16,0 1 0 0 0 0
27/03/2017,hk,393801,21,0 0 0 0 0 0
28/03/2017,hk,398345,22,0 0 0 0 0 0
29/03/2017,hk,396864,24,0 1 0 0 0 0
30/03/2017,hk,398928,24,0 1 0 0 0 0
31/03/2017,hk,367298,19,0 1 0 0 1 0
01/04/2017,hk,368680,19,0 0 0 0 0 0
02/04/2017,hk,364111,21,0 0 0 0 0 0
03/04/2017,hk,371109,22,0 0 0 0 0 0
04/04/2017,hk,370857,23,0 0 0 0 0 0
05/04/2017,hk,367863,24,0 0 0 0 0 0
06/04/2017,hk,372678,24,0 1 0 0 0 0
07/04/2017,hk,380722,26,0 0 0 0 0 0
08/04/2017,hk,368784,26,0 0 0 0 0 0
09/04/2017,hk,351519,28,0 0 0 0 0 0
10/04/2017,hk,376984,27,0 1 0 0 0 0
11/04/2017,hk,371816,25,0 1 0 0 0 0
12/04/2017,hk,371420,20,0 1 0 0 1 0
13/04/2017,hk,372267,20,0 1 0 0 0 0
14/04/2017,hk,336042,23,0 0 0 0 0 0
15/04/2017,hk,330081,26,0 0 0 0 0 0
16/04/2017,hk,329140,26,0 0 0 0 0 0
17/04/2017,hk,353331,26,0 0 0 0 0 0
18/04/2017,hk,393625,28,0 0 0 0 0 0
19/04/2017,hk,393118,28,0 0 0 0 0 0
20/04/2017,hk,387418,27,0 1 0 0 0 0
21/04/2017,hk,365586,25,0 1 0 0 1 0
22/04/2017,hk,367005,21,0 1 0 0 0 0
23/04/2017,hk,362168,22,0 1 0 0 0 0
24/04/2017,hk,388043,22,0 1 0 0 0 0
25/04/2017,hk,393538,24,0 1 0 0 0 0
26/04/2017,hk,406243,26,0 1 0 0 0 0
27/04/2017,hk,396776,22,0 1 0 0 0 0
28/04/2017,hk,367999,22,0 0 0 0 0 0
29/04/2017,hk,381818,24,0 0 0 0 0 0
30/04/2017,hk,364115,25,0 0 0 0 0 0
01/05/2017,hk,369402,26,0 0 0 0 0 0
02/05/2017,hk,388748,27,0 0 0 0 0 0
03/05/2017,hk,388077,28,0 1 0 0 0 0
04/05/2017,hk,398959,24,0 1 0 0 1 0
05/05/2017,hk,377559,27,0 0 0 0 0 0
06/05/2017,hk,388881,28,0 1 0 0 0 0
07/05/2017,hk,376697,27,0 0 0 0 0 0
08/05/2017,hk,395300,26,0 1 0 0 1 0
09/05/2017,hk,401560,27,0 0 0 0 0 0
10/05/2017,hk,405591,28,0 0 0 0 0 0
11/05/2017,hk,404746,28,0 0 0 0 0 0
12/05/2017,hk,381093,28,0 1 0 0 0 0
13/05/2017,hk,392218,26,0 1 0 0 0 0
14/05/2017,hk,375231,28,0 1 0 0 0 0
15/05/2017,hk,387387,26,0 1 0 0 1 0
16/05/2017,hk,404102,26,0 1 0 0 0 0
17/05/2017,hk,413772,27,0 1 0 0 0 0
18/05/2017,hk,407785,27,0 1 0 0 0 0
19/05/2017,hk,383420,25,0 1 0 0 0 0
20/05/2017,hk,389674,25,0 1 0 0 0 0
21/05/2017,hk,373636,26,0 1 0 0 0 0
22/05/2017,hk,394717,26,0 1 0 0 0 0
23/05/2017,hk,402158,29,0 1 0 0 1 0
24/05/2017,hk,398408,25,0 1 0 0 1 0
25/05/2017,hk,418771,27,0 0 0 0 0 0
26/05/2017,hk,390031,26,0 0 0 0 0 0
27/05/2017,hk,406722,27,0 0 0 0 0 0
28/05/2017,hk,387386,28,0 0 0 0 0 0
29/05/2017,hk,398632,28,0 0 0 0 0 0
01/06/2017,hk,407510,31,0 1 0 0 0 0
03/06/2017,hk,377896,32,0 0 0 0 0 0
04/06/2017,hk,361567,31,0 1 0 0 0 0
05/06/2017,hk,387288,31,0 1 0 0 0 0
06/06/2017,hk,392303,30,0 1 0 0 0 0
07/06/2017,hk,406706,31,0 0 0 0 0 0
08/06/2017,hk,407198,31,0 1 0 0 0 0
09/06/2017,hk,378374,30,0 1 0 0 1 0
10/06/2017,hk,383450,31,0 0 0 0 0 0
11/06/2017,hk,373341,31,0 1 0 0 0 0
12/06/2017,hk,375880,29,0 1 0 0 0 0
13/06/2017,hk,388634,29,0 1 0 0 1 0
14/06/2017,hk,409875,30,0 1 0 0 1 0
15/06/2017,hk,404984,30,0 1 0 0 1 0
16/06/2017,hk,371264,29,0 1 0 0 1 0
17/06/2017,hk,368728,27,0 1 0 0 0 0
18/06/2017,hk,357569,27,0 1 0 0 0 0
19/06/2017,hk,388639,28,0 1 0 0 1 0
20/06/2017,hk,397009,28,0 1 0 0 1 0
21/06/2017,hk,395333,29,0 1 0 0 0 0
22/06/2017,hk,406568,30,0 1 0 0 0 0
23/06/2017,hk,387143,30,0 1 0 0 0 0
24/06/2017,hk,371312,30,0 1 0 0 1 0
25/06/2017,hk,363934,30,0 1 0 0 0 0
26/06/2017,hk,399572,31,0 1 0 0 0 0
27/06/2017,hk,392854,30,0 1 0 0 0 0
28/06/2017,hk,391626,31,0 1 0 0 0 0
29/06/2017,hk,393529,30,0 1 0 0 0 0
30/06/2017,hk,376873,31,0 0 0 0 0 0
01/07/2017,hk,345011,31,0 1 0 0 1 0
02/07/2017,hk,339410,30,0 1 0 0 1 0
03/07/2017,hk,378358,28,0 1 0 0 1 0
04/07/2017,hk,381787,28,0 1 0 0 1 0
05/07/2017,hk,386504,29,0 1 0 0 0 0
06/07/2017,hk,388477,28,0 1 0 0 1 0
07/07/2017,hk,375577,28,0 1 0 0 1 0
08/07/2017,hk,355895,29,0 1 0 0 1 0
09/07/2017,hk,348932,30,0 1 0 0 0 0
10/07/2017,hk,389488,30,0 1 0 0 0 0
11/07/2017,hk,393272,30,0 0 0 0 0 0
12/07/2017,hk,389796,31,0 0 0 0 0 0
13/07/2017,hk,395294,31,0 0 0 0 0 0
14/07/2017,hk,381827,31,0 1 0 0 0 0
15/07/2017,hk,372555,30,0 1 0 0 0 0
16/07/2017,hk,342383,28,0 1 0 0 1 0
17/07/2017,hk,378026,27,0 1 0 0 1 0
18/07/2017,hk,378741,26,0 1 0 0 1 0
19/07/2017,hk,393757,29,0 1 0 0 0 0
20/07/2017,hk,389081,30,0 0 0 0 0 0
21/07/2017,hk,428139,31,0 1 0 0 0 0
22/07/2017,hk,366257,31,0 0 0 0 0 0
23/07/2017,hk,299485,28,0 1 0 0 1 0
24/07/2017,hk,376631,30,0 1 0 0 0 0
25/07/2017,hk,384222,31,0 0 0 0 0 0
26/07/2017,hk,382734,31,0 0 0 0 0 0
27/07/2017,hk,385640,31,0 1 0 0 0 0
28/07/2017,hk,366818,32,0 0 0 0 0 0
29/07/2017,hk,350420,33,0 0 0 0 0 0
30/07/2017,hk,319137,33,0 0 0 0 0 0
31/07/2017,hk,364736,32,0 0 0 0 0 0
01/08/2017,hk,366724,32,0 1 0 0 0 0
02/08/2017,hk,362177,30,0 1 0 0 1 0
03/08/2017,hk,374579,29,0 1 0 0 0 0
04/08/2017,hk,358357,29,0 1 0 0 0 0
05/08/2017,hk,355352,31,0 1 0 0 0 0
06/08/2017,hk,328423,32,0 0 0 0 0 0
07/08/2017,hk,375314,32,0 1 0 0 0 0
08/08/2017,hk,382025,31,0 1 0 0 0 0
09/08/2017,hk,373721,31,0 1 0 0 1 0
10/08/2017,hk,380348,30,0 1 0 0 0 0
11/08/2017,hk,367558,31,0 1 0 0 0 0
12/08/2017,hk,349362,31,0 0 0 0 0 0
13/08/2017,hk,327702,31,0 1 0 0 0 0
14/08/2017,hk,366992,31,0 0 0 0 0 0
