Date,Country,Streams,TEMP,Indicators
01/01/2017,hn,146821,18,0 0 0 0 0 0
02/01/2017,hn,125329,18,0 0 0 0 0 0
03/01/2017,hn,138218,18,0 0 0 0 0 0
04/01/2017,hn,136834,18,0 0 0 0 0 0
05/01/2017,hn,138223,18,0 0 0 0 0 0
06/01/2017,hn,145949,19,1 0 0 0 0 0
07/01/2017,hn,148890,17,1 0 0 0 0 0
08/01/2017,hn,127120,15,0 1 0 0 0 0
09/01/2017,hn,123602,12,0 0 0 0 0 0
10/01/2017,hn,134122,14,0 0 0 0 0 0
11/01/2017,hn,138689,16,0 0 0 0 0 0
12/01/2017,hn,140438,16,0 0 0 0 0 0
13/01/2017,hn,144834,17,0 0 0 0 0 0
14/01/2017,hn,151852,16,0 1 0 0 0 0
15/01/2017,hn,134293,16,0 1 0 0 0 0
16/01/2017,hn,138460,17,0 0 0 0 0 0
17/01/2017,hn,145842,18,0 0 0 0 0 0
18/01/2017,hn,145851,17,0 0 0 0 0 0
19/01/2017,hn,151443,21,0 0 0 0 0 0
20/01/2017,hn,160412,19,0 0 0 0 0 0
21/01/2017,hn,161746,18,0 0 0 0 0 0
22/01/2017,hn,148306,19,0 0 0 0 0 0
23/01/2017,hn,149871,19,0 0 0 0 0 0
24/01/2017,hn,152735,18,0 0 0 0 0 0
25/01/2017,hn,154577,19,1 0 0 0 0 0
26/01/2017,hn,161529,20,1 0 0 0 0 0
27/01/2017,hn,172314,19,0 0 0 0 0 0
28/01/2017,hn,180655,18,0 0 0 0 0 0
29/01/2017,hn,159714,17,0 0 0 0 0 0
30/01/2017,hn,152380,15,0 0 0 0 0 0
31/01/2017,hn,161286,15,0 0 0 0 0 0
01/02/2017,hn,167441,19,0 0 0 0 0 0
02/02/2017,hn,170981,18,0 0 0 0 0 0
03/02/2017,hn,186455,18,0 0 0 0 0 0
04/02/2017,hn,184927,16,0 0 0 0 0 0
05/02/2017,hn,172833,18,0 0 0 0 0 0
06/02/2017,hn,158399,19,0 0 0 0 0 0
07/02/2017,hn,172245,20,0 0 0 0 0 0
08/02/2017,hn,174031,20,0 0 0 0 0 0
09/02/2017,hn,168173,19,1 0 0 0 0 0
10/02/2017,hn,179684,19,0 0 0 0 0 0
11/02/2017,hn,189613,18,0 0 0 0 0 0
12/02/2017,hn,173987,17,0 0 0 0 0 0
13/02/2017,hn,158075,17,0 0 0 0 0 0
14/02/2017,hn,164813,22,0 0 0 0 0 0
15/02/2017,hn,162302,22,0 0 0 0 0 0
16/02/2017,hn,172484,19,0 0 0 0 0 0
17/02/2017,hn,183491,19,0 0 0 0 0 0
18/02/2017,hn,195603,20,0 0 0 0 0 0
19/02/2017,hn,178568,19,1 0 0 0 0 0
20/02/2017,hn,162257,19,0 0 0 0 0 0
21/02/2017,hn,172156,19,1 0 0 0 0 0
22/02/2017,hn,171258,18,0 0 0 0 0 0
23/02/2017,hn,180752,19,0 0 0 0 0 0
24/02/2017,hn,192658,19,1 0 0 0 0 0
25/02/2017,hn,202758,20,1 0 0 0 0 0
26/02/2017,hn,182871,20,0 0 0 0 0 0
27/02/2017,hn,165585,19,0 0 0 0 0 0
28/02/2017,hn,179026,20,0 0 0 0 0 0
01/03/2017,hn,178987,21,0 0 0 0 0 0
02/03/2017,hn,181449,20,0 0 0 0 0 0
03/03/2017,hn,191663,17,0 0 0 0 0 0
04/03/2017,hn,194889,17,0 1 0 0 0 0
05/03/2017,hn,181556,19,0 0 0 0 0 0
06/03/2017,hn,172353,20,0 0 0 0 0 0
07/03/2017,hn,177207,21,0 0 0 0 0 0
08/03/2017,hn,175774,20,0 0 0 0 0 0
09/03/2017,hn,179370,19,0 0 0 0 0 0
10/03/2017,hn,189494,19,0 1 0 0 0 0
11/03/2017,hn,198752,20,0 0 0 0 0 0
12/03/2017,hn,176732,21,0 0 0 0 0 0
13/03/2017,hn,161425,20,0 0 0 0 0 0
