Date,Country,Streams,TEMP,Indicators
01/01/2017,hu,141738,-7,1 0 1 0 0 0
02/01/2017,hu,186437,-5,1 0 0 0 0 0
03/01/2017,hu,186659,0,0 0 0 0 0 0
04/01/2017,hu,184616,0,0 0 1 0 0 0
05/01/2017,hu,186799,-1,0 0 1 0 0 0
06/01/2017,hu,210118,-8,0 0 0 0 0 0
07/01/2017,hu,216310,-12,0 0 0 0 0 0
08/01/2017,hu,193377,-12,0 0 0 0 0 0
09/01/2017,hu,204327,-8,0 0 1 0 0 0
10/01/2017,hu,208457,-10,0 0 1 0 0 0
11/01/2017,hu,209630,-8,0 0 0 0 0 0
12/01/2017,hu,211952,-4,0 1 1 0 0 0
13/01/2017,hu,218198,0,0 1 1 0 0 0
14/01/2017,hu,224623,2,0 0 1 0 0 0
15/01/2017,hu,204553,0,0 0 0 0 0 0
16/01/2017,hu,209719,-5,0 0 0 0 0 0
17/01/2017,hu,217309,-2,0 0 0 0 0 0
18/01/2017,hu,214780,-2,0 0 0 0 0 0
19/01/2017,hu,216160,-4,0 0 0 0 0 0
20/01/2017,hu,225364,-6,0 0 0 0 0 0
21/01/2017,hu,210637,-6,1 0 0 0 0 0
22/01/2017,hu,204963,-5,0 0 0 0 0 0
23/01/2017,hu,204739,-5,1 0 0 0 0 0
24/01/2017,hu,211702,-6,1 0 0 0 0 0
25/01/2017,hu,211799,-3,0 0 0 0 0 0
26/01/2017,hu,217548,-3,1 0 0 0 0 0
27/01/2017,hu,224673,-7,1 0 0 0 0 0
28/01/2017,hu,215810,-9,0 0 0 0 0 0
29/01/2017,hu,199909,-9,0 0 0 0 0 0
30/01/2017,hu,212490,-8,1 0 0 0 0 0
31/01/2017,hu,223561,-5,0 1 1 0 0 0
01/02/2017,hu,220379,0,1 1 0 0 0 0
02/02/2017,hu,222440,3,1 1 0 0 0 0
03/02/2017,hu,234820,7,0 0 0 0 0 0
04/02/2017,hu,224098,3,0 1 0 0 0 0
05/02/2017,hu,221549,5,1 1 0 0 0 0
06/02/2017,hu,213710,4,0 1 0 0 0 0
07/02/2017,hu,223576,2,0 1 1 0 0 0
08/02/2017,hu,223631,0,0 0 1 0 0 0
09/02/2017,hu,224511,0,0 0 1 0 0 0
10/02/2017,hu,232363,0,0 0 1 0 0 0
11/02/2017,hu,229480,0,0 0 0 0 0 0
12/02/2017,hu,228234,-1,0 0 0 0 0 0
13/02/2017,hu,222270,-2,1 0 0 0 0 0
14/02/2017,hu,226333,-3,1 0 0 0 0 0
15/02/2017,hu,218313,-2,1 0 0 0 0 0
16/02/2017,hu,226650,-3,1 0 0 0 0 0
17/02/2017,hu,242741,-2,1 0 0 0 0 0
18/02/2017,hu,237648,0,1 0 0 0 0 0
19/02/2017,hu,233135,2,1 0 0 0 0 0
20/02/2017,hu,233664,2,1 0 0 0 0 0
21/02/2017,hu,245418,6,0 1 0 0 0 0
22/02/2017,hu,245525,8,0 1 0 0 0 0
23/02/2017,hu,275387,10,0 1 0 0 0 0
24/02/2017,hu,268428,9,0 1 0 0 0 0
25/02/2017,hu,256021,4,0 0 0 0 0 0
26/02/2017,hu,245971,4,0 0 0 0 0 0
27/02/2017,hu,246627,8,0 0 0 0 0 0
28/02/2017,hu,257139,12,0 0 0 0 0 0
01/03/2017,hu,272280,7,0 1 0 0 0 0
02/03/2017,hu,282444,7,0 0 0 0 0 0
03/03/2017,hu,298430,8,0 0 0 0 0 0
04/03/2017,hu,278467,11,0 0 0 0 0 0
05/03/2017,hu,274041,10,0 1 0 0 0 0
06/03/2017,hu,280623,7,0 1 0 0 0 0
07/03/2017,hu,280706,7,0 0 0 0 0 0
08/03/2017,hu,280121,9,0 0 0 0 0 0
09/03/2017,hu,293972,7,0 1 0 0 0 0
10/03/2017,hu,272539,5,0 1 0 0 0 0
11/03/2017,hu,269624,7,0 0 0 0 0 0
12/03/2017,hu,260776,6,0 0 0 0 0 0
13/03/2017,hu,261088,8,0 0 0 0 0 0
14/03/2017,hu,261571,7,0 0 0 0 0 0
15/03/2017,hu,246837,7,0 0 0 0 0 0
16/03/2017,hu,268832,9,0 0 0 0 0 0
17/03/2017,hu,258863,8,0 1 0 0 0 0
18/03/2017,hu,242013,9,0 1 0 0 0 0
19/03/2017,hu,247078,9,0 1 0 0 0 0
20/03/2017,hu,238689,12,0 1 0 0 0 0
21/03/2017,hu,237184,13,0 0 0 0 0 0
22/03/2017,hu,242847,15,0 0 0 0 0 0
23/03/2017,hu,252170,15,0 0 0 0 0 0
24/03/2017,hu,244587,14,0 0 0 0 0 0
25/03/2017,hu,235122,11,0 0 0 0 0 0
26/03/2017,hu,229096,9,0 0 0 0 0 0
27/03/2017,hu,237286,8,0 0 0 0 0 0
28/03/2017,hu,240852,12,0 0 0 0 0 0
29/03/2017,hu,244344,15,0 0 0 0 0 0
30/03/2017,hu,250613,15,0 0 0 0 0 0
31/03/2017,hu,247997,14,0 0 0 0 0 0
01/04/2017,hu,237937,15,0 0 0 0 0 0
02/04/2017,hu,226704,16,0 0 0 0 0 0
03/04/2017,hu,227515,17,0 0 0 0 0 0
04/04/2017,hu,224975,16,0 1 0 0 0 0
05/04/2017,hu,231151,12,0 1 0 0 1 0
06/04/2017,hu,237379,10,0 1 0 0 0 0
07/04/2017,hu,249536,8,0 1 0 0 0 0
08/04/2017,hu,242056,12,0 0 0 0 0 0
09/04/2017,hu,224836,12,0 0 0 0 0 0
10/04/2017,hu,234501,14,0 0 0 0 0 0
11/04/2017,hu,229828,11,0 1 0 0 0 0
12/04/2017,hu,244903,10,0 0 0 0 0 0
13/04/2017,hu,260359,11,0 1 0 0 0 0
14/04/2017,hu,231210,11,0 1 0 0 0 0
15/04/2017,hu,199312,11,0 1 0 0 0 0
16/04/2017,hu,176893,11,0 1 0 0 0 0
17/04/2017,hu,186791,9,0 0 0 0 0 0
18/04/2017,hu,229943,8,0 1 0 0 0 0
19/04/2017,hu,222101,2,0 1 1 0 0 0
20/04/2017,hu,231473,3,0 1 0 0 0 0
21/04/2017,hu,240017,7,0 0 0 0 0 0
22/04/2017,hu,227413,9,0 1 0 0 0 0
23/04/2017,hu,207757,8,0 0 0 0 0 0
24/04/2017,hu,233156,9,0 0 0 0 0 0
25/04/2017,hu,234081,15,0 0 0 0 0 0
26/04/2017,hu,237541,16,0 0 0 0 0 0
27/04/2017,hu,239554,14,0 1 0 0 0 0
28/04/2017,hu,247971,13,0 1 0 0 0 0
29/04/2017,hu,233789,9,0 1 0 0 0 0
30/04/2017,hu,218799,11,0 1 0 0 0 0
01/05/2017,hu,215154,12,0 0 0 0 0 0
02/05/2017,hu,235957,17,0 1 0 0 0 0
03/05/2017,hu,237171,15,0 1 0 0 1 0
04/05/2017,hu,246784,15,0 1 0 0 0 0
05/05/2017,hu,242894,14,0 1 0 0 1 0
06/05/2017,hu,230181,16,0 0 0 0 0 0
07/05/2017,hu,211968,16,0 1 0 0 0 0
08/05/2017,hu,245348,15,0 0 0 0 0 0
09/05/2017,hu,248576,10,0 1 0 0 0 0
10/05/2017,hu,251908,9,0 0 0 0 0 0
11/05/2017,hu,251099,15,0 0 0 0 0 0
12/05/2017,hu,255332,18,0 1 0 0 1 0
13/05/2017,hu,234351,17,0 1 0 0 1 0
14/05/2017,hu,233305,18,0 0 0 0 0 0
15/05/2017,hu,248797,19,0 0 0 0 0 0
16/05/2017,hu,259943,18,0 0 0 0 0 0
17/05/2017,hu,262423,18,0 0 0 0 0 0
18/05/2017,hu,270669,19,0 0 0 0 0 0
19/05/2017,hu,278588,20,0 0 0 0 0 0
20/05/2017,hu,251324,19,0 1 0 0 1 0
21/05/2017,hu,232244,20,0 0 0 0 0 0
22/05/2017,hu,256784,20,0 1 0 0 1 0
23/05/2017,hu,256070,18,0 1 0 0 1 0
24/05/2017,hu,264689,18,0 0 0 0 1 0
25/05/2017,hu,265181,16,0 1 0 0 0 0
26/05/2017,hu,272557,18,0 0 0 0 0 0
27/05/2017,hu,249402,19,0 0 0 0 0 0
28/05/2017,hu,238413,19,0 0 0 0 0 0
29/05/2017,hu,265670,20,0 0 0 0 0 0
01/06/2017,hu,268171,23,0 0 0 0 0 0
03/06/2017,hu,259183,23,0 0 0 0 0 0
04/06/2017,hu,233796,23,0 1 0 0 1 0
05/06/2017,hu,241754,23,0 0 0 0 0 0
06/06/2017,hu,262648,23,0 1 0 0 1 0
07/06/2017,hu,262952,19,0 1 0 0 0 0
08/06/2017,hu,268510,19,0 0 0 0 0 0
09/06/2017,hu,278519,20,0 0 0 0 0 0
10/06/2017,hu,254300,20,0 1 0 0 0 0
11/06/2017,hu,247224,21,0 0 0 0 0 0
12/06/2017,hu,271811,23,0 0 0 0 0 0
13/06/2017,hu,287141,24,0 0 0 0 0 0
14/06/2017,hu,285823,21,0 0 0 0 0 0
15/06/2017,hu,292274,21,0 0 0 0 0 0
16/06/2017,hu,287790,19,0 1 0 0 1 0
17/06/2017,hu,253972,17,0 0 0 0 0 0
18/06/2017,hu,242790,20,0 1 0 0 0 0
19/06/2017,hu,281755,23,0 0 0 0 0 0
20/06/2017,hu,295338,25,0 0 0 0 0 0
21/06/2017,hu,290614,25,0 0 0 0 1 0
22/06/2017,hu,294128,26,0 0 0 0 0 0
23/06/2017,hu,306624,26,0 1 0 0 1 0
24/06/2017,hu,271154,26,0 0 0 0 0 0
25/06/2017,hu,235718,22,0 1 0 0 1 0
26/06/2017,hu,285446,23,0 1 0 0 0 0
27/06/2017,hu,287602,25,0 0 0 0 0 0
28/06/2017,hu,278429,26,0 1 0 0 1 0
29/06/2017,hu,274306,22,0 1 0 0 1 0
30/06/2017,hu,285008,22,0 1 0 0 0 0
01/07/2017,hu,255584,20,0 1 0 0 0 0
