Date,Country,Streams,TEMP,Indicators
01/01/2017,ie,575786,4,0 1 0 0 0 0
02/01/2017,ie,661242,2,0 1 0 0 0 0
03/01/2017,ie,752746,3,0 1 0 0 0 0
04/01/2017,ie,791315,4,0 1 0 0 0 0
05/01/2017,ie,781132,5,0 0 0 0 0 0
06/01/2017,ie,1025143,10,0 1 0 0 0 0
07/01/2017,ie,1035559,9,0 1 0 0 0 0
08/01/2017,ie,930675,9,0 1 0 0 0 0
09/01/2017,ie,935846,7,0 1 0 0 0 0
10/01/2017,ie,926719,8,0 1 0 0 0 0
11/01/2017,ie,968288,7,0 1 0 0 0 0
12/01/2017,ie,921910,2,0 1 1 0 0 0
13/01/2017,ie,955897,1,0 1 1 0 0 0
14/01/2017,ie,1090146,4,0 1 0 0 0 0
15/01/2017,ie,937713,8,0 1 0 0 0 0
16/01/2017,ie,938388,9,0 1 0 0 0 0
17/01/2017,ie,942180,9,0 1 0 0 0 0
18/01/2017,ie,977712,8,0 1 0 0 0 0
19/01/2017,ie,956120,7,0 1 0 0 0 0
20/01/2017,ie,966769,6,0 1 0 0 0 0
21/01/2017,ie,1087287,0,0 0 0 0 0 0
22/01/2017,ie,922567,1,0 0 0 0 0 0
23/01/2017,ie,931929,6,0 0 0 0 0 0
24/01/2017,ie,944572,10,0 1 0 0 0 0
25/01/2017,ie,983387,9,0 0 0 0 0 0
26/01/2017,ie,966531,5,0 0 0 0 0 0
27/01/2017,ie,1017130,6,0 1 0 0 0 0
28/01/2017,ie,1142932,4,0 1 0 0 0 0
29/01/2017,ie,945236,4,0 1 0 0 0 0
30/01/2017,ie,960028,8,1 1 0 0 0 0
31/01/2017,ie,956978,9,0 1 0 0 0 0
01/02/2017,ie,995861,7,1 1 0 0 0 0
02/02/2017,ie,968761,10,0 1 0 0 0 0
03/02/2017,ie,998761,6,0 1 0 0 0 0
04/02/2017,ie,1099115,3,0 0 0 0 0 0
05/02/2017,ie,941846,2,0 0 0 0 0 0
06/02/2017,ie,918870,5,0 1 0 0 0 0
07/02/2017,ie,951602,5,0 1 0 0 0 0
08/02/2017,ie,968910,3,0 0 0 0 0 0
09/02/2017,ie,936223,5,0 1 0 0 0 0
10/02/2017,ie,964476,3,0 1 0 0 0 0
11/02/2017,ie,1047548,2,0 1 0 0 0 0
12/02/2017,ie,897837,4,0 1 1 0 0 0
13/02/2017,ie,914672,6,0 1 0 0 0 0
14/02/2017,ie,904293,6,0 1 0 0 0 0
15/02/2017,ie,948011,9,0 1 0 0 0 0
16/02/2017,ie,948520,8,0 1 0 0 0 0
17/02/2017,ie,1020756,9,0 1 0 0 0 0
18/02/2017,ie,1125302,10,0 1 0 0 0 0
19/02/2017,ie,928459,10,0 1 0 0 0 0
20/02/2017,ie,1064268,11,0 1 0 0 0 0
21/02/2017,ie,1044984,10,0 1 0 0 0 0
22/02/2017,ie,1061252,9,0 1 0 0 0 0
23/02/2017,ie,1064907,6,0 1 0 0 0 0
24/02/2017,ie,1101145,5,0 1 0 0 0 0
25/02/2017,ie,1060594,9,0 1 0 0 0 0
26/02/2017,ie,903791,8,0 1 0 0 0 0
27/02/2017,ie,937659,4,0 1 0 0 0 0
28/02/2017,ie,953253,4,0 1 1 0 0 0
01/03/2017,ie,980947,5,0 1 0 0 0 0
02/03/2017,ie,966390,5,0 1 0 0 0 0
03/03/2017,ie,1882846,7,0 1 0 0 0 0
04/03/2017,ie,1858422,6,0 1 1 0 0 0
05/03/2017,ie,1638306,5,0 1 0 0 0 0
06/03/2017,ie,1585252,4,0 1 0 0 0 0
07/03/2017,ie,1534596,6,0 1 0 0 0 0
08/03/2017,ie,1474991,10,0 1 0 0 0 0
09/03/2017,ie,1430229,9,0 1 0 0 0 0
10/03/2017,ie,1362784,10,0 1 0 0 0 0
11/03/2017,ie,1486287,10,0 1 0 0 0 0
12/03/2017,ie,1306420,8,0 1 0 0 0 0
13/03/2017,ie,1245187,10,0 1 0 0 0 0
14/03/2017,ie,1207176,12,0 1 0 0 0 0
15/03/2017,ie,1204887,11,0 1 0 0 0 0
16/03/2017,ie,1223778,9,0 1 0 0 0 0
17/03/2017,ie,1121991,7,0 1 0 0 0 0
18/03/2017,ie,1060253,12,0 1 0 0 0 0
19/03/2017,ie,1135823,11,0 1 0 0 0 0
20/03/2017,ie,1175586,8,0 1 0 0 0 0
21/03/2017,ie,1098361,4,0 1 1 0 0 0
22/03/2017,ie,1044372,4,0 1 0 0 0 0
23/03/2017,ie,1029185,6,0 1 0 0 0 0
24/03/2017,ie,1034704,6,0 0 0 0 0 0
25/03/2017,ie,1180789,5,0 0 0 0 0 0
26/03/2017,ie,1024681,7,0 0 0 0 0 0
27/03/2017,ie,1003238,8,1 0 0 0 0 0
28/03/2017,ie,983803,9,1 1 0 0 0 0
29/03/2017,ie,1002137,12,0 1 0 0 0 0
30/03/2017,ie,994321,12,0 1 0 0 0 0
31/03/2017,ie,1026094,12,0 1 0 0 0 0
01/04/2017,ie,1097547,8,0 1 0 0 0 0
02/04/2017,ie,990169,8,0 0 0 0 0 0
03/04/2017,ie,925899,10,0 1 0 0 0 0
04/04/2017,ie,959918,9,0 1 0 0 0 0
05/04/2017,ie,966695,9,0 1 0 0 0 0
06/04/2017,ie,959987,8,0 0 0 0 0 0
07/04/2017,ie,1076241,8,0 0 0 0 0 0
08/04/2017,ie,1168275,8,0 0 0 0 0 0
09/04/2017,ie,922186,8,1 1 0 0 0 0
10/04/2017,ie,1072861,7,0 0 0 0 0 0
11/04/2017,ie,1053731,8,0 0 0 0 0 0
12/04/2017,ie,1072686,10,0 1 0 0 0 0
13/04/2017,ie,1064643,8,0 1 0 0 0 0
14/04/2017,ie,1251635,10,0 1 0 0 0 0
15/04/2017,ie,1140221,7,0 1 0 0 0 0
16/04/2017,ie,956120,9,0 1 0 0 0 0
