Date,Country,Streams,TEMP,Indicators
01/01/2017,is,58313,1,0 1 0 0 0 0
02/01/2017,is,83596,4,0 1 0 0 0 0
03/01/2017,is,87558,2,0 0 0 0 0 0
04/01/2017,is,92955,3,0 1 0 0 0 0
05/01/2017,is,94678,3,0 1 1 0 0 0
06/01/2017,is,112674,2,0 1 1 0 0 0
07/01/2017,is,106219,4,0 1 1 0 0 0
08/01/2017,is,95023,3,0 1 0 0 0 0
09/01/2017,is,113904,3,0 1 0 0 0 0
10/01/2017,is,112622,0,0 1 1 0 0 0
11/01/2017,is,111724,-4,0 0 0 0 0 0
12/01/2017,is,111265,-6,0 0 0 0 0 0
13/01/2017,is,120956,-5,0 0 1 0 0 0
14/01/2017,is,110090,0,0 1 1 0 0 0
15/01/2017,is,94053,5,0 1 0 0 0 0
16/01/2017,is,112547,0,0 1 1 1 0 0
17/01/2017,is,108901,0,0 0 1 0 0 0
18/01/2017,is,108327,-1,0 0 1 0 0 0
19/01/2017,is,108875,-1,0 1 1 0 0 0
20/01/2017,is,118143,6,0 1 0 0 0 0
21/01/2017,is,109961,4,1 1 0 0 0 0
22/01/2017,is,92940,3,0 1 0 0 0 0
23/01/2017,is,116185,6,0 1 0 0 0 0
24/01/2017,is,116747,5,0 1 0 0 0 0
25/01/2017,is,114765,3,0 1 0 0 0 0
26/01/2017,is,118785,0,0 1 1 0 0 0
27/01/2017,is,123607,1,0 1 1 0 0 0
28/01/2017,is,113767,-1,0 0 0 0 0 0
29/01/2017,is,95733,-1,0 0 0 0 0 0
30/01/2017,is,117588,3,0 1 0 0 0 0
31/01/2017,is,115955,6,0 1 0 0 0 0
01/02/2017,is,116706,2,0 1 1 0 0 0
02/02/2017,is,120211,1,0 1 1 0 0 0
03/02/2017,is,124898,4,0 1 1 0 0 0
04/02/2017,is,116103,5,0 1 0 0 0 0
05/02/2017,is,100346,2,0 1 0 0 0 0
06/02/2017,is,117447,4,0 1 1 0 0 0
07/02/2017,is,116342,5,0 1 0 0 0 0
08/02/2017,is,114737,6,0 1 1 0 1 0
09/02/2017,is,117059,4,0 1 0 0 0 0
10/02/2017,is,124510,3,0 1 0 0 0 0
11/02/2017,is,114535,6,0 1 0 0 0 0
12/02/2017,is,99810,6,0 1 0 0 0 0
13/02/2017,is,116667,6,0 1 0 0 0 0
14/02/2017,is,115186,5,0 1 0 0 0 0
15/02/2017,is,115943,4,0 1 0 0 0 0
16/02/2017,is,116161,3,0 0 0 0 0 0
17/02/2017,is,125396,6,0 1 0 0 0 0
18/02/2017,is,117816,4,1 1 0 0 0 0
19/02/2017,is,98231,4,1 1 0 0 0 0
20/02/2017,is,114847,3,0 1 1 0 0 0
21/02/2017,is,111665,1,0 1 1 0 0 0
22/02/2017,is,112796,-1,0 1 1 0 0 0
23/02/2017,is,111731,-2,0 0 1 0 0 0
24/02/2017,is,113220,1,0 1 1 0 0 0
25/02/2017,is,112218,1,0 1 1 0 0 0
26/02/2017,is,89739,-2,0 0 1 0 0 0
27/02/2017,is,120305,-3,0 0 0 0 0 0
28/02/2017,is,132104,-1,0 0 0 0 0 0
01/03/2017,is,126980,-2,0 0 0 0 0 0
02/03/2017,is,135372,-2,0 0 0 0 0 0
03/03/2017,is,155653,-2,0 0 0 0 0 0
04/03/2017,is,137611,-2,0 0 0 0 0 0
05/03/2017,is,124487,1,0 0 0 0 0 0
06/03/2017,is,146269,1,0 1 1 0 0 0
07/03/2017,is,145962,3,0 1 0 0 0 0
08/03/2017,is,147926,3,0 1 0 0 0 0
09/03/2017,is,149170,2,0 1 0 0 0 0
10/03/2017,is,156005,3,0 1 0 0 0 0
11/03/2017,is,151542,5,0 1 0 0 0 0
12/03/2017,is,135762,4,0 1 0 0 0 0
13/03/2017,is,150880,3,0 1 0 0 0 0
14/03/2017,is,146069,3,0 1 1 0 0 0
15/03/2017,is,143292,2,0 1 1 0 0 0
16/03/2017,is,175288,1,0 0 1 0 0 0
17/03/2017,is,180008,-2,0 0 0 0 0 0
18/03/2017,is,159870,0,0 0 1 0 0 0
19/03/2017,is,159869,0,0 0 0 0 0 0
20/03/2017,is,184388,1,0 1 1 0 0 0
21/03/2017,is,174741,1,0 0 1 0 0 0
22/03/2017,is,164250,0,0 0 1 0 0 0
23/03/2017,is,159030,3,0 1 1 0 0 0
24/03/2017,is,159444,5,0 1 1 0 0 0
25/03/2017,is,157376,5,0 1 0 0 0 0
26/03/2017,is,135083,3,0 1 0 0 0 0
27/03/2017,is,157369,3,0 0 0 0 0 0
28/03/2017,is,153900,4,0 1 0 0 0 0
29/03/2017,is,153523,4,0 0 0 0 0 0
30/03/2017,is,154458,5,0 0 0 0 0 0
31/03/2017,is,164104,3,0 0 0 0 0 0
01/04/2017,is,151954,4,0 1 0 0 0 0
02/04/2017,is,130815,5,0 1 0 0 0 0
03/04/2017,is,148553,4,1 1 1 0 0 0
04/04/2017,is,146364,0,0 1 1 0 0 0
05/04/2017,is,145895,2,0 1 1 0 0 0
06/04/2017,is,148463,6,0 1 0 0 0 0
07/04/2017,is,157530,7,0 1 0 0 0 0
08/04/2017,is,148297,5,0 1 0 0 0 0
09/04/2017,is,132193,1,0 0 1 0 0 0
