Date,Country,Streams,TEMP,Indicators
01/01/2017,it,1508019,4,0 1 0 0 0 0
02/01/2017,it,2156127,9,0 1 0 0 0 0
03/01/2017,it,2339496,9,0 1 0 0 1 0
04/01/2017,it,2462962,4,0 0 0 0 0 0
05/01/2017,it,2421327,6,0 0 0 0 0 0
06/01/2017,it,2250167,3,0 0 0 0 0 0
07/01/2017,it,2493250,1,0 0 0 0 0 0
08/01/2017,it,2104509,3,0 0 0 0 0 0
09/01/2017,it,2363220,1,0 0 0 0 0 0
10/01/2017,it,2461263,3,0 0 0 0 0 0
11/01/2017,it,2542334,2,0 0 0 0 0 0
12/01/2017,it,2523850,5,0 1 0 0 0 0
13/01/2017,it,2595873,10,0 1 0 0 0 0
14/01/2017,it,2828619,4,0 0 0 0 0 0
15/01/2017,it,2236009,5,0 0 0 0 0 0
16/01/2017,it,2427841,4,0 0 0 0 0 0
17/01/2017,it,2552231,5,0 0 0 0 0 0
18/01/2017,it,2605504,6,0 0 0 0 0 0
19/01/2017,it,2574578,5,0 0 0 0 0 0
20/01/2017,it,2790066,5,0 0 0 0 0 0
21/01/2017,it,2830635,6,0 0 0 0 0 0
22/01/2017,it,2268660,9,0 1 0 0 0 0
23/01/2017,it,2548968,10,0 0 0 0 0 0
24/01/2017,it,2632243,9,0 0 0 0 0 0
25/01/2017,it,2726846,8,0 0 0 0 0 0
26/01/2017,it,2726302,6,0 0 0 0 0 0
27/01/2017,it,2763557,6,0 0 0 0 0 0
28/01/2017,it,2950741,8,0 0 0 0 0 0
29/01/2017,it,2318553,6,0 0 0 0 0 0
30/01/2017,it,2593604,6,0 1 0 0 0 0
31/01/2017,it,2733642,9,0 1 0 0 0 0
01/02/2017,it,2888481,11,0 1 0 0 0 0
02/02/2017,it,2811507,12,0 1 0 0 0 0
03/02/2017,it,3328551,13,0 1 0 0 1 0
04/02/2017,it,3292377,12,0 1 0 0 0 0
05/02/2017,it,2568534,11,0 1 0 0 1 0
06/02/2017,it,2809588,9,0 1 0 0 0 0
07/02/2017,it,2916340,10,0 0 0 0 0 0
