Date,Country,Streams,TEMP,Indicators
01/01/2017,jp,156733,8,0 0 0 0 0 0
02/01/2017,jp,185612,7,0 0 0 0 0 0
03/01/2017,jp,212676,8,0 0 0 0 0 0
04/01/2017,jp,231118,9,0 0 0 0 0 0
05/01/2017,jp,226451,6,0 0 0 0 0 0
06/01/2017,jp,217844,4,0 0 0 0 0 0
07/01/2017,jp,236401,5,0 0 0 0 0 0
08/01/2017,jp,229395,5,0 1 0 0 0 0
09/01/2017,jp,253067,7,0 1 0 0 0 0
10/01/2017,jp,236432,8,0 0 0 0 0 0
11/01/2017,jp,234583,6,0 0 0 0 0 0
12/01/2017,jp,235870,6,0 0 0 0 0 0
13/01/2017,jp,224451,6,0 0 0 0 0 0
14/01/2017,jp,251542,2,0 0 0 0 0 0
15/01/2017,jp,268122,1,0 0 0 0 0 0
16/01/2017,jp,249630,4,0 0 0 0 0 0
17/01/2017,jp,259977,6,0 0 0 0 0 0
18/01/2017,jp,247795,7,0 0 0 0 0 0
19/01/2017,jp,253292,6,0 0 0 0 0 0
20/01/2017,jp,229215,3,0 1 0 0 0 0
21/01/2017,jp,273603,6,0 0 0 0 0 0
22/01/2017,jp,278306,6,0 0 0 0 0 0
23/01/2017,jp,246157,3,0 0 0 0 0 0
24/01/2017,jp,254767,3,0 0 0 0 0 0
25/01/2017,jp,255172,4,0 0 0 0 0 0
26/01/2017,jp,256837,6,0 0 0 0 0 0
27/01/2017,jp,240736,9,0 0 0 0 0 0
28/01/2017,jp,279907,8,0 0 0 0 0 0
29/01/2017,jp,280925,9,0 1 0 0 0 0
30/01/2017,jp,257332,10,0 0 0 0 0 0
31/01/2017,jp,267353,6,0 0 0 0 0 0
01/02/2017,jp,264719,6,0 0 0 0 0 0
02/02/2017,jp,263929,5,0 0 0 0 0 0
03/02/2017,jp,248071,8,0 0 0 0 0 0
04/02/2017,jp,279765,8,0 0 0 0 0 0
05/02/2017,jp,282578,8,0 1 0 0 0 0
06/02/2017,jp,249942,8,0 1 0 0 0 0
07/02/2017,jp,260807,5,0 0 0 0 0 0
08/02/2017,jp,254305,6,0 1 1 0 0 0
09/02/2017,jp,248188,2,0 1 0 0 0 0
10/02/2017,jp,235093,4,0 1 1 0 0 0
11/02/2017,jp,269474,4,0 0 0 0 0 0
12/02/2017,jp,277907,5,0 0 0 0 0 0
13/02/2017,jp,246519,7,0 0 0 0 0 0
14/02/2017,jp,258942,6,0 0 0 0 0 0
15/02/2017,jp,254125,7,0 0 0 0 0 0
16/02/2017,jp,258749,9,0 0 0 0 0 0
17/02/2017,jp,248937,13,0 0 0 0 0 0
18/02/2017,jp,283881,6,0 0 0 0 0 0
19/02/2017,jp,293193,6,0 0 0 0 0 0
20/02/2017,jp,255521,11,0 1 0 0 0 0
21/02/2017,jp,275202,5,0 0 0 0 0 0
22/02/2017,jp,266983,10,0 0 0 0 0 0
23/02/2017,jp,279496,11,0 1 1 0 0 0
24/02/2017,jp,268902,7,0 0 0 0 0 0
25/02/2017,jp,299621,8,0 0 0 0 0 0
26/02/2017,jp,308891,9,0 0 0 0 0 0
27/02/2017,jp,280031,5,0 0 0 0 0 0
28/02/2017,jp,300347,5,0 0 0 0 0 0
01/03/2017,jp,291125,7,0 1 0 0 0 0
02/03/2017,jp,305982,7,0 1 0 0 0 0
03/03/2017,jp,297507,9,0 0 0 0 0 0
04/03/2017,jp,330711,9,0 0 0 0 0 0
05/03/2017,jp,345855,11,0 0 0 0 0 0
06/03/2017,jp,327567,9,0 1 0 0 0 0
07/03/2017,jp,340327,5,0 1 0 0 0 0
08/03/2017,jp,325622,6,0 0 0 0 0 0
09/03/2017,jp,321035,8,0 0 0 0 0 0
10/03/2017,jp,303940,8,0 0 0 0 0 0
11/03/2017,jp,336653,8,0 0 0 0 0 0
12/03/2017,jp,343527,8,0 1 0 0 0 0
13/03/2017,jp,309346,9,0 1 0 0 0 0
14/03/2017,jp,324179,8,0 1 0 0 0 0
15/03/2017,jp,312369,5,0 1 0 0 0 0
16/03/2017,jp,318847,9,0 0 0 0 0 0
17/03/2017,jp,299267,10,0 1 0 0 0 0
18/03/2017,jp,327032,11,0 0 0 0 0 0
19/03/2017,jp,317559,13,0 0 0 0 0 0
20/03/2017,jp,316347,13,0 1 0 0 0 0
21/03/2017,jp,281273,8,0 1 0 0 0 0
22/03/2017,jp,273740,10,0 0 0 0 0 0
23/03/2017,jp,265479,10,0 1 0 0 0 0
24/03/2017,jp,261057,8,0 0 0 0 0 0
25/03/2017,jp,294509,8,0 1 0 0 0 0
26/03/2017,jp,297973,5,0 1 0 0 0 0
27/03/2017,jp,290314,5,0 1 0 0 0 0
28/03/2017,jp,306716,9,0 1 0 0 0 0
29/03/2017,jp,301796,10,0 0 0 0 0 0
30/03/2017,jp,303515,13,0 0 0 0 0 0
31/03/2017,jp,284130,7,0 1 0 0 0 0
01/04/2017,jp,314319,7,0 1 0 0 0 0
02/04/2017,jp,329483,9,0 0 0 0 0 0
03/04/2017,jp,293953,9,0 1 0 0 1 0
04/04/2017,jp,308269,13,0 0 0 0 0 0
05/04/2017,jp,300622,16,0 0 0 0 0 0
06/04/2017,jp,300182,17,0 1 0 0 0 0
07/04/2017,jp,301717,17,0 1 0 0 0 0
08/04/2017,jp,335782,15,0 1 0 0 0 0
09/04/2017,jp,344137,12,0 1 0 0 0 0
10/04/2017,jp,304479,10,0 1 0 0 0 0
11/04/2017,jp,301874,9,0 1 0 0 0 0
12/04/2017,jp,300843,14,0 1 0 0 0 0
13/04/2017,jp,299492,12,0 1 0 0 0 0
14/04/2017,jp,280311,18,0 0 0 0 0 0
15/04/2017,jp,314204,18,0 1 0 0 0 0
16/04/2017,jp,312396,19,0 0 0 0 0 0
17/04/2017,jp,270215,19,0 1 0 0 0 0
18/04/2017,jp,293353,19,0 0 0 0 0 0
19/04/2017,jp,286090,17,0 0 0 0 0 0
20/04/2017,jp,279903,16,0 0 0 0 0 0
21/04/2017,jp,272911,16,0 1 0 0 0 0
22/04/2017,jp,313352,13,0 1 0 0 0 0
23/04/2017,jp,335765,14,0 0 0 0 0 0
24/04/2017,jp,300917,15,0 0 0 0 0 0
25/04/2017,jp,316633,17,0 0 0 0 0 0
26/04/2017,jp,310325,17,0 1 0 0 0 0
27/04/2017,jp,315255,14,0 0 0 0 0 0
28/04/2017,jp,302126,16,0 0 0 0 0 0
29/04/2017,jp,348029,16,0 1 0 0 0 0
30/04/2017,jp,362440,19,0 0 0 0 0 0
01/05/2017,jp,333792,17,0 0 0 0 1 0
02/05/2017,jp,350650,17,0 0 0 0 0 0
03/05/2017,jp,349124,18,0 0 0 0 0 0
04/05/2017,jp,341574,18,0 0 0 0 0 0
05/05/2017,jp,340380,20,0 0 0 0 0 0
06/05/2017,jp,329030,23,0 0 0 0 0 0
07/05/2017,jp,355910,19,0 0 0 0 0 0
08/05/2017,jp,326294,22,0 0 0 0 0 0
09/05/2017,jp,324913,18,0 1 0 0 0 0
10/05/2017,jp,333032,17,0 1 0 0 0 0
11/05/2017,jp,335071,22,0 1 0 0 0 0
12/05/2017,jp,316564,22,0 1 0 0 0 0
13/05/2017,jp,349111,17,0 1 0 0 0 0
14/05/2017,jp,384438,17,0 1 0 0 0 0
15/05/2017,jp,353873,18,0 1 0 0 0 0
16/05/2017,jp,361221,19,0 0 0 0 0 0
17/05/2017,jp,358898,17,0 0 0 0 0 0
18/05/2017,jp,397965,17,0 1 0 0 1 0
19/05/2017,jp,376633,21,0 0 0 0 0 0
20/05/2017,jp,420148,23,0 0 0 0 0 0
21/05/2017,jp,432124,24,0 0 0 0 0 0
22/05/2017,jp,389152,23,0 0 0 0 0 0
23/05/2017,jp,401981,22,0 0 0 0 0 0
24/05/2017,jp,393814,22,0 1 0 0 0 0
25/05/2017,jp,391982,20,0 1 0 0 0 0
26/05/2017,jp,373992,19,0 1 0 0 0 0
27/05/2017,jp,431101,21,0 0 0 0 0 0
28/05/2017,jp,447203,21,0 0 0 0 0 0
29/05/2017,jp,397437,22,0 0 0 0 0 0
01/06/2017,jp,378454,22,0 1 0 0 0 0
03/06/2017,jp,405729,21,0 0 0 0 0 0
04/06/2017,jp,424484,21,0 0 0 0 0 0
