Date,Country,Streams,TEMP,Indicators
01/01/2017,lt,40889,2,0 1 0 0 0 0
02/01/2017,lt,76388,0,0 1 1 0 0 0
03/01/2017,lt,81387,-2,0 0 1 0 0 0
04/01/2017,lt,81058,-2,0 1 1 0 0 0
05/01/2017,lt,77175,-15,0 0 1 0 0 0
06/01/2017,lt,83450,-19,0 0 0 0 0 0
07/01/2017,lt,79857,-21,1 0 1 0 0 0
08/01/2017,lt,59283,-12,0 0 1 0 0 0
09/01/2017,lt,63883,-8,1 0 1 0 0 0
10/01/2017,lt,80902,-11,0 0 0 0 0 0
11/01/2017,lt,78191,-8,0 0 0 0 0 0
12/01/2017,lt,82239,-5,0 1 1 0 0 0
13/01/2017,lt,93414,0,0 1 1 0 0 0
14/01/2017,lt,89695,0,0 1 1 0 0 0
15/01/2017,lt,83427,-2,0 0 1 0 0 0
16/01/2017,lt,80575,-5,1 0 1 0 0 0
17/01/2017,lt,87626,-5,1 0 0 0 0 0
18/01/2017,lt,88381,-8,1 0 0 0 0 0
19/01/2017,lt,87948,-5,0 1 1 0 0 0
20/01/2017,lt,91379,0,0 1 0 0 0 0
21/01/2017,lt,90970,0,1 1 0 0 0 0
22/01/2017,lt,95350,-1,1 1 0 0 0 0
23/01/2017,lt,85541,-2,0 1 1 0 0 0
24/01/2017,lt,91940,0,0 1 1 0 0 0
25/01/2017,lt,89580,-6,0 0 1 0 0 0
26/01/2017,lt,89640,-8,0 1 1 0 0 0
27/01/2017,lt,88526,0,1 1 0 0 0 0
28/01/2017,lt,82418,0,1 1 0 0 0 0
29/01/2017,lt,88467,-1,0 0 0 0 0 0
30/01/2017,lt,85544,-3,0 0 0 0 0 0
31/01/2017,lt,90842,-5,0 0 0 0 0 0
01/02/2017,lt,89064,-6,1 0 1 0 0 0
02/02/2017,lt,89091,-3,0 0 1 0 0 0
03/02/2017,lt,93417,-3,0 0 0 0 0 0
04/02/2017,lt,91841,-2,0 0 0 0 0 0
05/02/2017,lt,95629,-2,0 0 0 0 0 0
06/02/2017,lt,86897,-8,0 0 1 0 0 0
07/02/2017,lt,90039,-12,0 0 1 0 0 0
08/02/2017,lt,86446,-13,0 0 0 0 0 0
09/02/2017,lt,85371,-10,0 0 0 0 0 0
10/02/2017,lt,86286,-8,0 0 0 0 0 0
11/02/2017,lt,87028,-5,0 0 0 0 0 0
12/02/2017,lt,98060,-7,0 0 1 0 0 0
13/02/2017,lt,85698,-7,0 0 0 0 0 0
14/02/2017,lt,91252,0,0 0 0 0 0 0
15/02/2017,lt,89416,-1,1 0 1 0 0 0
16/02/2017,lt,83658,-2,1 0 1 0 0 0
17/02/2017,lt,90461,1,1 1 0 0 0 0
18/02/2017,lt,82589,1,1 1 0 0 0 0
19/02/2017,lt,92442,1,0 1 1 0 0 0
20/02/2017,lt,89604,2,0 1 0 0 0 0
21/02/2017,lt,95268,3,0 1 0 0 0 0
22/02/2017,lt,86669,-1,0 1 1 0 0 0
23/02/2017,lt,107450,2,0 1 1 0 0 0
24/02/2017,lt,98816,0,0 1 1 0 0 0
25/02/2017,lt,98849,-2,0 1 1 0 0 0
26/02/2017,lt,102298,0,0 1 1 0 0 0
27/02/2017,lt,94739,5,0 1 0 0 0 0
28/02/2017,lt,98905,6,0 0 0 0 0 0
01/03/2017,lt,111238,5,0 1 0 0 0 0
02/03/2017,lt,113329,3,0 1 0 0 0 0
03/03/2017,lt,108607,2,0 1 0 0 0 0
04/03/2017,lt,102629,4,0 0 0 0 0 0
05/03/2017,lt,103581,4,1 1 0 0 0 0
06/03/2017,lt,98766,1,1 1 0 0 0 0
07/03/2017,lt,100905,2,0 1 0 0 0 0
08/03/2017,lt,105766,3,0 1 0 0 0 0
09/03/2017,lt,114664,4,1 1 0 0 0 0
10/03/2017,lt,99518,3,0 1 0 0 0 0
11/03/2017,lt,95383,2,1 1 0 0 0 0
12/03/2017,lt,102222,3,0 0 0 0 0 0
13/03/2017,lt,94497,3,0 0 0 0 0 0
14/03/2017,lt,98433,3,0 0 0 0 0 0
15/03/2017,lt,100606,4,0 1 0 0 0 0
16/03/2017,lt,110900,3,0 1 0 0 0 0
17/03/2017,lt,94960,1,0 1 0 0 0 0
18/03/2017,lt,95791,3,1 1 0 0 0 0
19/03/2017,lt,100643,2,1 1 0 0 0 0
20/03/2017,lt,95730,2,1 0 0 0 0 0
21/03/2017,lt,96017,6,1 1 0 0 0 0
22/03/2017,lt,99276,4,1 1 0 0 0 0
23/03/2017,lt,106745,4,0 0 0 0 0 0
24/03/2017,lt,100056,4,0 1 0 0 0 0
25/03/2017,lt,96388,0,0 1 1 0 0 0
26/03/2017,lt,94138,2,0 1 0 0 0 0
27/03/2017,lt,91892,8,0 0 0 0 0 0
28/03/2017,lt,93888,5,0 0 0 0 0 0
29/03/2017,lt,94785,2,0 0 0 0 0 0
30/03/2017,lt,102679,2,0 0 0 0 0 0
31/03/2017,lt,95889,7,0 1 0 0 0 0
