Date,Country,Streams,TEMP,Indicators
01/01/2017,lu,1020,-4,1 1 1 0 0 0
02/01/2017,lu,3523,-2,1 0 1 0 0 0
03/01/2017,lu,7863,-1,1 1 1 0 0 0
04/01/2017,lu,6797,0,1 1 1 0 1 0
05/01/2017,lu,7954,-1,0 1 1 0 1 0
06/01/2017,lu,14585,-7,0 0 0 0 0 0
07/01/2017,lu,14698,-6,0 1 1 0 0 0
08/01/2017,lu,10313,0,1 1 1 0 0 0
09/01/2017,lu,11085,1,1 1 1 0 1 0
10/01/2017,lu,12277,1,1 1 1 0 0 0
11/01/2017,lu,13918,3,1 1 0 0 0 0
12/01/2017,lu,14077,3,0 1 0 0 0 0
13/01/2017,lu,14946,0,0 1 1 0 0 0
14/01/2017,lu,17213,0,0 1 1 0 0 0
15/01/2017,lu,12775,0,0 0 1 0 0 0
16/01/2017,lu,11067,-2,0 1 1 0 0 0
17/01/2017,lu,12192,-5,0 0 0 0 0 0
18/01/2017,lu,13232,-5,0 0 0 0 0 0
19/01/2017,lu,13425,-4,0 0 0 0 0 0
20/01/2017,lu,16205,-2,0 0 0 0 0 0
21/01/2017,lu,16756,-3,0 0 0 0 0 0
22/01/2017,lu,13811,-3,0 0 0 0 0 0
23/01/2017,lu,12257,-4,1 0 0 0 0 0
24/01/2017,lu,14017,-2,1 0 1 0 0 0
25/01/2017,lu,12566,-5,0 0 1 0 0 0
26/01/2017,lu,14469,-4,0 0 0 0 0 0
27/01/2017,lu,15016,-2,0 0 0 0 0 0
28/01/2017,lu,16559,0,0 1 0 0 0 0
29/01/2017,lu,10816,2,1 1 0 0 0 0
30/01/2017,lu,11336,4,1 1 0 0 0 0
31/01/2017,lu,13125,2,1 1 0 0 0 0
01/02/2017,lu,12635,1,1 1 0 0 0 0
02/02/2017,lu,15477,7,1 1 0 0 0 0
03/02/2017,lu,18510,7,0 1 0 0 0 0
04/02/2017,lu,17133,4,0 1 0 0 0 0
05/02/2017,lu,12979,3,1 1 0 0 0 0
06/02/2017,lu,12976,5,1 1 0 0 0 0
07/02/2017,lu,14599,3,0 1 0 0 0 0
08/02/2017,lu,15483,3,1 1 0 0 0 0
09/02/2017,lu,18021,0,0 0 0 0 0 0
10/02/2017,lu,17249,-1,0 0 1 0 0 0
11/02/2017,lu,21818,0,1 1 1 0 0 0
12/02/2017,lu,16915,3,1 1 0 0 0 0
13/02/2017,lu,14483,1,0 0 0 0 0 0
14/02/2017,lu,19627,3,0 0 0 0 0 0
15/02/2017,lu,17528,7,0 0 0 0 0 0
16/02/2017,lu,17538,6,1 1 0 0 0 0
17/02/2017,lu,23592,5,1 1 0 0 0 0
18/02/2017,lu,24510,5,0 0 0 0 0 0
19/02/2017,lu,16563,4,0 1 0 0 0 0
20/02/2017,lu,20806,6,1 1 0 0 0 0
21/02/2017,lu,18837,9,1 1 1 0 0 0
22/02/2017,lu,19475,8,0 1 0 0 0 0
23/02/2017,lu,24934,7,0 1 0 0 0 0
24/02/2017,lu,26336,3,0 1 1 1 0 0
25/02/2017,lu,26486,0,1 0 0 0 0 0
26/02/2017,lu,16709,6,0 1 0 0 0 0
27/02/2017,lu,19553,8,0 1 0 0 1 0
28/02/2017,lu,22104,3,0 1 1 0 0 0
01/03/2017,lu,26889,5,0 1 0 0 0 0
02/03/2017,lu,33051,6,0 1 0 0 0 0
03/03/2017,lu,41221,7,0 0 0 0 0 0
04/03/2017,lu,39531,8,0 1 0 0 0 0
05/03/2017,lu,27761,5,0 1 1 0 0 0
06/03/2017,lu,31532,5,0 1 0 0 0 0
07/03/2017,lu,32149,4,0 1 1 0 0 0
08/03/2017,lu,33752,5,1 1 0 0 0 0
09/03/2017,lu,35247,10,0 1 0 0 0 0
10/03/2017,lu,36993,6,0 0 0 0 0 0
11/03/2017,lu,34613,8,0 0 0 0 0 0
12/03/2017,lu,31399,9,0 0 0 0 0 0
13/03/2017,lu,28403,9,0 0 0 0 0 0
14/03/2017,lu,30560,9,1 0 0 0 0 0
15/03/2017,lu,30248,10,0 0 0 0 0 0
16/03/2017,lu,36007,11,0 0 0 0 0 0
17/03/2017,lu,33302,9,0 0 0 0 0 0
18/03/2017,lu,34156,7,0 1 0 0 0 0
19/03/2017,lu,27257,10,0 1 0 0 0 0
20/03/2017,lu,28720,9,0 1 0 0 0 0
21/03/2017,lu,31323,7,0 1 0 0 0 0
22/03/2017,lu,30717,5,0 1 0 0 0 0
23/03/2017,lu,32942,8,0 0 0 0 0 0
24/03/2017,lu,34143,9,0 0 0 0 0 0
25/03/2017,lu,37684,10,0 0 0 0 0 0
26/03/2017,lu,30992,11,0 0 0 0 0 0
27/03/2017,lu,31289,11,0 0 0 0 0 0
28/03/2017,lu,31590,13,0 0 0 0 0 0
29/03/2017,lu,33972,11,0 0 0 0 0 0
30/03/2017,lu,38757,15,0 0 0 0 0 0
31/03/2017,lu,37589,15,0 0 0 0 0 0
01/04/2017,lu,35727,11,0 1 0 0 0 0
02/04/2017,lu,31281,11,1 0 0 0 0 0
03/04/2017,lu,33749,13,0 0 0 0 0 0
04/04/2017,lu,31036,11,0 0 0 0 0 0
05/04/2017,lu,30270,10,0 0 0 0 0 0
06/04/2017,lu,32276,6,0 0 0 0 0 0
07/04/2017,lu,39586,9,0 0 0 0 0 0
08/04/2017,lu,39583,12,0 0 0 0 0 0
09/04/2017,lu,34674,15,0 0 0 0 0 0
10/04/2017,lu,27862,12,0 0 0 0 0 0
11/04/2017,lu,28026,9,0 0 0 0 0 0
12/04/2017,lu,30282,10,0 0 0 0 0 0
13/04/2017,lu,29864,10,0 0 0 0 0 0
14/04/2017,lu,35299,10,0 0 0 0 0 0
15/04/2017,lu,24442,8,0 1 1 0 0 0
16/04/2017,lu,17163,7,0 1 0 0 0 0
17/04/2017,lu,21464,6,0 1 0 0 0 0
18/04/2017,lu,26597,5,0 1 0 1 0 0
19/04/2017,lu,27956,3,0 0 0 0 0 0
20/04/2017,lu,30131,6,0 0 0 0 0 0
21/04/2017,lu,30092,9,0 0 0 0 0 0
22/04/2017,lu,31658,9,0 1 0 0 0 0
23/04/2017,lu,23069,7,0 0 0 0 0 0
24/04/2017,lu,29070,9,0 0 0 0 0 0
25/04/2017,lu,29399,6,0 1 0 0 0 0
26/04/2017,lu,26350,6,0 0 0 0 0 0
27/04/2017,lu,31094,6,0 0 0 0 0 0
28/04/2017,lu,33240,5,0 1 0 0 0 0
29/04/2017,lu,34783,8,0 1 0 0 0 0
30/04/2017,lu,29957,12,0 1 0 0 0 0
01/05/2017,lu,20521,9,0 1 0 0 0 0
02/05/2017,lu,28514,9,0 1 0 0 0 0
03/05/2017,lu,26056,9,1 1 0 0 1 0
04/05/2017,lu,28128,11,0 0 0 0 0 0
05/05/2017,lu,34511,11,0 0 0 0 0 0
06/05/2017,lu,32646,11,0 1 0 0 0 0
07/05/2017,lu,18919,12,1 1 0 0 0 0
08/05/2017,lu,22362,8,0 1 0 0 0 0
09/05/2017,lu,26376,10,0 0 0 0 0 0
10/05/2017,lu,33029,13,0 0 0 0 0 0
11/05/2017,lu,33458,15,0 1 0 0 0 0
12/05/2017,lu,38881,15,0 1 0 0 1 0
13/05/2017,lu,32004,14,0 1 0 0 0 0
14/05/2017,lu,22137,14,1 1 0 0 0 0
15/05/2017,lu,31999,16,1 0 0 0 0 0
16/05/2017,lu,37462,20,0 0 0 0 0 0
17/05/2017,lu,31983,22,0 0 0 0 0 0
18/05/2017,lu,29763,18,0 1 0 0 0 0
19/05/2017,lu,32963,11,0 1 0 0 0 0
20/05/2017,lu,35095,11,0 1 0 0 0 0
21/05/2017,lu,26232,15,0 0 0 0 0 0
22/05/2017,lu,30955,18,0 0 0 0 0 0
23/05/2017,lu,29166,19,0 0 0 0 0 0
24/05/2017,lu,33842,17,0 0 0 0 0 0
25/05/2017,lu,34546,18,0 0 0 0 0 0
26/05/2017,lu,36878,20,0 0 0 0 0 0
27/05/2017,lu,36486,23,0 0 0 0 0 0
28/05/2017,lu,27334,25,0 0 0 0 1 0
29/05/2017,lu,26497,25,0 0 0 0 1 0
