Date,Country,Streams,TEMP,Indicators
01/01/2017,lv,23815,6,0 1 0 0 0 0
02/01/2017,lv,59342,0,0 1 1 0 0 0
03/01/2017,lv,73248,-3,0 0 1 0 0 0
04/01/2017,lv,60636,-6,0 0 1 0 0 0
05/01/2017,lv,52257,-12,0 0 1 0 0 0
06/01/2017,lv,65253,-15,0 0 1 0 0 0
07/01/2017,lv,60666,-15,0 0 1 0 0 0
08/01/2017,lv,55100,-6,0 0 1 0 0 0
09/01/2017,lv,64103,-2,0 1 1 0 0 0
10/01/2017,lv,69969,-6,0 0 1 0 0 0
11/01/2017,lv,63757,-8,0 0 0 0 0 0
12/01/2017,lv,66705,-5,0 0 1 0 0 0
13/01/2017,lv,85295,1,0 1 1 0 0 0
14/01/2017,lv,71361,-1,0 1 1 0 0 0
15/01/2017,lv,73259,-1,0 0 1 0 0 0
16/01/2017,lv,76315,-6,1 0 1 0 0 0
17/01/2017,lv,81735,-5,1 0 1 0 0 0
18/01/2017,lv,79223,-2,0 1 1 0 0 0
19/01/2017,lv,81113,2,0 1 0 0 0 0
20/01/2017,lv,84118,2,1 0 0 0 0 0
21/01/2017,lv,76451,2,0 0 0 0 0 0
22/01/2017,lv,84543,1,0 0 0 0 0 0
23/01/2017,lv,81650,1,0 1 1 0 0 0
24/01/2017,lv,85463,1,0 1 1 0 0 0
25/01/2017,lv,81888,-4,0 0 0 0 0 0
26/01/2017,lv,80895,-1,0 1 1 0 0 0
27/01/2017,lv,77787,2,1 1 0 0 0 0
28/01/2017,lv,72761,0,0 1 0 0 0 0
29/01/2017,lv,77997,0,0 1 0 0 0 0
30/01/2017,lv,80723,-1,0 1 1 0 0 0
31/01/2017,lv,83484,-1,0 0 0 0 0 0
01/02/2017,lv,81137,-4,0 0 1 0 0 0
02/02/2017,lv,79494,-2,0 0 0 0 0 0
03/02/2017,lv,80749,-1,0 0 1 0 0 0
04/02/2017,lv,76939,-2,0 0 0 0 0 0
05/02/2017,lv,87590,-1,0 1 1 0 0 0
06/02/2017,lv,75161,-8,0 0 0 0 0 0
07/02/2017,lv,85986,-11,0 0 0 0 0 0
08/02/2017,lv,85040,-12,0 0 0 0 0 0
09/02/2017,lv,86054,-10,0 0 0 0 0 0
10/02/2017,lv,85015,-8,0 0 0 0 0 0
11/02/2017,lv,73786,-7,0 0 0 0 0 0
12/02/2017,lv,88459,-6,0 0 1 0 0 0
13/02/2017,lv,86938,-2,0 0 0 0 0 0
14/02/2017,lv,88149,2,0 0 0 0 0 0
15/02/2017,lv,85327,-1,1 1 0 0 0 0
16/02/2017,lv,84052,0,1 0 0 0 0 0
17/02/2017,lv,85955,3,0 1 0 0 0 0
18/02/2017,lv,83213,2,1 0 0 0 0 0
19/02/2017,lv,93702,3,0 0 0 0 0 0
20/02/2017,lv,91347,4,0 1 0 0 0 0
21/02/2017,lv,97814,1,0 1 1 0 0 0
22/02/2017,lv,90593,-3,0 1 1 0 1 0
23/02/2017,lv,104709,1,0 1 0 0 0 0
24/02/2017,lv,92649,-1,0 0 0 0 0 0
25/02/2017,lv,89800,-2,0 0 1 0 0 0
26/02/2017,lv,99256,1,0 1 1 0 0 0
27/02/2017,lv,90316,2,1 1 1 0 0 0
28/02/2017,lv,96885,5,1 1 0 0 0 0
01/03/2017,lv,103834,3,1 1 0 0 0 0
02/03/2017,lv,106328,3,0 1 0 0 0 0
03/03/2017,lv,102751,3,0 1 0 0 0 0
04/03/2017,lv,92430,4,0 1 0 0 0 0
05/03/2017,lv,98836,0,0 1 1 0 0 0
06/03/2017,lv,98092,-2,0 0 1 0 0 0
07/03/2017,lv,102361,-1,0 1 1 0 0 0
08/03/2017,lv,101020,1,0 0 0 0 0 0
09/03/2017,lv,112984,2,0 0 0 0 0 0
10/03/2017,lv,96614,2,0 0 0 0 0 0
11/03/2017,lv,91627,1,1 1 0 0 0 0
12/03/2017,lv,94615,0,1 1 0 0 0 0
13/03/2017,lv,100869,-2,1 0 0 0 0 0
14/03/2017,lv,98390,3,0 1 0 0 0 0
15/03/2017,lv,103337,6,0 1 0 0 0 0
16/03/2017,lv,110306,2,0 1 0 0 0 0
17/03/2017,lv,96436,3,0 1 0 0 0 0
18/03/2017,lv,80671,3,0 1 0 0 0 0
19/03/2017,lv,92329,2,1 0 0 0 0 0
20/03/2017,lv,88018,3,1 1 0 0 0 0
21/03/2017,lv,92999,5,0 1 0 0 0 0
22/03/2017,lv,94610,5,0 0 0 0 0 0
23/03/2017,lv,100679,5,0 0 0 0 0 0
24/03/2017,lv,93422,1,0 0 0 0 0 0
25/03/2017,lv,84114,1,0 1 1 0 0 0
26/03/2017,lv,88972,5,1 0 0 0 0 0
27/03/2017,lv,85611,7,0 0 0 0 0 0
28/03/2017,lv,88010,3,0 0 0 0 0 0
29/03/2017,lv,92179,1,0 0 0 0 0 0
30/03/2017,lv,95097,3,0 1 0 0 0 0
31/03/2017,lv,89357,3,0 1 1 0 0 0
01/04/2017,lv,80128,10,0 1 0 0 0 0
02/04/2017,lv,85245,11,1 1 0 0 0 0
03/04/2017,lv,83926,3,1 1 0 0 0 0
04/04/2017,lv,78868,7,0 0 0 0 0 0
05/04/2017,lv,87955,7,0 1 0 0 0 0
06/04/2017,lv,88555,4,0 1 0 0 0 0
07/04/2017,lv,85888,4,0 1 0 0 0 0
08/04/2017,lv,77510,4,0 1 0 0 0 0
09/04/2017,lv,77100,8,0 1 0 0 0 0
10/04/2017,lv,76319,11,0 1 0 0 0 0
11/04/2017,lv,78707,5,0 1 0 0 0 0
12/04/2017,lv,76816,5,0 1 0 0 0 0
13/04/2017,lv,89787,3,0 1 0 0 0 0
14/04/2017,lv,108260,0,0 0 0 0 0 0
15/04/2017,lv,92632,0,0 1 1 0 0 0
16/04/2017,lv,79265,0,0 0 1 0 0 0
17/04/2017,lv,89909,0,0 0 1 0 0 0
18/04/2017,lv,97234,0,0 1 1 0 0 0
19/04/2017,lv,100365,1,0 0 0 0 0 0
20/04/2017,lv,95467,3,0 1 0 0 0 0
21/04/2017,lv,92153,7,0 1 1 0 0 0
22/04/2017,lv,86218,4,0 1 1 0 0 0
23/04/2017,lv,85318,4,0 1 0 0 0 0
24/04/2017,lv,88476,5,0 1 1 0 0 0
25/04/2017,lv,87505,4,0 1 0 0 0 0
26/04/2017,lv,89540,4,0 1 0 0 0 0
27/04/2017,lv,90147,4,0 1 0 0 0 0
28/04/2017,lv,84775,6,1 1 0 0 0 0
29/04/2017,lv,78433,5,0 1 0 0 0 0
30/04/2017,lv,81034,4,0 1 0 0 0 0
01/05/2017,lv,83100,4,0 0 0 0 0 0
02/05/2017,lv,86611,7,0 0 0 0 0 0
03/05/2017,lv,88960,8,0 0 0 0 0 0
04/05/2017,lv,84868,11,0 0 0 0 0 0
05/05/2017,lv,80991,10,0 0 0 0 0 0
06/05/2017,lv,66131,10,0 0 0 0 0 0
07/05/2017,lv,71217,10,0 0 0 0 0 0
08/05/2017,lv,83593,5,0 1 0 0 0 0
09/05/2017,lv,81556,3,0 0 1 0 0 0
10/05/2017,lv,86098,2,0 1 1 0 1 0
11/05/2017,lv,84080,3,0 0 0 0 0 0
12/05/2017,lv,90325,5,0 0 0 0 0 0
13/05/2017,lv,77720,10,0 0 0 0 0 0
14/05/2017,lv,83012,15,0 0 0 0 0 0
15/05/2017,lv,86679,13,0 1 0 0 1 0
16/05/2017,lv,88656,7,0 0 0 0 0 0
17/05/2017,lv,89651,12,0 1 0 0 0 0
18/05/2017,lv,95172,16,0 1 0 0 0 0
19/05/2017,lv,97685,20,0 0 0 0 0 0
20/05/2017,lv,76734,19,0 0 0 0 0 0
21/05/2017,lv,84397,16,0 0 0 0 0 0
22/05/2017,lv,92102,14,0 0 0 0 0 0
23/05/2017,lv,94119,11,1 1 0 0 0 0
24/05/2017,lv,96375,10,0 1 0 0 0 0
25/05/2017,lv,95872,14,1 1 0 0 0 0
26/05/2017,lv,97628,13,0 1 0 0 0 0
27/05/2017,lv,75711,14,0 1 0 0 0 0
28/05/2017,lv,83471,19,0 0 0 0 0 0
29/05/2017,lv,94468,17,0 0 0 0 0 0
01/06/2017,lv,99198,10,0 1 0 0 0 0
03/06/2017,lv,85908,11,0 1 0 0 0 0
04/06/2017,lv,80232,13,0 1 0 0 0 0
05/06/2017,lv,94210,13,0 1 0 0 0 0
06/06/2017,lv,94176,16,0 0 0 0 0 0
07/06/2017,lv,93161,16,0 1 0 0 0 0
08/06/2017,lv,96216,13,1 1 0 0 0 0
09/06/2017,lv,94010,15,0 0 0 0 0 0
10/06/2017,lv,72693,18,0 0 0 0 0 0
11/06/2017,lv,78972,17,0 1 0 0 0 0
12/06/2017,lv,93877,15,0 1 0 0 0 0
13/06/2017,lv,97683,13,0 1 0 0 0 0
14/06/2017,lv,98762,14,0 1 0 0 0 0
15/06/2017,lv,99696,15,0 0 0 0 0 0
16/06/2017,lv,95572,17,0 0 0 0 0 0
17/06/2017,lv,84754,19,0 0 0 0 0 0
18/06/2017,lv,82880,19,0 0 0 0 0 0
19/06/2017,lv,96827,19,0 0 0 0 0 0
20/06/2017,lv,95915,16,0 1 0 0 0 0
21/06/2017,lv,96397,13,0 1 0 0 1 0
22/06/2017,lv,95478,13,0 1 0 0 1 0
23/06/2017,lv,75890,14,0 0 0 0 0 0
24/06/2017,lv,44595,14,0 1 0 0 0 0
25/06/2017,lv,67482,15,0 1 0 0 0 0
26/06/2017,lv,92183,14,0 1 0 0 0 0
27/06/2017,lv,99628,15,0 0 0 0 0 0
28/06/2017,lv,98840,15,0 0 0 0 0 0
29/06/2017,lv,91996,17,0 1 0 0 0 0
30/06/2017,lv,93157,18,0 1 0 0 0 0
01/07/2017,lv,79929,16,0 1 0 0 0 0
02/07/2017,lv,73766,16,0 1 0 0 0 0
03/07/2017,lv,91334,15,0 1 0 0 0 0
04/07/2017,lv,92756,14,0 1 0 0 1 0
05/07/2017,lv,97957,14,0 1 0 0 0 0
06/07/2017,lv,92442,13,0 1 0 0 0 0
07/07/2017,lv,97998,15,0 0 0 0 0 0
08/07/2017,lv,81992,16,0 1 0 0 0 0
