Date,Country,Streams,TEMP,Indicators
01/01/2017,mx,7307092,16,0 0 0 0 0 0
02/01/2017,mx,6804880,15,0 0 0 0 0 0
03/01/2017,mx,7448082,16,0 0 0 0 0 0
04/01/2017,mx,7236459,17,0 0 0 0 0 0
05/01/2017,mx,7134942,18,0 0 0 0 0 0
06/01/2017,mx,7364197,17,0 0 0 0 0 0
07/01/2017,mx,7323713,17,0 0 0 0 0 0
08/01/2017,mx,6150440,13,0 0 0 0 0 0
09/01/2017,mx,7075083,12,0 0 0 0 0 0
10/01/2017,mx,7391625,13,0 0 0 0 0 0
11/01/2017,mx,7572447,15,0 0 0 0 0 0
12/01/2017,mx,7681873,15,0 0 0 0 0 0
13/01/2017,mx,7785338,16,0 0 0 0 0 0
14/01/2017,mx,7947267,17,0 0 0 0 0 0
15/01/2017,mx,6632087,15,0 0 0 0 0 0
16/01/2017,mx,7281793,15,0 0 0 0 0 0
17/01/2017,mx,7730558,16,0 0 0 0 0 0
18/01/2017,mx,7658255,14,0 0 0 0 0 0
19/01/2017,mx,7750818,17,0 0 0 0 0 0
20/01/2017,mx,7891388,15,0 0 0 0 0 0
21/01/2017,mx,8034329,15,0 0 0 0 0 0
22/01/2017,mx,6647402,15,0 0 0 0 0 0
23/01/2017,mx,7259636,17,0 0 0 0 0 0
24/01/2017,mx,8163204,16,0 0 0 0 0 0
25/01/2017,mx,8321577,16,0 0 0 0 0 0
26/01/2017,mx,8525170,16,0 0 0 0 0 0
27/01/2017,mx,8882651,18,0 0 0 0 0 0
28/01/2017,mx,8762496,17,0 0 0 0 0 0
29/01/2017,mx,7057543,15,0 0 0 0 0 0
30/01/2017,mx,7831540,14,0 0 0 0 0 0
31/01/2017,mx,8635025,14,0 0 0 0 0 0
01/02/2017,mx,8839533,16,0 0 0 0 0 0
02/02/2017,mx,8896129,17,0 0 0 0 0 0
03/02/2017,mx,9175586,18,0 0 0 0 0 0
04/02/2017,mx,9492365,17,0 0 0 0 0 0
05/02/2017,mx,7864269,17,0 0 0 0 0 0
06/02/2017,mx,7709662,18,0 0 0 0 0 0
07/02/2017,mx,8679475,18,0 0 0 0 0 0
08/02/2017,mx,9236468,18,0 0 0 0 0 0
09/02/2017,mx,9222033,20,0 0 0 0 0 0
10/02/2017,mx,9439628,18,0 0 0 0 0 0
11/02/2017,mx,9829262,19,0 0 0 0 0 0
12/02/2017,mx,8252359,18,0 0 0 0 0 0
13/02/2017,mx,8628139,18,0 0 0 0 0 0
14/02/2017,mx,9145095,17,0 0 0 0 0 0
15/02/2017,mx,8946513,16,0 0 0 0 0 0
16/02/2017,mx,8998772,16,0 0 0 0 0 0
17/02/2017,mx,9366276,15,0 0 0 0 0 0
18/02/2017,mx,9700620,16,0 0 0 0 0 0
19/02/2017,mx,7902155,17,0 0 0 0 0 0
20/02/2017,mx,8498031,16,0 0 0 0 0 0
21/02/2017,mx,9182402,17,0 0 0 0 0 0
22/02/2017,mx,9327341,17,0 0 0 0 0 0
23/02/2017,mx,9380524,18,0 0 0 0 0 0
24/02/2017,mx,9887544,18,0 0 0 0 0 0
25/02/2017,mx,10005230,18,0 0 0 0 0 0
26/02/2017,mx,8101050,20,0 0 0 0 0 0
27/02/2017,mx,8593891,19,0 0 0 0 0 0
28/02/2017,mx,9436876,19,0 0 0 0 0 0
01/03/2017,mx,9533256,20,0 0 0 0 0 0
02/03/2017,mx,9475341,21,0 0 0 0 0 0
03/03/2017,mx,9759542,17,0 0 0 0 0 0
04/03/2017,mx,9781198,17,0 0 0 0 0 0
05/03/2017,mx,8192165,19,0 0 0 0 0 0
06/03/2017,mx,8725607,19,0 0 0 0 0 0
07/03/2017,mx,9157035,20,0 0 0 0 0 0
08/03/2017,mx,9082516,20,0 0 0 0 0 0
09/03/2017,mx,9059908,19,0 0 0 0 0 0
10/03/2017,mx,9416732,18,0 1 0 0 0 0
11/03/2017,mx,9749121,19,0 1 0 0 0 0
12/03/2017,mx,8076650,14,0 1 0 0 1 0
13/03/2017,mx,8461245,15,0 0 0 0 0 0
14/03/2017,mx,8983354,17,0 0 0 0 0 0
15/03/2017,mx,8890663,18,0 1 0 0 0 0
16/03/2017,mx,9060258,18,0 0 0 0 0 0
17/03/2017,mx,9484428,19,0 0 0 0 0 0
18/03/2017,mx,9787796,20,0 0 0 0 0 0
19/03/2017,mx,7982523,19,0 0 0 0 0 0
20/03/2017,mx,8255575,20,0 0 0 0 0 0
21/03/2017,mx,8757172,21,0 0 0 0 0 0
22/03/2017,mx,9074100,23,0 0 0 0 0 0
23/03/2017,mx,9085993,22,0 0 0 0 0 0
24/03/2017,mx,9422101,21,0 0 0 0 0 0
25/03/2017,mx,9713087,22,0 0 0 0 0 0
26/03/2017,mx,8264507,21,0 1 0 0 0 0
27/03/2017,mx,8626520,18,0 0 0 0 0 0
28/03/2017,mx,9234029,20,0 0 0 0 0 0
29/03/2017,mx,9281345,20,0 0 0 0 0 0
30/03/2017,mx,9369085,19,0 0 0 0 0 0
31/03/2017,mx,9734027,20,0 0 0 0 0 0
01/04/2017,mx,9787397,20,0 0 0 0 0 0
02/04/2017,mx,8235752,20,0 0 0 0 0 0
03/04/2017,mx,8684232,19,0 0 0 0 0 0
04/04/2017,mx,9028720,20,0 0 0 0 0 0
05/04/2017,mx,9036449,20,0 0 0 0 0 0
06/04/2017,mx,8958756,22,0 0 0 0 0 0
07/04/2017,mx,9381653,22,0 0 0 0 0 0
08/04/2017,mx,9449855,24,0 0 0 0 0 0
09/04/2017,mx,7907178,22,0 0 0 0 0 0
10/04/2017,mx,8868648,22,0 0 0 0 0 0
11/04/2017,mx,8991984,22,0 0 0 0 0 0
12/04/2017,mx,9045941,22,0 0 0 0 0 0
13/04/2017,mx,8785350,22,0 0 0 0 0 0
14/04/2017,mx,7628335,20,0 0 0 0 0 0
15/04/2017,mx,7732342,22,0 0 0 0 0 0
16/04/2017,mx,7325816,22,0 0 0 0 0 0
17/04/2017,mx,9732169,21,0 0 0 0 0 0
18/04/2017,mx,10094459,20,0 0 0 0 0 0
19/04/2017,mx,9861814,21,0 0 0 0 0 0
20/04/2017,mx,9812745,21,0 0 0 0 0 0
21/04/2017,mx,10248504,23,0 0 0 0 0 0
22/04/2017,mx,10336292,22,0 0 0 0 0 0
23/04/2017,mx,8540977,23,0 0 0 0 0 0
24/04/2017,mx,9498400,22,0 0 0 0 0 0
25/04/2017,mx,9975105,23,0 0 0 0 0 0
26/04/2017,mx,10112804,21,0 0 0 0 0 0
27/04/2017,mx,10087444,20,0 0 0 0 0 0
28/04/2017,mx,10784927,21,0 0 0 0 0 0
29/04/2017,mx,10904608,22,0 0 0 0 0 0
30/04/2017,mx,9230490,22,0 0 0 0 0 0
01/05/2017,mx,9374107,23,0 0 0 0 0 0
02/05/2017,mx,9924935,24,0 0 0 0 0 0
03/05/2017,mx,10330863,24,0 0 0 0 0 0
04/05/2017,mx,10308439,23,0 0 0 0 0 0
05/05/2017,mx,10810298,22,0 0 0 0 0 0
06/05/2017,mx,10614473,21,0 0 0 0 0 0
07/05/2017,mx,8626935,22,0 0 0 0 0 0
08/05/2017,mx,9772017,22,0 0 0 0 0 0
09/05/2017,mx,10282918,23,0 0 0 0 0 0
10/05/2017,mx,10177299,25,0 0 0 0 0 0
11/05/2017,mx,9671579,24,0 0 0 0 0 0
12/05/2017,mx,10520640,26,0 0 0 0 0 0
13/05/2017,mx,10772598,23,0 0 0 0 0 0
