Date,Country,Streams,TEMP,Indicators
01/01/2017,my,659272,27,0 1 0 0 0 0
02/01/2017,my,697807,26,0 1 0 0 1 0
03/01/2017,my,779886,27,0 1 0 0 1 0
04/01/2017,my,797805,28,0 0 0 0 0 0
05/01/2017,my,810898,28,0 1 0 0 0 0
06/01/2017,my,845573,29,0 0 0 0 0 0
07/01/2017,my,788902,29,0 0 0 0 0 0
08/01/2017,my,780708,29,0 0 0 0 0 0
09/01/2017,my,847191,29,0 0 0 0 0 0
10/01/2017,my,847986,29,0 0 0 0 0 0
11/01/2017,my,849262,29,0 0 0 0 0 0
12/01/2017,my,879204,28,0 0 0 0 0 0
13/01/2017,my,867988,27,0 0 0 0 0 0
14/01/2017,my,812185,28,0 0 0 0 1 0
15/01/2017,my,819067,28,0 1 0 0 1 0
16/01/2017,my,874487,28,0 1 0 0 0 0
17/01/2017,my,881927,27,0 1 0 0 1 0
18/01/2017,my,884655,28,0 1 0 0 1 0
19/01/2017,my,895675,27,0 1 0 0 1 0
20/01/2017,my,874652,26,0 1 0 0 0 0
21/01/2017,my,805476,27,0 1 0 0 0 0
22/01/2017,my,789367,28,0 1 0 0 1 0
23/01/2017,my,862444,25,0 1 0 0 0 0
24/01/2017,my,848303,24,0 1 0 0 0 0
25/01/2017,my,870917,26,0 1 0 0 1 0
26/01/2017,my,947577,26,0 1 0 0 1 0
27/01/2017,my,831537,26,0 1 0 0 1 0
28/01/2017,my,663271,26,0 1 0 0 1 0
29/01/2017,my,661299,27,0 0 0 0 0 0
30/01/2017,my,706075,27,0 1 0 0 1 0
31/01/2017,my,798506,27,0 0 0 0 1 0
01/02/2017,my,789367,27,0 1 0 0 1 0
02/02/2017,my,866991,27,0 0 0 0 0 0
03/02/2017,my,842541,28,0 0 0 0 0 0
04/02/2017,my,793146,28,0 1 0 0 1 0
05/02/2017,my,800838,28,0 1 0 0 0 0
06/02/2017,my,871880,29,0 1 0 0 0 0
07/02/2017,my,890452,27,0 1 0 0 1 0
08/02/2017,my,872360,28,0 1 0 0 0 0
09/02/2017,my,862428,29,0 0 0 0 0 0
10/02/2017,my,882765,29,0 0 0 0 0 0
11/02/2017,my,804166,29,0 0 0 0 0 0
12/02/2017,my,822388,28,0 1 0 0 0 0
13/02/2017,my,881654,27,0 1 0 0 0 0
14/02/2017,my,861095,28,0 0 0 0 0 0
15/02/2017,my,900118,27,0 1 0 0 1 0
16/02/2017,my,942332,29,0 0 0 0 0 0
17/02/2017,my,940630,28,0 0 0 0 0 0
18/02/2017,my,865074,29,0 0 0 0 0 0
19/02/2017,my,866390,29,0 1 0 0 0 0
20/02/2017,my,920633,29,0 1 0 0 1 0
21/02/2017,my,942243,27,0 1 0 0 1 0
22/02/2017,my,945225,28,0 0 0 0 1 0
23/02/2017,my,1019790,28,0 1 0 0 1 0
24/02/2017,my,1035359,26,0 1 0 0 1 0
25/02/2017,my,964705,27,0 1 0 0 1 0
26/02/2017,my,962034,27,0 1 0 0 1 0
27/02/2017,my,995697,27,0 1 0 0 1 0
28/02/2017,my,1034098,27,0 1 0 0 1 0
01/03/2017,my,1022583,27,0 1 0 0 0 0
02/03/2017,my,1061496,28,0 1 0 0 1 0
03/03/2017,my,1081560,27,0 1 0 0 1 0
04/03/2017,my,1002066,28,0 0 0 0 1 0
05/03/2017,my,1014929,27,0 1 0 0 1 0
06/03/2017,my,1081240,28,0 1 0 0 1 0
07/03/2017,my,1106029,27,0 1 0 0 1 0
08/03/2017,my,1059489,28,0 0 0 0 1 0
09/03/2017,my,1096954,28,0 0 0 0 0 0
10/03/2017,my,1068125,28,0 1 0 0 1 0
11/03/2017,my,988670,28,0 1 0 0 1 0
12/03/2017,my,976810,28,0 0 0 0 1 0
13/03/2017,my,1047529,29,0 0 0 0 1 0
14/03/2017,my,1073010,28,0 0 0 0 0 0
15/03/2017,my,1047367,30,0 0 0 0 0 0
16/03/2017,my,1032956,28,0 1 0 0 1 0
17/03/2017,my,1028826,27,0 1 0 0 1 0
18/03/2017,my,944262,27,0 1 0 0 1 0
19/03/2017,my,933867,27,0 1 0 0 1 0
20/03/2017,my,1033758,26,0 1 0 0 1 0
21/03/2017,my,1052253,30,0 1 0 0 0 0
22/03/2017,my,1041957,29,0 0 0 0 1 0
23/03/2017,my,1036967,30,0 0 0 0 0 0
24/03/2017,my,994614,27,0 1 0 0 1 0
25/03/2017,my,896391,28,0 1 0 0 1 0
26/03/2017,my,894983,28,0 1 0 0 1 0
27/03/2017,my,936430,29,0 1 0 0 1 0
28/03/2017,my,952678,27,0 1 0 0 1 0
29/03/2017,my,957097,28,0 0 0 0 1 0
30/03/2017,my,963898,27,0 1 0 0 1 0
31/03/2017,my,933546,28,0 0 0 0 1 0
01/04/2017,my,841537,26,0 1 0 0 1 0
02/04/2017,my,851161,27,0 1 0 0 0 0
03/04/2017,my,908944,28,0 1 0 0 1 0
04/04/2017,my,935042,28,0 1 0 0 1 0
05/04/2017,my,900907,29,0 1 0 0 1 0
06/04/2017,my,904375,28,0 1 0 0 1 0
07/04/2017,my,903418,28,0 1 0 0 1 0
08/04/2017,my,829976,27,0 1 0 0 1 0
09/04/2017,my,823358,28,0 1 0 0 1 0
10/04/2017,my,903634,28,0 0 0 0 0 0
11/04/2017,my,915877,28,0 0 0 0 0 0
12/04/2017,my,908436,29,0 1 0 0 1 0
13/04/2017,my,915250,29,0 0 0 0 0 0
14/04/2017,my,898139,28,0 1 0 0 1 0
15/04/2017,my,820474,28,0 1 0 0 1 0
16/04/2017,my,818767,29,0 0 0 0 1 0
17/04/2017,my,902514,30,0 1 0 0 1 0
18/04/2017,my,922621,28,0 0 0 0 1 0
19/04/2017,my,916206,28,0 1 0 0 1 0
20/04/2017,my,933327,27,0 1 0 0 1 0
21/04/2017,my,922841,29,0 1 0 0 1 0
22/04/2017,my,834638,29,0 1 0 0 1 0
23/04/2017,my,801572,29,0 0 0 0 1 0
24/04/2017,my,879506,27,0 1 0 0 1 0
25/04/2017,my,959395,27,0 1 0 0 1 0
26/04/2017,my,945667,26,0 1 0 0 1 0
27/04/2017,my,941702,28,0 0 0 0 0 0
28/04/2017,my,943037,26,0 1 0 0 1 0
29/04/2017,my,875731,28,0 1 0 0 1 0
30/04/2017,my,835293,28,0 0 0 0 1 0
01/05/2017,my,880340,29,0 0 0 0 1 0
02/05/2017,my,957671,28,0 1 0 0 1 0
03/05/2017,my,972563,29,0 1 0 0 1 0
04/05/2017,my,975936,27,0 1 0 0 1 0
05/05/2017,my,960215,29,0 0 0 0 0 0
06/05/2017,my,913168,28,0 0 0 0 1 0
07/05/2017,my,917690,28,0 1 0 0 0 0
08/05/2017,my,973096,28,0 0 0 0 1 0
09/05/2017,my,971465,28,0 1 0 0 1 0
10/05/2017,my,942340,27,0 1 0 0 1 0
11/05/2017,my,971427,28,0 1 0 0 0 0
12/05/2017,my,981572,29,0 0 0 0 1 0
13/05/2017,my,917732,28,0 1 0 0 1 0
14/05/2017,my,880812,29,0 1 0 0 0 0
15/05/2017,my,965743,29,0 1 0 0 0 0
16/05/2017,my,997523,29,0 0 0 0 0 0
17/05/2017,my,968967,30,0 1 0 0 0 0
18/05/2017,my,974839,27,0 1 0 0 0 0
19/05/2017,my,984615,29,0 1 0 0 0 0
20/05/2017,my,900038,28,0 1 0 0 0 0
21/05/2017,my,892439,29,0 0 0 0 0 0
22/05/2017,my,981326,29,0 0 0 0 1 0
23/05/2017,my,999938,29,0 0 0 0 1 0
24/05/2017,my,996352,28,0 0 0 0 0 0
25/05/2017,my,1023147,29,0 1 0 0 1 0
26/05/2017,my,1015757,27,0 1 0 0 1 0
27/05/2017,my,902194,29,0 0 0 0 1 0
28/05/2017,my,900206,29,0 0 0 0 0 0
29/05/2017,my,1036170,29,0 1 0 0 1 0
01/06/2017,my,1051609,29,0 1 0 0 1 0
03/06/2017,my,920369,29,0 1 0 0 1 0
04/06/2017,my,893269,28,0 1 0 0 1 0
05/06/2017,my,1029519,29,0 0 0 0 0 0
06/06/2017,my,1059944,29,0 0 0 0 0 0
07/06/2017,my,1038418,29,0 0 0 0 1 0
08/06/2017,my,1047745,29,0 0 0 0 1 0
09/06/2017,my,1040053,30,0 0 0 0 0 0
10/06/2017,my,912561,27,0 1 0 0 1 0
11/06/2017,my,885687,29,0 0 0 0 0 0
12/06/2017,my,939442,28,0 0 0 0 0 0
13/06/2017,my,986256,28,0 1 0 0 1 0
14/06/2017,my,989300,28,0 0 0 0 0 0
15/06/2017,my,985030,28,0 0 0 0 1 0
16/06/2017,my,964873,29,0 1 0 0 1 0
17/06/2017,my,901529,27,0 1 0 0 1 0
18/06/2017,my,880950,28,0 1 0 0 0 0
19/06/2017,my,952685,29,0 1 0 0 1 0
20/06/2017,my,974459,28,0 1 0 0 1 0
21/06/2017,my,974412,28,0 1 0 0 1 0
22/06/2017,my,1013516,28,0 1 0 0 1 0
23/06/2017,my,1011512,27,0 1 0 0 1 0
24/06/2017,my,860277,29,0 1 0 0 1 0
25/06/2017,my,642800,28,0 1 0 0 1 0
26/06/2017,my,696097,27,0 1 0 0 1 0
27/06/2017,my,729284,28,0 1 0 0 0 0
28/06/2017,my,847327,29,0 0 0 0 1 0
29/06/2017,my,872397,27,0 1 0 0 1 0
30/06/2017,my,869851,29,0 0 0 0 0 0
01/07/2017,my,815678,28,0 1 0 0 1 0
02/07/2017,my,822327,28,0 1 0 0 1 0
03/07/2017,my,923627,27,0 1 0 0 0 0
04/07/2017,my,934654,29,0 0 0 0 0 0
05/07/2017,my,949839,28,0 0 0 0 1 0
06/07/2017,my,970113,28,0 0 0 0 0 0
07/07/2017,my,970051,28,0 1 0 0 1 0
08/07/2017,my,903809,28,0 1 0 0 1 0
09/07/2017,my,887754,28,0 1 0 0 1 0
10/07/2017,my,961881,28,0 1 0 0 1 0
11/07/2017,my,959588,28,0 1 0 0 1 0
12/07/2017,my,962283,27,0 0 0 0 0 0
13/07/2017,my,982661,27,0 1 0 0 0 0
14/07/2017,my,981335,27,0 1 0 0 1 0
15/07/2017,my,908048,27,0 0 0 0 0 0
16/07/2017,my,885258,28,0 0 0 0 0 0
17/07/2017,my,956047,28,0 0 0 0 0 0
18/07/2017,my,963882,28,0 0 0 0 0 0
19/07/2017,my,958903,28,0 1 0 0 1 0
20/07/2017,my,960862,27,0 1 0 0 1 0
21/07/2017,my,1170910,29,0 0 0 0 0 0
22/07/2017,my,909778,29,0 0 0 0 0 0
23/07/2017,my,866707,29,0 0 0 0 1 0
24/07/2017,my,957562,29,0 0 0 0 1 0
25/07/2017,my,973964,28,0 1 0 0 1 0
26/07/2017,my,963405,29,0 0 0 0 0 0
27/07/2017,my,981068,29,0 0 0 0 0 0
28/07/2017,my,965953,28,0 0 0 0 0 0
29/07/2017,my,890169,29,0 0 0 0 1 0
30/07/2017,my,864490,28,0 1 0 0 1 0
31/07/2017,my,926877,28,0 1 0 0 1 0
01/08/2017,my,921872,29,0 1 0 0 1 0
02/08/2017,my,932519,27,0 1 0 0 1 0
03/08/2017,my,939879,27,0 1 0 0 0 0
04/08/2017,my,948778,28,0 1 0 0 1 0
05/08/2017,my,870599,28,0 1 0 0 0 0
06/08/2017,my,857912,28,0 1 0 0 0 0
07/08/2017,my,928441,29,0 0 0 0 0 0
08/08/2017,my,928954,25,0 1 0 0 0 0
09/08/2017,my,926783,27,0 0 0 0 1 0
10/08/2017,my,936410,28,0 1 0 0 1 0
11/08/2017,my,933654,27,0 1 0 0 1 0
12/08/2017,my,850295,28,0 1 0 0 0 0
13/08/2017,my,831419,28,0 1 0 0 0 0
14/08/2017,my,895808,27,0 1 0 0 1 0
15/08/2017,my,905234,25,0 1 0 0 1 0
16/08/2017,my,900762,27,0 1 0 0 1 0
17/08/2017,my,921311,27,0 1 0 0 1 0
18/08/2017,my,934021,27,0 0 0 0 0 0
19/08/2017,my,850615,29,0 1 0 0 0 0
20/08/2017,my,832571,29,0 0 0 0 0 0
21/08/2017,my,898824,28,0 0 0 0 0 0
22/08/2017,my,911461,28,0 0 0 0 0 0
23/08/2017,my,920881,29,0 0 0 0 1 0
24/08/2017,my,935954,28,0 1 0 0 1 0
25/08/2017,my,994337,29,0 0 0 0 1 0
26/08/2017,my,884447,26,0 1 0 0 1 0
27/08/2017,my,863918,27,0 0 0 0 0 0
28/08/2017,my,986187,28,0 1 0 0 0 0
29/08/2017,my,1002832,28,0 1 0 0 1 0
30/08/2017,my,1019610,28,0 0 0 0 0 0
31/08/2017,my,834752,29,0 1 0 0 1 0
01/09/2017,my,749193,28,0 0 0 0 0 0
02/09/2017,my,819208,29,0 0 0 0 1 0
03/09/2017,my,856287,26,0 1 0 0 1 0
04/09/2017,my,928737,28,0 0 0 0 0 0
05/09/2017,my,963373,27,0 1 0 0 1 0
06/09/2017,my,994205,28,0 1 0 0 1 0
07/09/2017,my,952435,29,0 1 0 0 0 0
08/09/2017,my,998990,28,0 1 0 0 1 0
09/09/2017,my,934372,27,0 1 0 0 1 0
10/09/2017,my,959793,28,0 1 0 0 1 0
11/09/2017,my,1034065,28,0 0 0 0 0 0
12/09/2017,my,1071899,29,0 0 0 0 0 0
13/09/2017,my,1071843,28,0 1 0 0 1 0
14/09/2017,my,1056892,27,0 1 0 0 1 0
15/09/2017,my,1047753,27,0 1 0 0 0 0
16/09/2017,my,972171,28,0 1 0 0 0 0
17/09/2017,my,986222,29,0 0 0 0 1 0
18/09/2017,my,1112552,26,0 1 0 0 1 0
19/09/2017,my,1149230,26,0 1 0 0 1 0
20/09/2017,my,1118738,27,0 1 0 0 0 0
21/09/2017,my,1088669,27,0 1 0 0 0 0
22/09/2017,my,1060475,29,0 1 0 0 0 0
23/09/2017,my,1023528,27,0 1 0 0 1 0
24/09/2017,my,1053837,29,0 0 0 0 0 0
25/09/2017,my,1058655,28,0 0 0 0 1 0
27/09/2017,my,1070109,29,0 0 0 0 0 0
28/09/2017,my,1041167,27,0 1 0 0 1 0
29/09/2017,my,1030583,27,0 1 0 0 1 0
30/09/2017,my,970619,28,0 0 0 0 0 0
01/10/2017,my,970117,27,0 1 0 0 1 0
02/10/2017,my,1006965,27,0 0 0 0 1 0
03/10/2017,my,1034834,29,0 1 0 0 1 0
04/10/2017,my,1041299,26,0 1 0 0 0 0
05/10/2017,my,1001827,28,0 0 0 0 0 0
06/10/2017,my,1009835,28,0 1 0 0 1 0
07/10/2017,my,966378,28,0 1 0 0 1 0
08/10/2017,my,972115,28,0 1 0 0 1 0
09/10/2017,my,1010141,29,0 1 0 0 1 0
10/10/2017,my,1032537,28,0 1 0 0 0 0
11/10/2017,my,1043932,29,0 0 0 0 1 0
12/10/2017,my,1024731,27,0 1 0 0 1 0
13/10/2017,my,1010139,25,0 1 0 0 1 0
14/10/2017,my,941027,29,0 1 0 0 0 0
15/10/2017,my,937364,29,0 0 0 0 1 0
16/10/2017,my,1046051,29,0 0 0 0 0 0
17/10/2017,my,1057290,29,0 0 0 0 0 0
18/10/2017,my,947919,29,0 0 0 0 1 0
19/10/2017,my,1042973,30,0 0 0 0 0 0
20/10/2017,my,1036060,30,0 0 0 0 1 0
21/10/2017,my,954125,31,0 0 0 0 1 0
22/10/2017,my,949036,30,0 0 0 0 0 0
23/10/2017,my,1004014,30,0 1 0 0 1 0
24/10/2017,my,1045147,27,0 1 0 0 1 0
25/10/2017,my,1048109,28,0 1 0 0 1 0
26/10/2017,my,1040516,28,0 1 0 0 1 0
27/10/2017,my,1016619,26,0 1 0 0 1 0
28/10/2017,my,951330,29,0 0 0 0 0 0
29/10/2017,my,955282,27,0 1 0 0 1 0
30/10/2017,my,1034532,27,0 1 0 0 1 0
31/10/2017,my,1033117,28,0 1 0 0 1 0
01/11/2017,my,1073512,28,0 1 0 0 1 0
02/11/2017,my,1048426,28,0 1 0 0 1 0
03/11/2017,my,1036064,26,0 1 0 0 1 0
04/11/2017,my,946724,27,0 1 0 0 1 0
05/11/2017,my,950199,27,0 1 0 0 1 0
06/11/2017,my,1019728,28,0 1 0 0 1 0
07/11/2017,my,1045686,28,0 1 0 0 1 0
08/11/2017,my,1056734,27,0 1 0 0 1 0
09/11/2017,my,1036145,27,0 1 0 0 1 0
