Date,Country,Streams,TEMP,Indicators
01/01/2017,nl,2423858,0,1 1 1 0 0 0
02/01/2017,nl,3386047,3,0 1 0 0 0 0
03/01/2017,nl,3457137,5,0 1 0 0 0 0
04/01/2017,nl,3574480,6,0 1 0 0 0 0
05/01/2017,nl,3636208,0,0 1 0 0 0 0
06/01/2017,nl,3973948,-3,0 0 0 0 0 0
07/01/2017,nl,3907571,0,1 1 1 0 0 0
08/01/2017,nl,3736949,4,1 0 0 0 0 0
09/01/2017,nl,4405279,5,1 1 0 0 0 0
10/01/2017,nl,4384769,5,0 1 0 0 0 0
11/01/2017,nl,4579675,7,0 1 0 0 0 0
12/01/2017,nl,4560736,5,0 1 1 0 0 0
13/01/2017,nl,4591934,3,0 1 1 0 0 0
14/01/2017,nl,4664252,2,0 1 1 0 0 0
15/01/2017,nl,4115422,1,0 1 0 0 0 0
16/01/2017,nl,4624402,-1,1 0 1 0 0 0
17/01/2017,nl,4574532,-3,1 0 0 0 0 0
18/01/2017,nl,4693706,-4,1 0 1 0 0 0
19/01/2017,nl,4650850,-2,0 0 0 0 0 0
20/01/2017,nl,4622925,0,0 0 0 0 0 0
21/01/2017,nl,4570640,0,0 0 0 0 0 0
22/01/2017,nl,4017556,-2,0 0 0 0 0 0
23/01/2017,nl,4501067,2,1 1 0 0 0 0
24/01/2017,nl,4495212,1,1 1 0 0 0 0
25/01/2017,nl,4535029,-1,0 0 0 0 0 0
26/01/2017,nl,4501689,-3,0 0 0 0 0 0
27/01/2017,nl,4688638,0,0 0 0 0 0 0
28/01/2017,nl,4625511,5,0 1 0 0 0 0
29/01/2017,nl,4006120,5,0 1 0 0 0 0
30/01/2017,nl,4524411,5,0 1 0 0 0 0
31/01/2017,nl,4532200,4,0 0 0 0 0 0
01/02/2017,nl,4609608,3,0 1 0 0 0 0
02/02/2017,nl,4570634,8,0 1 0 0 0 0
03/02/2017,nl,4764066,9,0 1 0 0 0 0
04/02/2017,nl,4622740,6,0 1 0 0 0 0
05/02/2017,nl,4063851,5,1 1 0 0 0 0
06/02/2017,nl,4562272,4,0 0 0 0 0 0
07/02/2017,nl,4546511,3,0 1 0 0 0 0
08/02/2017,nl,4703682,0,0 1 1 0 0 0
09/02/2017,nl,4508847,-2,0 0 1 0 0 0
10/02/2017,nl,4673161,-2,0 0 1 0 0 0
11/02/2017,nl,4624573,0,0 1 1 0 0 0
12/02/2017,nl,3936490,1,0 1 1 0 0 0
13/02/2017,nl,4530661,2,0 0 0 0 0 0
14/02/2017,nl,4519401,4,0 0 0 0 0 0
15/02/2017,nl,4786146,7,0 1 0 0 0 0
16/02/2017,nl,4673712,7,1 1 0 0 0 0
17/02/2017,nl,5007203,7,0 1 0 0 0 0
18/02/2017,nl,4853660,6,1 0 0 0 0 0
19/02/2017,nl,3990684,6,0 1 0 0 0 0
20/02/2017,nl,4498341,9,0 1 0 0 0 0
21/02/2017,nl,4569414,10,0 1 0 0 0 0
22/02/2017,nl,4615996,10,0 1 0 0 0 0
23/02/2017,nl,4467748,8,0 1 0 0 0 0
24/02/2017,nl,4993857,5,0 1 0 0 0 0
25/02/2017,nl,4757751,6,0 1 0 0 0 0
26/02/2017,nl,3849953,9,0 1 0 0 0 0
27/02/2017,nl,4412966,9,0 1 0 0 0 0
28/02/2017,nl,4447324,5,0 1 0 0 0 0
01/03/2017,nl,4651608,6,0 1 0 0 0 0
02/03/2017,nl,4638910,7,0 1 0 0 0 0
03/03/2017,nl,6122379,6,0 1 0 0 0 0
04/03/2017,nl,5942748,9,0 1 0 0 0 0
05/03/2017,nl,5234023,7,0 1 0 0 0 0
06/03/2017,nl,5928106,6,0 1 0 0 0 0
07/03/2017,nl,5836971,7,0 1 0 0 0 0
08/03/2017,nl,5685880,6,1 1 0 0 0 0
09/03/2017,nl,5554859,8,1 1 0 0 0 0
10/03/2017,nl,5705700,6,1 0 0 0 0 0
11/03/2017,nl,5436473,7,0 0 0 0 0 0
12/03/2017,nl,4836726,8,0 0 0 0 0 0
13/03/2017,nl,5323209,6,0 0 0 0 0 0
14/03/2017,nl,5248908,9,0 0 0 0 0 0
15/03/2017,nl,5472591,9,0 0 0 0 0 0
16/03/2017,nl,5463315,9,0 0 0 0 0 0
17/03/2017,nl,8209084,8,0 1 0 0 0 0
18/03/2017,nl,7040233,10,0 1 0 0 0 0
19/03/2017,nl,6134313,11,0 1 0 0 0 0
20/03/2017,nl,7157330,10,0 1 0 0 0 0
21/03/2017,nl,7236283,8,0 1 0 0 0 0
22/03/2017,nl,6968348,6,0 0 0 0 0 0
23/03/2017,nl,6680560,8,0 0 0 0 0 0
24/03/2017,nl,6762858,8,0 0 0 0 0 0
25/03/2017,nl,6245783,8,0 0 0 0 0 0
26/03/2017,nl,5236231,8,0 0 0 0 0 0
