Date,Country,Streams,TEMP,Indicators
01/01/2017,no,1778389,1,0 1 1 0 0 0
02/01/2017,no,2134746,-3,0 0 0 0 0 0
03/01/2017,no,2183673,-3,0 0 0 0 0 0
04/01/2017,no,2259081,-3,0 0 1 0 0 0
05/01/2017,no,2297030,-10,0 0 0 0 0 0
06/01/2017,no,2658396,-5,1 1 1 0 0 0
07/01/2017,no,2672345,0,0 1 0 0 0 0
08/01/2017,no,2236008,-3,1 0 1 0 0 0
09/01/2017,no,2621012,1,1 1 0 0 0 0
10/01/2017,no,2658018,3,0 1 1 0 0 0
11/01/2017,no,2745586,3,0 1 0 0 0 0
12/01/2017,no,2832535,1,0 0 0 0 0 0
13/01/2017,no,3077888,-3,0 0 0 0 0 0
14/01/2017,no,2868071,-3,0 0 0 0 0 0
15/01/2017,no,2282695,-5,0 0 0 0 0 0
16/01/2017,no,2656141,-6,0 0 0 0 0 0
17/01/2017,no,2694369,-3,0 1 1 0 0 0
18/01/2017,no,2785325,-3,1 1 1 0 0 0
19/01/2017,no,2844451,0,1 0 1 0 0 0
20/01/2017,no,3063969,2,0 0 0 0 0 0
21/01/2017,no,2858825,1,1 0 0 0 0 0
22/01/2017,no,2296240,0,1 1 1 0 0 0
23/01/2017,no,2671733,-3,1 0 1 0 0 0
24/01/2017,no,2677297,-4,1 0 0 0 0 0
25/01/2017,no,2752674,-1,1 1 1 0 0 0
26/01/2017,no,2871948,1,1 0 0 0 0 0
27/01/2017,no,3121764,0,1 1 0 0 0 0
28/01/2017,no,2946090,0,0 1 0 0 0 0
29/01/2017,no,2277231,0,0 1 1 0 0 0
30/01/2017,no,2769144,2,0 0 0 0 0 0
31/01/2017,no,2779941,-1,0 1 1 0 0 0
01/02/2017,no,2856959,0,0 1 1 0 0 0
02/02/2017,no,2923517,0,0 1 1 0 0 0
03/02/2017,no,3161670,0,0 1 1 0 0 0
04/02/2017,no,2975993,0,0 1 1 0 0 0
05/02/2017,no,2396498,0,0 1 1 0 0 0
06/02/2017,no,2785278,-1,0 1 1 0 0 0
07/02/2017,no,2796268,-6,0 0 1 0 0 0
08/02/2017,no,2847959,-7,0 0 1 0 0 0
09/02/2017,no,2919439,-6,0 0 1 0 0 0
10/02/2017,no,3183468,-4,0 0 1 0 0 0
11/02/2017,no,2988136,-3,0 0 1 0 0 0
12/02/2017,no,2410329,-4,0 0 0 0 0 0
13/02/2017,no,2829341,-4,1 0 0 0 0 0
14/02/2017,no,2882813,-4,1 0 0 0 0 0
15/02/2017,no,2954977,-4,1 0 1 0 0 0
16/02/2017,no,3351122,-2,1 1 1 0 0 0
17/02/2017,no,3736520,-1,1 0 0 0 0 0
18/02/2017,no,3474657,-3,1 1 1 0 0 0
19/02/2017,no,2851849,2,1 0 0 0 0 0
20/02/2017,no,3295463,3,1 0 0 0 0 0
21/02/2017,no,3366976,3,0 0 0 0 0 0
22/02/2017,no,3432631,1,0 1 1 0 0 0
23/02/2017,no,3435994,-1,0 0 1 0 0 0
24/02/2017,no,3622292,-2,0 0 0 0 0 0
25/02/2017,no,3301263,-3,0 1 1 0 0 0
26/02/2017,no,2859655,0,1 0 1 0 0 0
27/02/2017,no,3264199,3,1 1 1 0 0 0
28/02/2017,no,3334167,3,0 1 1 0 0 0
01/03/2017,no,3434768,2,0 1 1 0 0 0
02/03/2017,no,3453909,-1,1 1 1 0 0 0
03/03/2017,no,3803051,0,1 1 1 0 0 0
04/03/2017,no,3489508,0,0 1 1 0 0 0
05/03/2017,no,2926835,-1,0 1 1 0 0 0
06/03/2017,no,3477441,-2,0 0 0 0 0 0
07/03/2017,no,3487843,-3,0 0 1 0 0 0
08/03/2017,no,3437605,-3,0 1 1 0 0 0
09/03/2017,no,3549417,1,1 1 1 0 0 0
10/03/2017,no,3921478,3,0 0 0 0 0 0
11/03/2017,no,3514560,2,0 1 0 0 0 0
12/03/2017,no,2983768,2,0 1 0 0 0 0
13/03/2017,no,3409980,2,0 1 0 0 0 0
14/03/2017,no,3421647,4,0 1 0 0 0 0
15/03/2017,no,3479715,7,0 0 0 0 0 0
16/03/2017,no,3518165,4,0 1 0 0 0 0
17/03/2017,no,3818445,5,0 0 0 0 0 0
18/03/2017,no,3568264,2,0 0 1 0 0 0
19/03/2017,no,2859199,1,0 1 1 0 0 0
20/03/2017,no,3292801,2,0 1 1 0 0 0
21/03/2017,no,3338690,3,1 1 0 0 0 0
22/03/2017,no,3388948,3,0 0 0 0 0 0
23/03/2017,no,3490507,3,0 0 0 0 0 0
24/03/2017,no,3801166,2,0 1 0 0 0 0
25/03/2017,no,3689851,6,0 0 0 0 0 0
26/03/2017,no,3031191,10,0 0 0 0 0 0
27/03/2017,no,3435759,9,0 0 0 0 0 0
28/03/2017,no,3473892,8,0 0 0 0 0 0
29/03/2017,no,3470681,4,0 0 0 0 0 0
30/03/2017,no,3476398,3,0 1 0 0 0 0
31/03/2017,no,3823322,3,0 1 0 0 0 0
01/04/2017,no,3604513,6,1 1 0 0 0 0
02/04/2017,no,2994571,7,1 0 0 0 0 0
03/04/2017,no,3431241,6,1 0 0 0 0 0
04/04/2017,no,3366195,6,0 1 0 0 0 0
05/04/2017,no,3487396,7,0 1 0 0 0 0
06/04/2017,no,3569818,6,0 1 0 0 0 0
07/04/2017,no,4027239,10,0 0 0 0 0 0
08/04/2017,no,3682925,9,0 0 0 0 0 0
09/04/2017,no,2961211,8,0 0 0 0 0 0
10/04/2017,no,3282727,9,1 1 0 0 0 0
11/04/2017,no,3277476,7,0 0 0 0 0 0
12/04/2017,no,3388476,5,0 1 0 0 0 0
13/04/2017,no,2869398,3,0 1 1 0 0 0
14/04/2017,no,2756096,1,0 1 1 0 0 0
15/04/2017,no,2967283,0,0 0 0 0 0 0
16/04/2017,no,2828622,2,0 1 1 0 0 0
17/04/2017,no,2918316,2,0 1 1 0 0 0
18/04/2017,no,3369758,3,0 0 0 0 0 0
19/04/2017,no,3385557,5,0 0 0 0 0 0
20/04/2017,no,3426350,7,0 1 0 0 0 0
21/04/2017,no,3837919,7,0 1 0 0 0 0
22/04/2017,no,3650067,7,0 0 0 0 0 0
