Date,Country,Streams,TEMP,Indicators
01/01/2017,nz,817586,20,0 0 0 0 0 0
02/01/2017,nz,873342,21,0 1 0 0 0 0
03/01/2017,nz,921312,20,0 1 0 0 0 0
04/01/2017,nz,991735,17,0 1 0 0 0 0
05/01/2017,nz,1023891,16,0 0 0 0 0 0
06/01/2017,nz,1087927,18,0 0 0 0 0 0
07/01/2017,nz,1069494,18,0 1 0 0 0 0
08/01/2017,nz,1066335,18,0 0 0 0 0 0
09/01/2017,nz,1133414,19,0 1 0 0 0 0
10/01/2017,nz,1130574,20,0 1 0 0 0 0
11/01/2017,nz,1156916,20,0 0 0 0 0 0
12/01/2017,nz,1161122,21,0 1 0 0 0 0
13/01/2017,nz,1195362,19,0 0 0 0 0 0
14/01/2017,nz,1085998,21,0 0 0 0 0 0
15/01/2017,nz,1089243,20,0 1 0 0 0 0
16/01/2017,nz,1152349,19,0 0 0 0 0 0
17/01/2017,nz,1127152,20,0 0 0 0 0 0
18/01/2017,nz,1113278,19,0 1 0 0 0 0
19/01/2017,nz,1148683,17,0 1 0 0 0 0
20/01/2017,nz,1180544,16,0 1 0 0 0 0
21/01/2017,nz,1014433,19,0 1 0 1 1 0
22/01/2017,nz,1006176,18,0 1 0 0 0 0
23/01/2017,nz,1121505,18,0 0 0 0 0 0
24/01/2017,nz,1116634,18,0 0 0 0 0 0
25/01/2017,nz,1116711,18,0 1 0 0 0 0
26/01/2017,nz,1174437,18,0 0 0 0 0 0
27/01/2017,nz,1208650,19,0 0 0 0 0 0
28/01/2017,nz,1079616,18,0 0 0 0 0 0
29/01/2017,nz,1040983,19,0 0 0 0 0 0
30/01/2017,nz,1105399,20,0 1 0 0 0 0
31/01/2017,nz,1084690,20,0 0 0 0 0 0
01/02/2017,nz,1061569,20,0 0 0 0 0 0
02/02/2017,nz,1069116,21,0 1 0 0 0 0
03/02/2017,nz,1221472,20,0 0 0 0 0 0
04/02/2017,nz,1090609,20,0 0 0 0 0 0
05/02/2017,nz,1033681,19,0 0 0 0 0 0
06/02/2017,nz,1025038,22,0 0 0 0 0 0
07/02/2017,nz,1016413,22,0 0 0 0 0 0
08/02/2017,nz,1036389,18,0 1 0 0 0 0
09/02/2017,nz,1101923,18,0 1 0 0 0 0
10/02/2017,nz,1176103,19,0 0 0 0 0 0
11/02/2017,nz,1108537,18,0 1 0 0 0 0
12/02/2017,nz,993799,22,0 1 0 0 0 0
13/02/2017,nz,1036139,21,0 1 0 0 0 0
14/02/2017,nz,1060210,19,0 1 0 0 0 0
15/02/2017,nz,1061749,18,0 1 0 0 0 0
16/02/2017,nz,1097137,19,0 1 0 0 0 0
17/02/2017,nz,1175469,20,0 1 0 0 0 0
18/02/2017,nz,1123431,22,0 1 0 0 0 0
19/02/2017,nz,1042296,22,0 1 0 0 0 0
20/02/2017,nz,1076236,20,0 0 0 0 0 0
21/02/2017,nz,1094846,21,0 0 0 0 0 0
22/02/2017,nz,1099805,20,1 0 0 0 0 0
23/02/2017,nz,1153005,21,0 0 0 0 0 0
24/02/2017,nz,1222129,21,0 0 0 0 0 0
25/02/2017,nz,1099396,20,0 0 0 0 0 0
26/02/2017,nz,1080097,20,0 0 0 0 0 0
27/02/2017,nz,1104729,21,0 0 0 0 0 0
28/02/2017,nz,1136908,20,0 1 0 0 0 0
01/03/2017,nz,1154823,21,0 0 0 0 0 0
02/03/2017,nz,1275355,19,0 0 0 0 0 0
03/03/2017,nz,1675219,20,0 1 0 0 0 0
04/03/2017,nz,1442685,21,0 1 0 0 0 0
05/03/2017,nz,1494170,20,0 0 0 0 0 0
06/03/2017,nz,1513250,19,0 0 0 0 0 0
07/03/2017,nz,1466340,19,0 1 0 0 0 0
08/03/2017,nz,1456799,18,0 1 0 0 0 0
09/03/2017,nz,1479287,21,0 1 0 0 0 0
10/03/2017,nz,1449985,21,0 1 0 0 0 0
11/03/2017,nz,1316474,22,0 1 0 0 0 0
12/03/2017,nz,1329630,20,0 1 0 0 0 0
13/03/2017,nz,1375538,19,0 1 0 0 0 0
14/03/2017,nz,1331580,17,0 1 0 0 0 0
15/03/2017,nz,1320089,17,0 0 0 0 0 0
16/03/2017,nz,1329214,18,0 0 0 0 0 0
17/03/2017,nz,1322422,19,0 1 0 0 0 0
18/03/2017,nz,1190556,18,0 0 0 0 0 0
19/03/2017,nz,1226942,18,0 1 0 0 0 0
20/03/2017,nz,1234132,19,0 1 0 0 0 0
21/03/2017,nz,1212932,20,0 1 0 0 0 0
22/03/2017,nz,1216032,21,0 1 0 0 0 0
23/03/2017,nz,1229003,18,0 0 0 0 0 0
24/03/2017,nz,1260637,20,0 1 0 0 0 0
