Date,Country,Streams,TEMP,Indicators
01/01/2017,pa,191150,27,0 0 0 0 0 0
02/01/2017,pa,148843,27,0 0 0 0 0 0
03/01/2017,pa,163018,27,0 0 0 0 0 0
04/01/2017,pa,162758,27,0 0 0 0 0 0
05/01/2017,pa,167252,26,0 0 0 0 0 0
06/01/2017,pa,179234,26,0 0 0 0 0 0
07/01/2017,pa,185028,27,0 0 0 0 0 0
08/01/2017,pa,172114,27,0 0 0 0 0 0
09/01/2017,pa,165825,28,0 0 0 0 0 0
10/01/2017,pa,170931,27,0 0 0 0 0 0
11/01/2017,pa,169260,26,0 0 0 0 0 0
12/01/2017,pa,170073,26,0 0 0 0 0 0
13/01/2017,pa,179680,27,0 1 0 0 0 0
14/01/2017,pa,179061,27,0 0 0 0 0 0
15/01/2017,pa,166932,25,0 0 0 0 0 0
16/01/2017,pa,176353,26,0 0 0 0 0 0
17/01/2017,pa,188333,26,0 0 0 0 0 0
18/01/2017,pa,189004,26,0 0 0 0 0 0
19/01/2017,pa,197418,25,0 0 0 0 0 0
20/01/2017,pa,211783,25,0 0 0 0 0 0
21/01/2017,pa,207871,25,0 0 0 0 0 0
22/01/2017,pa,191088,25,0 0 0 0 0 0
23/01/2017,pa,204800,25,0 0 0 0 0 0
24/01/2017,pa,211046,25,0 0 0 0 0 0
25/01/2017,pa,216021,24,0 0 0 0 0 0
26/01/2017,pa,220313,27,0 0 0 0 0 0
27/01/2017,pa,235101,27,0 0 0 0 0 0
28/01/2017,pa,231878,28,0 0 0 0 0 0
29/01/2017,pa,209653,27,0 0 0 0 0 0
30/01/2017,pa,209660,28,0 0 0 0 0 0
31/01/2017,pa,228571,28,0 0 0 0 0 0
01/02/2017,pa,231988,27,0 0 0 0 0 0
02/02/2017,pa,237182,27,0 0 0 0 0 0
03/02/2017,pa,240575,27,0 0 0 0 0 0
04/02/2017,pa,239726,27,0 0 0 0 0 0
05/02/2017,pa,213187,28,0 0 0 0 0 0
06/02/2017,pa,211190,29,0 0 0 0 0 0
07/02/2017,pa,226890,29,0 0 0 0 0 0
08/02/2017,pa,228723,29,0 0 0 0 0 0
09/02/2017,pa,226122,27,0 0 0 0 0 0
10/02/2017,pa,231155,29,0 0 0 0 0 0
11/02/2017,pa,231898,28,0 0 0 0 0 0
12/02/2017,pa,211364,27,0 0 0 0 0 0
13/02/2017,pa,215273,27,0 0 0 0 0 0
14/02/2017,pa,217398,26,0 1 0 0 0 0
15/02/2017,pa,216758,26,0 0 0 0 0 0
16/02/2017,pa,221700,25,0 0 0 0 0 0
17/02/2017,pa,232533,26,0 1 0 0 0 0
18/02/2017,pa,225973,25,0 1 0 0 0 0
19/02/2017,pa,204109,26,0 1 0 0 0 0
20/02/2017,pa,208878,25,0 0 0 0 0 0
21/02/2017,pa,211461,25,0 0 0 0 0 0
22/02/2017,pa,214810,26,0 0 0 0 0 0
