Date,Country,Streams,TEMP,Indicators
01/01/2017,pe,833399,22,0 0 0 0 0 0
02/01/2017,pe,824605,21,0 0 0 0 0 0
03/01/2017,pe,882739,21,0 0 0 0 0 0
04/01/2017,pe,878329,22,0 0 0 0 0 0
05/01/2017,pe,879381,23,0 0 0 0 0 0
06/01/2017,pe,938965,25,0 0 0 0 0 0
07/01/2017,pe,913294,23,0 0 0 0 0 0
08/01/2017,pe,819738,22,0 0 0 0 0 0
09/01/2017,pe,922848,23,0 0 0 0 0 0
10/01/2017,pe,941156,23,0 0 0 0 0 0
11/01/2017,pe,975074,23,0 0 0 0 0 0
12/01/2017,pe,981524,22,0 0 0 0 0 0
13/01/2017,pe,1003332,22,0 0 0 0 0 0
14/01/2017,pe,972723,23,0 1 0 0 0 0
15/01/2017,pe,876181,24,0 1 0 0 0 0
16/01/2017,pe,1004661,25,0 0 0 0 0 0
17/01/2017,pe,1043757,24,0 0 0 0 0 0
18/01/2017,pe,1057035,25,0 0 0 0 0 0
19/01/2017,pe,1088786,24,0 1 0 0 0 0
20/01/2017,pe,1098743,25,0 0 0 0 0 0
21/01/2017,pe,1069492,25,0 0 0 0 0 0
22/01/2017,pe,979515,26,0 0 0 0 0 0
23/01/2017,pe,1102444,25,0 1 0 0 0 0
24/01/2017,pe,1212054,25,0 0 0 0 0 0
25/01/2017,pe,1270442,25,0 1 0 0 0 0
26/01/2017,pe,1320235,27,0 0 0 0 0 0
27/01/2017,pe,1343555,27,0 0 0 0 0 0
28/01/2017,pe,1329048,27,0 0 0 0 0 0
29/01/2017,pe,1229333,27,0 0 0 0 0 0
30/01/2017,pe,1355223,26,0 0 0 0 0 0
31/01/2017,pe,1468587,26,0 0 0 0 0 0
01/02/2017,pe,1468547,26,0 0 0 0 0 0
02/02/2017,pe,1484080,26,0 0 0 0 0 0
03/02/2017,pe,1540445,26,0 0 0 0 0 0
04/02/2017,pe,1536882,25,0 0 0 0 0 0
05/02/2017,pe,1415061,25,0 0 0 0 0 0
06/02/2017,pe,1571645,25,0 1 0 0 0 0
07/02/2017,pe,1642743,24,0 0 0 0 0 0
08/02/2017,pe,1678737,25,0 0 0 0 0 0
09/02/2017,pe,1721222,25,0 0 0 0 0 0
10/02/2017,pe,1698478,25,0 0 0 0 0 0
11/02/2017,pe,1676642,26,0 0 0 0 0 0
12/02/2017,pe,1519914,25,0 0 0 0 0 0
13/02/2017,pe,1609854,24,0 0 0 0 0 0
14/02/2017,pe,1683359,25,0 0 0 0 0 0
15/02/2017,pe,1659960,26,0 0 0 0 0 0
16/02/2017,pe,1703409,25,0 0 0 0 0 0
17/02/2017,pe,1703172,25,0 0 0 0 0 0
18/02/2017,pe,1681531,25,0 0 0 0 0 0
19/02/2017,pe,1518332,25,0 0 0 0 0 0
20/02/2017,pe,1665490,24,0 0 0 0 0 0
21/02/2017,pe,1704615,24,0 0 0 0 0 0
22/02/2017,pe,1722557,25,0 0 0 0 0 0
23/02/2017,pe,1709267,25,0 1 0 0 0 0
24/02/2017,pe,1725596,25,0 0 0 0 0 0
25/02/2017,pe,1665292,26,0 0 0 0 0 0
26/02/2017,pe,1473961,27,0 0 0 0 0 0
27/02/2017,pe,1578032,28,0 0 0 0 0 0
28/02/2017,pe,1667612,27,0 0 0 0 0 0
01/03/2017,pe,1645422,26,0 0 0 0 0 0
02/03/2017,pe,1653753,26,0 0 0 0 0 0
03/03/2017,pe,1667368,27,0 0 0 0 0 0
04/03/2017,pe,1624831,26,0 0 0 0 0 0
05/03/2017,pe,1466753,25,0 0 0 0 0 0
06/03/2017,pe,1534846,26,0 0 0 0 0 0
07/03/2017,pe,1542368,25,0 0 0 0 0 0
08/03/2017,pe,1465707,25,0 0 0 0 0 0
09/03/2017,pe,1594382,27,0 0 0 0 0 0
10/03/2017,pe,1621208,25,0 0 0 0 0 0
11/03/2017,pe,1659685,25,0 1 0 0 0 0
12/03/2017,pe,1505555,25,0 0 0 0 0 0
13/03/2017,pe,1512941,26,0 0 0 0 0 0
14/03/2017,pe,1542231,25,0 0 0 0 0 0
15/03/2017,pe,1488865,26,0 1 0 0 0 0
