Date,Country,Streams,TEMP,Indicators
01/01/2017,ph,4036656,27,0 0 0 0 0 0
02/01/2017,ph,4612799,28,0 0 0 0 0 0
03/01/2017,ph,4926019,28,0 0 0 0 0 0
04/01/2017,ph,4904016,28,0 1 0 0 0 0
05/01/2017,ph,4953711,27,0 1 0 0 0 0
06/01/2017,ph,5140773,27,0 0 0 0 0 0
07/01/2017,ph,5176852,27,0 0 0 0 0 0
08/01/2017,ph,4971767,26,0 0 0 0 0 0
09/01/2017,ph,5182206,28,0 0 0 0 0 0
10/01/2017,ph,5005645,26,0 1 0 0 0 0
11/01/2017,ph,5163907,26,0 1 0 0 0 0
12/01/2017,ph,5226967,26,0 1 0 0 0 0
13/01/2017,ph,5162068,28,0 0 0 0 0 0
14/01/2017,ph,5230057,27,0 0 0 0 0 0
15/01/2017,ph,4991239,27,0 1 0 0 0 0
16/01/2017,ph,5248499,26,0 0 0 0 0 0
17/01/2017,ph,5298447,27,0 0 0 0 0 0
18/01/2017,ph,5435207,27,0 0 0 0 0 0
19/01/2017,ph,5471680,27,0 0 0 0 0 0
20/01/2017,ph,5471488,26,0 0 0 0 0 0
21/01/2017,ph,5526546,27,0 0 0 0 0 0
22/01/2017,ph,5358073,26,0 1 0 0 0 0
23/01/2017,ph,5531064,26,0 1 0 0 0 0
24/01/2017,ph,5473610,25,0 1 0 0 0 0
25/01/2017,ph,5574070,26,0 0 0 0 0 0
26/01/2017,ph,5596574,26,0 0 0 0 0 0
27/01/2017,ph,5563973,26,0 0 0 0 0 0
28/01/2017,ph,5586368,26,0 1 0 0 0 0
29/01/2017,ph,5441125,27,0 0 0 0 0 0
30/01/2017,ph,4999620,28,0 1 0 0 0 0
31/01/2017,ph,5508769,28,0 0 0 0 0 0
01/02/2017,ph,5713939,27,0 0 0 0 1 0
02/02/2017,ph,5706050,26,0 1 0 0 0 0
03/02/2017,ph,5654366,26,0 1 0 0 0 0
04/02/2017,ph,5695215,26,0 0 0 0 0 0
05/02/2017,ph,5585726,27,0 0 0 0 0 0
06/02/2017,ph,5668414,27,0 0 0 0 0 0
07/02/2017,ph,5563441,27,0 0 0 0 0 0
08/02/2017,ph,5597635,27,0 0 0 0 0 0
09/02/2017,ph,5577554,27,0 0 0 0 0 0
10/02/2017,ph,5352737,26,0 0 0 0 0 0
11/02/2017,ph,5308299,25,0 0 0 0 0 0
12/02/2017,ph,5249825,25,0 0 0 0 0 0
13/02/2017,ph,5271686,24,0 1 0 0 0 0
14/02/2017,ph,4986049,25,0 0 0 0 0 0
15/02/2017,ph,5346638,25,0 0 0 0 0 0
16/02/2017,ph,5473490,25,0 0 0 0 0 0
17/02/2017,ph,5334555,26,0 0 0 0 0 0
18/02/2017,ph,5256978,26,0 1 0 0 0 0
19/02/2017,ph,5097642,26,0 1 0 0 0 0
20/02/2017,ph,5321889,28,0 0 0 0 0 0
21/02/2017,ph,5341488,28,0 0 0 0 0 0
22/02/2017,ph,5343652,28,0 0 0 0 0 0
23/02/2017,ph,5604451,28,0 0 0 0 0 0
24/02/2017,ph,5535579,28,0 0 0 0 0 0
25/02/2017,ph,5568304,28,0 0 0 0 0 0
26/02/2017,ph,5379368,28,0 0 0 0 0 0
27/02/2017,ph,5768808,28,0 0 0 0 0 0
28/02/2017,ph,5548843,28,0 0 0 0 0 0
01/03/2017,ph,5602912,28,0 0 0 0 0 0
02/03/2017,ph,5888718,27,0 0 0 0 0 0
03/03/2017,ph,5817593,27,0 0 0 0 0 0
04/03/2017,ph,5793380,26,0 1 0 0 0 0
05/03/2017,ph,5870494,27,0 0 0 0 0 0
06/03/2017,ph,6015754,28,0 0 0 0 0 0
07/03/2017,ph,6117762,28,0 0 0 0 0 0
08/03/2017,ph,5941175,28,0 0 0 0 0 0
09/03/2017,ph,6162420,27,0 0 0 0 0 0
10/03/2017,ph,5896311,28,0 0 0 0 0 0
11/03/2017,ph,5843802,28,0 0 0 0 0 0
12/03/2017,ph,5829390,29,0 0 0 0 0 0
13/03/2017,ph,5931633,28,0 0 0 0 0 0
14/03/2017,ph,5907921,29,0 0 0 0 0 0
15/03/2017,ph,5790677,28,0 0 0 0 0 0
16/03/2017,ph,5850223,28,0 0 0 0 0 0
17/03/2017,ph,5653438,28,0 0 0 0 0 0
18/03/2017,ph,5579040,28,0 0 0 0 0 0
19/03/2017,ph,5452377,28,0 0 0 0 0 0
20/03/2017,ph,5573638,28,0 0 0 0 0 0
21/03/2017,ph,5553642,28,0 1 0 0 0 0
22/03/2017,ph,5616374,30,0 0 0 0 0 0
23/03/2017,ph,5618172,30,0 0 0 0 0 0
24/03/2017,ph,5462677,30,0 0 0 0 0 0
25/03/2017,ph,5191424,30,0 0 0 0 0 0
26/03/2017,ph,5081527,30,0 0 0 0 0 0
27/03/2017,ph,5283972,28,0 1 0 0 0 0
28/03/2017,ph,5186488,29,0 0 0 0 0 0
29/03/2017,ph,5204934,29,0 0 0 0 0 0
30/03/2017,ph,5165732,28,0 0 0 0 0 0
31/03/2017,ph,5048813,29,0 0 0 0 0 0
01/04/2017,ph,4794043,29,0 0 0 0 0 0
02/04/2017,ph,4606479,27,0 1 0 0 0 0
03/04/2017,ph,5015990,27,0 0 0 0 0 0
04/04/2017,ph,5099385,27,0 0 0 0 0 0
05/04/2017,ph,4953771,27,0 0 0 0 0 0
06/04/2017,ph,4925330,28,0 0 0 0 0 0
07/04/2017,ph,4850110,30,0 0 0 0 0 0
08/04/2017,ph,4425011,30,0 0 0 0 0 0
09/04/2017,ph,4209971,31,0 0 0 0 0 0
10/04/2017,ph,4807877,30,0 0 0 0 0 0
11/04/2017,ph,4809108,30,0 0 0 0 0 0
12/04/2017,ph,4703825,30,0 0 0 0 0 0
13/04/2017,ph,4151655,30,0 0 0 0 0 0
14/04/2017,ph,3652507,30,0 0 0 0 0 0
15/04/2017,ph,3991671,29,0 0 0 0 0 0
16/04/2017,ph,4003911,28,0 1 0 0 0 0
17/04/2017,ph,4700217,30,0 0 0 0 0 0
18/04/2017,ph,4819228,30,0 0 0 0 0 0
19/04/2017,ph,4757739,29,0 0 0 0 0 0
20/04/2017,ph,4785708,30,0 1 0 0 1 0
21/04/2017,ph,4660403,30,0 1 0 0 0 0
22/04/2017,ph,4274559,29,0 1 0 0 1 0
23/04/2017,ph,4041838,30,0 1 0 0 1 0
24/04/2017,ph,4625524,31,0 0 0 0 0 0
25/04/2017,ph,4703595,30,0 0 0 0 0 0
26/04/2017,ph,4693406,31,0 0 0 0 0 0
27/04/2017,ph,4656261,30,0 1 0 0 0 0
28/04/2017,ph,4471517,30,0 0 0 0 0 0
29/04/2017,ph,4215010,30,0 0 0 0 0 0
30/04/2017,ph,3962710,30,0 0 0 0 0 0
01/05/2017,ph,4371228,31,0 0 0 0 0 0
02/05/2017,ph,4596820,31,0 0 0 0 0 0
03/05/2017,ph,4611709,30,0 1 0 0 1 0
04/05/2017,ph,4689983,31,0 0 0 0 0 0
05/05/2017,ph,4609067,31,0 0 0 0 0 0
06/05/2017,ph,4221205,31,0 0 0 0 0 0
07/05/2017,ph,4109845,30,0 0 0 0 0 0
08/05/2017,ph,4643621,31,0 0 0 0 0 0
