Date,Country,Streams,TEMP,Indicators
01/01/2017,pl,697284,0,0 0 0 0 0 0
02/01/2017,pl,807032,-1,0 0 1 0 0 0
03/01/2017,pl,819014,-1,0 0 1 0 0 0
04/01/2017,pl,818359,1,0 0 1 0 0 0
05/01/2017,pl,858138,-7,0 0 1 0 0 0
06/01/2017,pl,1025238,-16,0 0 1 0 0 0
07/01/2017,pl,1053080,-18,0 0 0 0 0 0
08/01/2017,pl,965967,-12,0 0 1 0 0 0
09/01/2017,pl,942653,-8,0 0 0 0 0 0
10/01/2017,pl,964855,-8,0 0 0 0 0 0
11/01/2017,pl,959068,-12,0 0 0 0 0 0
12/01/2017,pl,997764,-2,0 1 1 0 0 0
13/01/2017,pl,1047535,-1,0 0 1 0 0 0
14/01/2017,pl,1121766,0,0 0 1 0 0 0
15/01/2017,pl,968085,-2,0 0 1 0 0 0
16/01/2017,pl,1000059,-5,1 0 1 0 0 0
17/01/2017,pl,1006717,-10,1 0 0 0 0 0
18/01/2017,pl,997392,-7,0 0 1 0 0 0
19/01/2017,pl,996932,-7,0 0 1 0 0 0
20/01/2017,pl,1055117,-2,0 1 0 0 0 0
21/01/2017,pl,1067832,1,0 1 0 0 0 0
22/01/2017,pl,996256,0,0 1 0 0 0 0
23/01/2017,pl,989250,-2,0 0 0 0 0 0
24/01/2017,pl,1014397,-4,0 1 1 0 0 0
25/01/2017,pl,1035165,-2,0 0 1 0 0 0
26/01/2017,pl,1043510,-10,1 0 0 0 0 0
27/01/2017,pl,1077445,-6,0 0 0 0 0 0
28/01/2017,pl,1108945,-4,0 0 0 0 0 0
29/01/2017,pl,993015,-2,0 1 0 0 0 0
30/01/2017,pl,1014498,-2,0 0 0 0 0 0
31/01/2017,pl,1041874,-4,0 0 0 0 0 0
01/02/2017,pl,1022951,-1,0 0 0 0 0 0
02/02/2017,pl,1031730,1,1 1 1 0 0 0
03/02/2017,pl,1063782,0,1 0 0 0 0 0
04/02/2017,pl,1107329,-3,0 1 1 0 0 0
05/02/2017,pl,1025981,-4,0 1 1 0 0 0
06/02/2017,pl,994157,-3,0 0 1 0 0 0
07/02/2017,pl,1011032,-7,0 0 1 0 0 0
08/02/2017,pl,1000002,-9,0 0 1 0 0 0
09/02/2017,pl,991932,-8,0 0 1 0 0 0
10/02/2017,pl,1044436,-10,0 0 0 0 0 0
11/02/2017,pl,1091073,-10,0 0 0 0 0 0
12/02/2017,pl,1001999,-7,0 0 0 0 0 0
13/02/2017,pl,963929,-8,0 0 1 0 0 0
14/02/2017,pl,972599,-6,0 0 0 0 0 0
15/02/2017,pl,965683,-5,1 0 0 0 0 0
16/02/2017,pl,989451,-3,0 0 0 0 0 0
17/02/2017,pl,1062222,1,1 1 0 0 0 0
18/02/2017,pl,1130151,2,1 1 0 0 0 0
19/02/2017,pl,1059634,2,1 1 0 0 0 0
20/02/2017,pl,1038881,3,0 1 0 0 0 0
