Date,Country,Streams,TEMP,Indicators
01/01/2017,pt,323524,8,0 0 0 0 0 0
02/01/2017,pt,522538,12,0 1 0 0 0 0
03/01/2017,pt,519544,16,1 1 0 0 0 0
04/01/2017,pt,551392,13,1 0 0 0 0 0
05/01/2017,pt,544593,10,1 1 0 0 0 0
06/01/2017,pt,592960,10,1 1 0 0 0 0
07/01/2017,pt,591118,9,0 0 0 0 0 0
08/01/2017,pt,545856,9,0 0 0 0 0 0
09/01/2017,pt,593680,10,0 0 0 0 0 0
10/01/2017,pt,595132,13,0 0 0 0 0 0
11/01/2017,pt,622674,14,0 0 0 0 0 0
12/01/2017,pt,614906,11,1 0 0 0 0 0
13/01/2017,pt,651622,11,0 0 0 0 0 0
14/01/2017,pt,639450,9,0 0 0 0 0 0
15/01/2017,pt,566320,8,0 0 0 0 0 0
16/01/2017,pt,635123,9,0 0 0 0 0 0
17/01/2017,pt,649981,11,1 0 0 0 0 0
18/01/2017,pt,657141,7,0 0 0 0 0 0
19/01/2017,pt,641391,5,0 0 0 0 0 0
20/01/2017,pt,637134,6,1 0 0 0 0 0
21/01/2017,pt,642565,9,0 0 0 0 0 0
22/01/2017,pt,562433,10,0 0 0 0 0 0
23/01/2017,pt,630097,10,0 0 0 0 0 0
24/01/2017,pt,672944,10,0 0 0 0 0 0
25/01/2017,pt,676786,7,1 0 0 0 0 0
26/01/2017,pt,662422,12,0 1 0 0 0 0
27/01/2017,pt,685473,11,0 1 0 0 0 0
28/01/2017,pt,701802,11,0 1 0 0 0 0
29/01/2017,pt,605977,14,0 1 0 0 0 0
30/01/2017,pt,671569,14,1 1 0 0 0 0
31/01/2017,pt,713687,12,0 1 0 0 0 0
01/02/2017,pt,731982,13,0 1 0 0 0 0
02/02/2017,pt,699412,14,0 1 0 0 0 0
03/02/2017,pt,718673,15,0 1 0 0 0 0
04/02/2017,pt,686529,15,0 1 0 0 0 0
05/02/2017,pt,611637,13,0 1 0 0 0 0
06/02/2017,pt,675015,13,1 0 0 0 0 0
07/02/2017,pt,707252,13,0 1 0 0 0 0
08/02/2017,pt,707490,10,0 0 0 0 0 0
09/02/2017,pt,675250,8,0 1 0 0 0 0
10/02/2017,pt,675894,8,0 1 0 0 0 0
11/02/2017,pt,690113,8,0 1 0 0 0 0
12/02/2017,pt,601950,11,0 1 0 0 0 0
13/02/2017,pt,671739,12,0 1 0 0 0 0
14/02/2017,pt,662844,13,1 1 0 0 1 0
15/02/2017,pt,702234,13,1 0 0 0 0 0
16/02/2017,pt,705721,14,0 0 0 0 0 0
17/02/2017,pt,709561,13,0 0 0 0 0 0
18/02/2017,pt,704637,12,0 1 0 0 0 0
19/02/2017,pt,609569,12,0 1 0 0 0 0
20/02/2017,pt,681262,14,0 0 0 0 0 0
21/02/2017,pt,710230,14,0 0 0 0 0 0
22/02/2017,pt,705711,15,0 0 0 0 0 0
