Date,Country,Streams,TEMP,Indicators
01/01/2017,py,183940,31,0 1 0 0 1 0
02/01/2017,py,194924,31,0 0 0 0 0 0
03/01/2017,py,205568,30,0 0 0 0 0 0
04/01/2017,py,210161,31,0 0 0 0 0 0
05/01/2017,py,205264,29,0 0 0 0 0 0
06/01/2017,py,211439,27,0 1 0 0 1 0
07/01/2017,py,222543,29,0 0 0 0 0 0
08/01/2017,py,202529,31,0 0 0 0 0 0
09/01/2017,py,217535,33,0 0 0 0 0 0
10/01/2017,py,210914,32,0 0 0 0 0 0
11/01/2017,py,215337,29,0 0 0 0 1 0
12/01/2017,py,224963,30,0 0 0 0 1 0
13/01/2017,py,233214,31,0 0 0 0 1 0
14/01/2017,py,226003,31,0 0 0 0 1 0
15/01/2017,py,209129,32,0 0 0 0 0 0
16/01/2017,py,212029,27,0 1 0 0 1 0
17/01/2017,py,228993,28,0 0 0 0 0 0
18/01/2017,py,234299,28,0 0 0 0 0 0
19/01/2017,py,239303,30,0 0 0 0 0 0
20/01/2017,py,245516,31,0 0 0 0 0 0
21/01/2017,py,247490,30,0 1 0 0 0 0
22/01/2017,py,220629,27,0 1 0 0 1 0
23/01/2017,py,232271,27,0 0 0 0 1 0
24/01/2017,py,247583,27,0 1 0 0 0 0
25/01/2017,py,248795,27,0 1 0 0 1 0
26/01/2017,py,260191,26,0 1 0 0 0 0
27/01/2017,py,276416,23,0 0 0 0 0 0
28/01/2017,py,283584,24,0 0 0 0 0 0
29/01/2017,py,254925,27,0 1 0 0 1 0
30/01/2017,py,265395,27,0 0 0 0 0 0
31/01/2017,py,268384,25,0 1 0 0 1 0
01/02/2017,py,267850,26,0 1 0 0 1 0
02/02/2017,py,277402,26,0 0 0 0 1 0
03/02/2017,py,293028,28,0 0 0 0 1 0
04/02/2017,py,303890,31,0 0 0 0 0 0
05/02/2017,py,237405,25,0 1 0 0 1 0
06/02/2017,py,270580,24,0 0 0 0 0 0
07/02/2017,py,282994,26,0 0 0 0 0 0
08/02/2017,py,281355,27,0 0 0 0 0 0
09/02/2017,py,267737,28,0 1 0 0 1 0
10/02/2017,py,251144,23,0 1 0 0 1 0
11/02/2017,py,272634,24,0 1 0 0 0 0
12/02/2017,py,258467,26,1 0 0 0 0 0
13/02/2017,py,270706,27,0 0 0 0 0 0
14/02/2017,py,265913,26,0 0 0 0 0 0
15/02/2017,py,259034,28,0 1 0 0 1 0
16/02/2017,py,263451,29,0 0 0 0 0 0
17/02/2017,py,274951,29,0 0 0 0 0 0
18/02/2017,py,289175,30,0 0 0 0 0 0
19/02/2017,py,250528,29,0 0 0 0 1 0
