Date,Country,Streams,TEMP,Indicators
01/01/2017,se,3025178,4,0 0 0 0 0 0
02/01/2017,se,3940686,-1,0 0 0 0 0 0
03/01/2017,se,4007562,-3,0 0 0 0 0 0
04/01/2017,se,4150248,-5,0 0 0 0 0 0
05/01/2017,se,4422403,-11,0 0 0 0 0 0
06/01/2017,se,4481814,-9,0 0 0 0 0 0
07/01/2017,se,4626947,-4,0 0 0 0 0 0
08/01/2017,se,4116357,-4,0 0 0 0 0 0
09/01/2017,se,4636287,2,0 0 0 0 0 0
10/01/2017,se,4694932,2,0 0 0 0 0 0
11/01/2017,se,4654801,1,0 0 0 0 0 0
12/01/2017,se,4924245,2,0 0 0 0 0 0
13/01/2017,se,5698940,1,0 0 0 0 0 0
14/01/2017,se,5480520,-2,0 0 0 0 0 0
15/01/2017,se,4350478,-3,0 0 0 0 0 0
16/01/2017,se,4780219,-2,0 0 0 0 0 0
17/01/2017,se,4886844,-2,0 0 0 0 0 0
18/01/2017,se,4932653,2,0 0 0 0 0 0
19/01/2017,se,5084619,4,0 0 0 0 0 0
20/01/2017,se,5676836,4,0 0 0 0 0 0
21/01/2017,se,5444736,3,0 0 0 0 0 0
22/01/2017,se,4305070,1,0 0 0 0 0 0
23/01/2017,se,4759632,2,0 0 0 0 0 0
24/01/2017,se,4839136,0,0 0 0 0 0 0
25/01/2017,se,4869659,1,0 0 0 0 0 0
26/01/2017,se,5276965,4,0 0 0 0 0 0
27/01/2017,se,6127197,0,0 0 0 0 0 0
28/01/2017,se,5704696,-1,0 0 0 0 0 0
29/01/2017,se,4376079,1,0 0 0 0 0 0
30/01/2017,se,4971610,3,0 0 0 0 0 0
31/01/2017,se,5090612,2,0 0 0 0 0 0
01/02/2017,se,5113877,0,0 0 0 0 0 0
02/02/2017,se,5327485,0,0 0 0 0 0 0
03/02/2017,se,5878747,0,0 0 0 0 0 0
04/02/2017,se,5581610,1,0 0 0 0 0 0
05/02/2017,se,4582596,0,0 0 0 0 0 0
06/02/2017,se,4983024,-2,0 0 0 0 0 0
07/02/2017,se,4994726,-5,0 0 0 0 0 0
08/02/2017,se,5052583,-4,0 0 0 0 0 0
09/02/2017,se,5256434,-3,0 0 0 0 0 0
10/02/2017,se,5959907,-2,0 0 0 0 0 0
11/02/2017,se,5681079,-3,0 0 0 0 0 0
12/02/2017,se,4732432,-2,0 0 0 0 0 0
13/02/2017,se,5079709,0,0 0 0 0 0 0
14/02/2017,se,5809183,2,0 0 0 0 0 0
15/02/2017,se,5926293,2,0 0 0 0 0 0
16/02/2017,se,5894054,2,0 0 0 0 0 0
17/02/2017,se,6749530,3,0 0 0 0 0 0
18/02/2017,se,6491112,2,0 0 0 0 0 0
19/02/2017,se,5466195,5,0 0 0 0 0 0
20/02/2017,se,5746548,4,0 0 0 0 0 0
21/02/2017,se,5762658,0,0 0 0 0 0 0
22/02/2017,se,5863889,1,0 0 0 0 0 0
23/02/2017,se,6060259,-1,0 0 0 0 0 0
24/02/2017,se,6782083,-2,0 0 0 0 0 0
25/02/2017,se,6424106,-1,0 0 0 0 0 0
26/02/2017,se,5957868,0,0 0 0 0 0 0
27/02/2017,se,6230005,2,0 0 0 0 0 0
28/02/2017,se,6338009,4,0 0 0 0 0 0
01/03/2017,se,6479618,3,0 0 0 0 0 0
02/03/2017,se,6551818,3,0 0 0 0 0 0
03/03/2017,se,7675426,1,0 0 0 0 0 0
04/03/2017,se,7332527,-1,0 0 0 0 0 0
05/03/2017,se,6202225,-2,0 0 0 0 0 0
06/03/2017,se,6763227,-2,0 0 0 0 0 0
07/03/2017,se,6653553,-3,0 0 0 0 0 0
08/03/2017,se,6522629,-2,0 0 0 0 0 0
09/03/2017,se,6699864,2,0 0 0 0 0 0
10/03/2017,se,7639217,2,0 0 0 0 0 0
11/03/2017,se,8290145,2,0 0 0 0 0 0
12/03/2017,se,7017020,4,0 0 0 0 0 0
13/03/2017,se,6823337,4,0 0 0 0 0 0
14/03/2017,se,6477017,6,0 0 0 0 0 0
15/03/2017,se,6375651,6,0 0 0 0 0 0
16/03/2017,se,6410084,6,0 0 0 0 0 0
17/03/2017,se,7675248,6,0 0 0 0 0 0
18/03/2017,se,7219404,3,0 0 0 0 0 0
19/03/2017,se,5834265,1,0 0 0 0 0 0
20/03/2017,se,6060330,1,0 0 0 0 0 0
21/03/2017,se,6020864,5,0 0 0 0 0 0
22/03/2017,se,6126578,5,0 0 0 0 0 0
23/03/2017,se,6215829,4,0 0 0 0 0 0
24/03/2017,se,6918983,4,0 0 0 0 0 0
25/03/2017,se,6511109,6,0 0 0 0 0 0
26/03/2017,se,5322164,10,0 0 0 0 0 0
27/03/2017,se,5690964,12,0 0 0 0 0 0
28/03/2017,se,5605165,5,0 0 0 0 0 0
29/03/2017,se,5586401,2,0 0 0 0 0 0
30/03/2017,se,5667184,2,0 0 0 0 0 0
31/03/2017,se,6455575,2,0 0 0 0 0 0
01/04/2017,se,6141299,7,0 0 0 0 0 0
02/04/2017,se,4992146,10,0 0 0 0 0 0
03/04/2017,se,5302293,4,0 0 0 0 0 0
04/04/2017,se,5291556,8,0 0 0 0 0 0
05/04/2017,se,5308128,8,0 0 0 0 0 0
06/04/2017,se,5413436,6,0 0 0 0 0 0
07/04/2017,se,5620581,6,0 0 0 0 0 0
08/04/2017,se,5655354,6,0 0 0 0 0 0
09/04/2017,se,4727515,10,0 0 0 0 0 0
10/04/2017,se,5048498,8,0 0 0 0 0 0
11/04/2017,se,5145298,6,0 0 0 0 0 0
12/04/2017,se,5183090,3,0 0 0 0 0 0
13/04/2017,se,5637023,1,0 0 0 0 0 0
14/04/2017,se,5125941,0,0 0 0 0 0 0
15/04/2017,se,4916445,0,0 0 0 0 0 0
16/04/2017,se,4314316,-1,0 0 0 0 0 0
17/04/2017,se,4399517,0,0 0 0 0 0 0
18/04/2017,se,4815011,1,0 0 0 0 0 0
19/04/2017,se,4923394,5,0 0 0 0 0 0
20/04/2017,se,4951169,6,0 0 0 0 0 0
21/04/2017,se,5989205,7,0 0 0 0 0 0
22/04/2017,se,5649190,6,0 0 0 0 0 0
23/04/2017,se,4551747,5,0 0 0 0 0 0
24/04/2017,se,4980730,4,0 0 0 0 0 0
25/04/2017,se,5156841,2,0 0 0 0 0 0
26/04/2017,se,5314604,3,0 0 0 0 0 0
27/04/2017,se,5349240,6,0 0 0 0 0 0
28/04/2017,se,6477511,5,0 0 0 0 0 0
29/04/2017,se,5823727,5,0 0 0 0 0 0
30/04/2017,se,6036095,6,0 0 0 0 0 0
01/05/2017,se,4802763,10,0 0 0 0 0 0
02/05/2017,se,5541943,11,0 0 0 0 0 0
03/05/2017,se,5648031,9,0 0 0 0 0 0
04/05/2017,se,5778278,8,0 0 0 0 0 0
05/05/2017,se,6709736,12,0 0 0 0 0 0
06/05/2017,se,6371263,11,0 0 0 0 0 0
