Date,Country,Streams,TEMP,Indicators
01/01/2017,sg,707082,28,0 1 0 0 0 0
02/01/2017,sg,797841,26,0 1 0 0 1 0
03/01/2017,sg,951712,26,0 1 0 0 1 0
04/01/2017,sg,957806,27,0 1 0 0 0 0
05/01/2017,sg,928406,28,0 1 0 0 0 0
06/01/2017,sg,967650,29,0 0 0 0 1 0
07/01/2017,sg,937072,29,0 1 0 0 0 0
08/01/2017,sg,947304,29,0 0 0 0 0 0
09/01/2017,sg,1079836,29,0 0 0 0 0 0
10/01/2017,sg,1090756,28,0 1 0 0 1 0
11/01/2017,sg,1109718,27,0 1 0 0 1 0
12/01/2017,sg,1092370,28,0 0 0 0 0 0
13/01/2017,sg,1067132,27,0 1 0 0 1 0
14/01/2017,sg,1017790,28,0 1 0 0 0 0
15/01/2017,sg,1031620,27,0 1 0 0 1 0
16/01/2017,sg,1165283,27,0 1 0 0 1 0
17/01/2017,sg,1189821,27,0 0 0 0 0 0
18/01/2017,sg,1196547,27,0 1 0 0 1 0
19/01/2017,sg,1168529,27,0 1 0 0 1 0
20/01/2017,sg,1103375,27,0 1 0 0 0 0
21/01/2017,sg,1042503,27,0 1 0 0 0 0
22/01/2017,sg,1045235,27,0 1 0 0 1 0
23/01/2017,sg,1140988,25,0 1 0 0 1 0
24/01/2017,sg,1176292,24,0 1 0 0 0 0
25/01/2017,sg,1152488,27,0 1 0 0 0 0
26/01/2017,sg,1118083,27,0 1 0 0 0 0
27/01/2017,sg,1034463,28,0 0 0 0 0 0
28/01/2017,sg,791022,26,0 1 0 0 1 0
29/01/2017,sg,807430,27,0 0 0 0 0 0
30/01/2017,sg,899202,26,0 1 0 0 0 0
31/01/2017,sg,1188652,27,0 0 0 0 0 0
01/02/2017,sg,1154345,27,0 0 0 0 0 0
02/02/2017,sg,1130799,27,0 1 0 0 1 0
03/02/2017,sg,1086227,27,0 1 0 0 1 0
04/02/2017,sg,1065439,27,0 1 0 0 1 0
05/02/2017,sg,1060894,27,0 1 0 0 1 0
06/02/2017,sg,1175931,27,0 1 0 0 0 0
07/02/2017,sg,1167916,26,0 1 0 0 1 0
08/02/2017,sg,1170056,27,0 1 0 0 1 0
09/02/2017,sg,1159792,27,0 0 0 0 0 0
10/02/2017,sg,1106248,28,0 0 0 0 0 0
11/02/2017,sg,1064950,27,0 1 0 0 0 0
12/02/2017,sg,1039918,26,0 1 0 0 0 0
13/02/2017,sg,1136744,27,0 1 0 0 0 0
14/02/2017,sg,1086795,26,0 1 0 0 0 0
15/02/2017,sg,1174023,26,0 1 0 0 0 0
16/02/2017,sg,1154304,27,0 1 0 0 0 0
17/02/2017,sg,1113786,27,0 0 0 0 0 0
18/02/2017,sg,1088713,27,0 0 0 0 0 0
19/02/2017,sg,1094324,28,0 0 0 0 0 0
20/02/2017,sg,1193389,28,0 0 0 0 0 0
21/02/2017,sg,1197904,28,0 1 0 0 0 0
22/02/2017,sg,1213097,28,0 0 0 0 0 0
23/02/2017,sg,1315152,27,0 1 0 0 0 0
24/02/2017,sg,1206016,25,0 1 0 0 1 0
25/02/2017,sg,1198627,28,0 0 0 0 1 0
26/02/2017,sg,1214242,27,0 1 0 0 0 0
27/02/2017,sg,1282029,28,0 1 0 0 0 0
28/02/2017,sg,1285588,27,0 1 0 0 1 0
01/03/2017,sg,1283424,25,0 1 0 0 0 0
02/03/2017,sg,1282075,27,0 1 0 0 0 0
03/03/2017,sg,1284507,26,0 1 0 0 0 0
04/03/2017,sg,1258105,26,0 1 0 0 0 0
05/03/2017,sg,1320709,27,0 0 0 0 0 0
06/03/2017,sg,1407780,27,0 1 0 0 0 0
07/03/2017,sg,1400643,27,0 0 0 0 0 0
08/03/2017,sg,1362429,27,0 0 0 0 0 0
09/03/2017,sg,1363044,27,0 0 0 0 0 0
10/03/2017,sg,1303165,27,0 0 0 0 0 0
11/03/2017,sg,1223603,28,0 0 0 0 0 0
12/03/2017,sg,1191867,27,0 1 0 0 1 0
13/03/2017,sg,1386511,28,0 1 0 0 0 0
14/03/2017,sg,1361630,27,0 1 0 0 1 0
15/03/2017,sg,1361256,29,0 0 0 0 0 0
16/03/2017,sg,1307882,28,0 0 0 0 0 0
17/03/2017,sg,1269544,28,0 1 0 0 1 0
18/03/2017,sg,1150175,29,0 0 0 0 0 0
19/03/2017,sg,1125989,29,0 1 0 0 1 0
20/03/2017,sg,1199006,27,0 1 0 0 1 0
21/03/2017,sg,1195606,28,0 0 0 0 1 0
22/03/2017,sg,1197343,28,0 1 0 0 1 0
23/03/2017,sg,1157318,29,0 0 0 0 0 0
24/03/2017,sg,1141539,28,0 0 0 0 0 0
25/03/2017,sg,1103079,28,0 1 0 0 0 0
26/03/2017,sg,1088012,29,0 0 0 0 0 0
27/03/2017,sg,1151138,29,0 1 0 0 1 0
28/03/2017,sg,1132133,26,0 1 0 0 1 0
29/03/2017,sg,1149990,27,0 1 0 0 1 0
30/03/2017,sg,1110778,26,0 1 0 0 1 0
31/03/2017,sg,1100611,27,0 1 0 0 1 0
01/04/2017,sg,1081775,26,0 1 0 0 1 0
02/04/2017,sg,1063576,27,0 1 0 0 1 0
03/04/2017,sg,1148352,28,0 1 0 0 1 0
04/04/2017,sg,1134587,29,0 1 0 0 1 0
05/04/2017,sg,1117331,29,0 0 0 0 0 0
06/04/2017,sg,1086804,28,0 1 0 0 1 0
07/04/2017,sg,1110830,28,0 1 0 0 1 0
08/04/2017,sg,1030572,27,0 1 0 0 1 0
09/04/2017,sg,1023961,28,0 1 0 0 0 0
10/04/2017,sg,1108111,28,0 0 0 0 0 0
11/04/2017,sg,1090619,28,0 1 0 0 1 0
12/04/2017,sg,1092902,28,0 1 0 0 1 0
13/04/2017,sg,1025613,26,0 1 0 0 0 0
14/04/2017,sg,975641,28,0 0 0 0 1 0
15/04/2017,sg,984757,29,0 1 0 0 0 0
16/04/2017,sg,968689,29,0 0 0 0 1 0
17/04/2017,sg,1100354,29,0 0 0 0 0 0
18/04/2017,sg,1104952,27,0 1 0 0 1 0
19/04/2017,sg,1109466,29,0 0 0 0 1 0
20/04/2017,sg,1098367,28,0 0 0 0 1 0
21/04/2017,sg,1095091,28,0 1 0 0 1 0
22/04/2017,sg,1072239,28,0 1 0 0 1 0
23/04/2017,sg,1054358,28,0 1 0 0 1 0
24/04/2017,sg,1154101,27,0 1 0 0 1 0
25/04/2017,sg,1163761,27,0 1 0 0 1 0
26/04/2017,sg,1174551,28,0 1 0 0 1 0
27/04/2017,sg,1152166,27,0 1 0 0 1 0
28/04/2017,sg,1138846,28,0 1 0 0 0 0
29/04/2017,sg,1095085,28,0 0 0 0 1 0
30/04/2017,sg,1028396,29,0 0 0 0 0 0
01/05/2017,sg,1100502,29,0 0 0 0 0 0
02/05/2017,sg,1193456,28,0 1 0 0 0 0
03/05/2017,sg,1197789,29,0 1 0 0 0 0
04/05/2017,sg,1182848,29,0 1 0 0 0 0
05/05/2017,sg,1156880,29,0 1 0 0 1 0
06/05/2017,sg,1092133,28,0 1 0 0 1 0
07/05/2017,sg,1100363,28,0 1 0 0 1 0
08/05/2017,sg,1218577,29,0 0 0 0 1 0
09/05/2017,sg,1165077,30,0 0 0 0 1 0
10/05/2017,sg,1094288,27,0 1 0 0 1 0
11/05/2017,sg,1198331,29,0 0 0 0 0 0
12/05/2017,sg,1159646,29,0 1 0 0 1 0
13/05/2017,sg,1076822,29,0 1 0 0 0 0
14/05/2017,sg,1037495,29,0 0 0 0 0 0
15/05/2017,sg,1206353,28,0 1 0 0 0 0
16/05/2017,sg,1200556,29,0 1 0 0 0 0
17/05/2017,sg,1176517,30,0 0 0 0 0 0
18/05/2017,sg,1174045,29,0 1 0 0 0 0
19/05/2017,sg,1161533,29,0 0 0 0 0 0
20/05/2017,sg,1103627,30,0 0 0 0 0 0
21/05/2017,sg,1059289,28,0 1 0 0 1 0
22/05/2017,sg,1199754,28,0 1 0 0 0 0
23/05/2017,sg,1221007,30,0 0 0 0 0 0
24/05/2017,sg,1214610,26,0 1 0 0 1 0
25/05/2017,sg,1212451,29,0 0 0 0 1 0
26/05/2017,sg,1214365,27,0 1 0 0 1 0
27/05/2017,sg,1095770,29,0 0 0 0 0 0
28/05/2017,sg,1067735,29,0 1 0 0 0 0
29/05/2017,sg,1259954,29,0 1 0 0 1 0
01/06/2017,sg,1227308,28,0 1 0 0 0 0
03/06/2017,sg,1050630,30,0 0 0 0 0 0
04/06/2017,sg,1025424,30,0 0 0 0 0 0
05/06/2017,sg,1228603,30,0 0 0 0 0 0
06/06/2017,sg,1233820,30,0 0 0 0 0 0
07/06/2017,sg,1221466,30,0 1 0 0 0 0
08/06/2017,sg,1218211,29,0 0 0 0 0 0
09/06/2017,sg,1182696,30,0 0 0 0 0 0
10/06/2017,sg,1014683,28,0 0 0 0 1 0
11/06/2017,sg,988115,29,0 1 0 0 0 0
12/06/2017,sg,1202202,30,0 0 0 0 0 0
13/06/2017,sg,1200645,29,0 1 0 0 1 0
14/06/2017,sg,1213558,29,0 0 0 0 0 0
15/06/2017,sg,1189014,29,0 0 0 0 0 0
16/06/2017,sg,1155148,29,0 1 0 0 1 0
17/06/2017,sg,1036704,29,0 0 0 0 0 0
18/06/2017,sg,978847,27,0 1 0 0 1 0
19/06/2017,sg,1201743,28,0 0 0 0 0 0
20/06/2017,sg,1215558,29,0 0 0 0 0 0
21/06/2017,sg,1212411,28,0 1 0 0 1 0
22/06/2017,sg,1196295,29,0 0 0 0 1 0
23/06/2017,sg,1186941,26,0 1 0 0 1 0
24/06/2017,sg,1029873,29,0 0 0 0 0 0
25/06/2017,sg,922385,27,0 1 0 0 1 0
26/06/2017,sg,998949,28,0 1 0 0 1 0
27/06/2017,sg,1149062,26,0 1 0 0 0 0
28/06/2017,sg,1168238,28,0 1 0 0 1 0
29/06/2017,sg,1154922,28,0 0 0 0 1 0
30/06/2017,sg,1103986,29,0 0 0 0 0 0
01/07/2017,sg,1013803,29,0 0 0 0 0 0
02/07/2017,sg,994988,29,0 1 0 0 1 0
03/07/2017,sg,1212467,27,0 1 0 0 1 0
04/07/2017,sg,1163694,29,0 0 0 0 0 0
05/07/2017,sg,1170935,27,0 1 0 0 1 0
