Date,Country,Streams,TEMP,Indicators
01/01/2017,sk,25068,-6,0 0 0 0 0 0
02/01/2017,sk,53821,-4,1 0 0 0 0 0
03/01/2017,sk,66945,0,0 0 1 0 0 0
04/01/2017,sk,63221,2,0 0 1 0 0 0
05/01/2017,sk,54583,-3,0 0 0 0 0 0
06/01/2017,sk,63241,-8,0 0 0 0 0 0
07/01/2017,sk,66415,-11,0 0 0 0 0 0
08/01/2017,sk,62459,-8,0 0 0 0 0 0
09/01/2017,sk,60642,-6,0 0 0 0 0 0
10/01/2017,sk,65796,-9,0 0 1 0 0 0
11/01/2017,sk,67028,-9,0 0 0 0 0 0
12/01/2017,sk,67754,-3,0 0 1 0 0 0
13/01/2017,sk,79785,2,0 1 0 0 0 0
14/01/2017,sk,82630,0,0 0 0 0 0 0
15/01/2017,sk,78186,0,0 0 0 0 0 0
16/01/2017,sk,70663,-3,0 0 0 0 0 0
17/01/2017,sk,73901,-3,0 0 0 0 0 0
18/01/2017,sk,69044,-4,0 0 0 0 0 0
19/01/2017,sk,66233,-7,1 0 0 0 0 0
20/01/2017,sk,70945,-6,0 0 0 0 0 0
21/01/2017,sk,79284,-5,0 0 0 0 0 0
22/01/2017,sk,85952,-5,0 0 0 0 0 0
23/01/2017,sk,72499,-6,1 0 0 0 0 0
24/01/2017,sk,84840,-6,1 0 1 0 0 0
25/01/2017,sk,73159,-4,0 0 1 0 0 0
26/01/2017,sk,74024,-2,0 0 0 0 0 0
27/01/2017,sk,76428,-7,1 0 1 0 0 0
28/01/2017,sk,81578,-7,0 0 0 0 0 0
29/01/2017,sk,79140,-7,0 0 0 0 0 0
30/01/2017,sk,78074,-8,1 0 1 0 0 0
31/01/2017,sk,86259,-5,1 0 1 0 0 0
01/02/2017,sk,84204,-1,1 0 1 0 0 0
02/02/2017,sk,84318,0,1 0 0 0 0 0
03/02/2017,sk,92050,1,0 0 0 0 0 0
04/02/2017,sk,81132,1,0 0 0 0 0 0
05/02/2017,sk,85584,5,0 0 0 0 0 0
06/02/2017,sk,75252,3,0 1 0 0 0 0
07/02/2017,sk,87541,-1,0 0 0 0 0 0
08/02/2017,sk,86588,-3,0 0 0 0 0 0
09/02/2017,sk,85278,-1,0 0 1 0 0 0
10/02/2017,sk,74596,0,1 0 0 0 0 0
11/02/2017,sk,82499,0,0 0 0 0 0 0
12/02/2017,sk,92499,0,0 0 0 0 0 0
13/02/2017,sk,81654,0,0 0 0 0 0 0
14/02/2017,sk,85578,1,0 0 0 0 0 0
15/02/2017,sk,75510,3,0 0 0 0 0 0
16/02/2017,sk,75695,-2,1 0 0 0 0 0
17/02/2017,sk,88055,0,0 0 0 0 0 0
18/02/2017,sk,90451,4,0 0 0 0 0 0
19/02/2017,sk,97573,3,0 0 0 0 0 0
20/02/2017,sk,97733,3,0 0 0 0 0 0
21/02/2017,sk,102142,7,0 1 0 0 0 0
22/02/2017,sk,98359,8,0 1 0 0 0 0
23/02/2017,sk,113628,11,0 1 0 0 0 0
24/02/2017,sk,105155,7,0 1 0 0 0 0
25/02/2017,sk,102427,3,0 0 0 0 0 0
26/02/2017,sk,104072,4,0 0 0 0 0 0
27/02/2017,sk,101031,7,0 0 0 0 0 0
28/02/2017,sk,105326,8,0 0 0 0 0 0
01/03/2017,sk,111209,6,0 1 0 0 0 0
02/03/2017,sk,115509,7,0 1 0 0 0 0
03/03/2017,sk,131960,9,0 0 0 0 0 0
04/03/2017,sk,122109,11,0 0 0 0 0 0
05/03/2017,sk,125033,10,0 0 0 0 0 0
06/03/2017,sk,119755,7,0 0 0 0 0 0
07/03/2017,sk,117015,6,0 1 0 1 0 0
08/03/2017,sk,120564,6,0 0 0 0 0 0
09/03/2017,sk,124666,8,1 1 0 0 0 0
10/03/2017,sk,111831,6,0 0 0 0 0 0
11/03/2017,sk,109512,6,0 0 0 0 0 0
12/03/2017,sk,111046,5,0 0 0 0 0 0
13/03/2017,sk,107493,5,0 0 0 0 0 0
14/03/2017,sk,107684,6,0 0 0 0 0 0
15/03/2017,sk,108448,8,0 0 0 0 0 0
16/03/2017,sk,113182,10,0 0 0 0 0 0
17/03/2017,sk,101950,11,0 0 0 0 0 0
18/03/2017,sk,101002,8,0 0 0 0 0 0
19/03/2017,sk,102846,7,0 0 0 0 0 0
20/03/2017,sk,96395,12,0 0 0 0 0 0
21/03/2017,sk,99105,13,0 0 0 0 0 0
22/03/2017,sk,101360,10,0 0 0 0 0 0
23/03/2017,sk,105193,10,0 0 0 0 0 0
24/03/2017,sk,99075,9,0 0 0 0 0 0
25/03/2017,sk,95420,8,0 0 0 0 0 0
26/03/2017,sk,93636,7,0 0 0 0 0 0
27/03/2017,sk,93328,9,0 0 0 0 0 0
28/03/2017,sk,98264,14,0 0 0 0 0 0
29/03/2017,sk,100801,16,0 0 0 0 0 0
30/03/2017,sk,103026,14,0 0 0 0 0 0
31/03/2017,sk,99610,15,0 0 0 0 0 0
01/04/2017,sk,98764,16,0 0 0 0 0 0
02/04/2017,sk,95628,17,0 0 0 0 0 0
03/04/2017,sk,95180,16,0 0 0 0 0 0
04/04/2017,sk,88999,13,0 0 0 0 0 0
05/04/2017,sk,92627,11,0 0 0 0 0 0
06/04/2017,sk,93054,8,0 0 0 0 0 0
07/04/2017,sk,95729,7,0 0 0 0 0 0
08/04/2017,sk,98163,11,0 0 0 0 0 0
09/04/2017,sk,98716,13,0 0 0 0 0 0
