Date,Country,Streams,TEMP,Indicators
01/01/2017,sv,122249,25,0 0 0 0 0 0
02/01/2017,sv,115051,26,0 0 0 0 0 0
03/01/2017,sv,120868,26,0 0 0 0 0 0
04/01/2017,sv,122396,27,0 0 0 0 0 0
05/01/2017,sv,123411,27,0 0 0 0 0 0
06/01/2017,sv,130070,26,0 0 0 0 0 0
07/01/2017,sv,124379,26,0 0 0 0 0 0
08/01/2017,sv,109913,29,0 0 0 0 0 0
09/01/2017,sv,117129,27,0 0 0 0 0 0
10/01/2017,sv,119027,27,0 0 0 0 0 0
11/01/2017,sv,120939,27,0 0 0 0 0 0
12/01/2017,sv,123272,28,0 0 0 0 0 0
13/01/2017,sv,126360,26,0 0 0 0 0 0
14/01/2017,sv,125288,27,0 0 0 0 0 0
15/01/2017,sv,114061,27,0 0 0 0 0 0
16/01/2017,sv,120308,25,0 0 0 0 0 0
17/01/2017,sv,128078,26,0 0 0 0 0 0
18/01/2017,sv,125766,27,0 0 0 0 0 0
19/01/2017,sv,132754,26,0 0 0 0 0 0
20/01/2017,sv,137223,26,0 0 0 0 0 0
21/01/2017,sv,138337,25,0 0 0 0 0 0
22/01/2017,sv,129995,24,0 0 0 0 0 0
23/01/2017,sv,128989,26,0 0 0 0 0 0
24/01/2017,sv,132801,25,0 0 0 0 0 0
25/01/2017,sv,136427,24,0 0 0 0 0 0
26/01/2017,sv,140045,26,0 0 0 0 0 0
27/01/2017,sv,145451,26,0 0 0 0 0 0
28/01/2017,sv,155665,26,0 0 0 0 0 0
29/01/2017,sv,143563,28,0 0 0 0 0 0
30/01/2017,sv,134872,30,0 0 0 0 0 0
31/01/2017,sv,141686,27,0 0 0 0 0 0
01/02/2017,sv,147734,28,0 0 0 0 0 0
02/02/2017,sv,147524,27,0 0 0 0 0 0
03/02/2017,sv,154528,28,0 0 0 0 0 0
04/02/2017,sv,160255,28,0 0 0 0 0 0
05/02/2017,sv,149503,30,0 0 0 0 0 0
06/02/2017,sv,139102,30,0 0 0 0 0 0
07/02/2017,sv,146600,27,0 0 0 0 0 0
08/02/2017,sv,151458,26,0 0 0 0 0 0
09/02/2017,sv,148343,26,0 0 0 0 0 0
10/02/2017,sv,155343,28,0 0 0 0 0 0
11/02/2017,sv,164121,30,0 0 0 0 0 0
12/02/2017,sv,149992,29,0 0 0 0 0 0
13/02/2017,sv,136977,27,0 0 0 0 0 0
14/02/2017,sv,143622,25,0 0 0 0 0 0
15/02/2017,sv,141761,26,0 0 0 0 0 0
16/02/2017,sv,148196,26,0 0 0 0 0 0
17/02/2017,sv,153793,28,0 0 0 0 0 0
18/02/2017,sv,158822,26,0 0 0 0 0 0
19/02/2017,sv,147395,26,0 0 0 0 0 0
