Date,Country,Streams,TEMP,Indicators
01/01/2017,tr,848558,4,0 1 1 0 0 0
02/01/2017,tr,964591,5,0 0 0 0 0 0
03/01/2017,tr,979891,7,0 0 0 0 0 0
04/01/2017,tr,989238,8,0 0 0 0 0 0
05/01/2017,tr,956500,9,0 1 0 0 0 0
06/01/2017,tr,1023226,6,0 1 1 0 0 0
07/01/2017,tr,1002660,-3,0 0 1 0 0 0
08/01/2017,tr,964236,-2,0 0 1 0 0 0
09/01/2017,tr,940355,-1,0 0 1 0 0 0
10/01/2017,tr,932203,2,0 1 1 0 0 0
11/01/2017,tr,971318,7,0 0 0 0 0 0
12/01/2017,tr,963548,5,0 1 0 0 0 0
13/01/2017,tr,1010221,7,0 0 0 0 0 0
14/01/2017,tr,996176,10,0 1 0 0 0 0
15/01/2017,tr,929580,5,0 1 0 0 0 0
16/01/2017,tr,962899,5,0 1 0 0 0 0
17/01/2017,tr,999534,8,0 1 0 0 0 0
18/01/2017,tr,1006783,7,0 1 0 0 0 0
19/01/2017,tr,1018289,7,0 1 0 0 0 0
20/01/2017,tr,1005745,4,0 1 0 0 0 0
21/01/2017,tr,962830,4,0 0 0 0 0 0
22/01/2017,tr,908871,3,0 0 0 0 0 0
23/01/2017,tr,957960,5,0 0 0 0 0 0
24/01/2017,tr,972601,5,0 0 0 0 0 0
25/01/2017,tr,976866,4,0 1 0 0 0 0
26/01/2017,tr,1004679,2,0 0 1 0 0 0
27/01/2017,tr,1029950,1,0 1 1 0 0 0
28/01/2017,tr,972746,2,0 1 1 0 0 0
29/01/2017,tr,933749,4,0 1 0 0 0 0
30/01/2017,tr,1002978,3,0 1 0 0 0 0
31/01/2017,tr,1016992,2,0 0 0 0 0 0
01/02/2017,tr,1013424,2,0 0 0 0 0 0
02/02/2017,tr,1009236,4,0 0 0 0 0 0
03/02/2017,tr,1284968,9,0 0 0 0 0 0
04/02/2017,tr,1206658,12,0 0 0 0 0 0
05/02/2017,tr,1090657,12,0 1 0 0 1 0
06/02/2017,tr,1110706,13,0 0 0 0 0 0
07/02/2017,tr,1126557,13,0 0 0 0 0 0
08/02/2017,tr,1107305,9,0 0 0 0 0 0
09/02/2017,tr,1092842,7,0 1 0 0 0 0
10/02/2017,tr,1104035,5,0 1 0 0 0 0
11/02/2017,tr,1085996,4,0 0 0 0 0 0
12/02/2017,tr,1024829,4,0 1 1 0 0 0
13/02/2017,tr,1014360,3,0 1 1 0 0 0
14/02/2017,tr,1028327,1,0 1 1 0 0 0
15/02/2017,tr,1000749,3,0 0 0 0 0 0
16/02/2017,tr,1002445,4,0 1 0 0 0 0
17/02/2017,tr,1051668,4,0 0 0 0 0 0
18/02/2017,tr,1046511,7,0 0 0 0 0 0
19/02/2017,tr,1019337,11,0 1 0 0 0 0
20/02/2017,tr,1015997,7,0 1 0 0 0 0
21/02/2017,tr,1060501,8,0 0 0 0 0 0
22/02/2017,tr,1055615,10,0 0 0 0 0 0
23/02/2017,tr,1112306,12,0 0 0 0 0 0
24/02/2017,tr,1103720,14,0 0 0 0 0 0
25/02/2017,tr,1077029,12,0 1 0 0 0 0
26/02/2017,tr,1014182,8,0 1 0 0 0 0
27/02/2017,tr,995492,8,0 0 0 0 0 0
28/02/2017,tr,1046914,6,1 0 0 0 0 0
01/03/2017,tr,1068803,8,1 0 0 0 0 0
02/03/2017,tr,1065804,10,0 0 0 0 0 0
03/03/2017,tr,1081464,10,0 0 0 0 0 0
04/03/2017,tr,1038283,11,0 0 0 0 0 0
05/03/2017,tr,1017104,13,0 0 0 0 0 0
06/03/2017,tr,1013485,14,0 0 0 0 0 0
07/03/2017,tr,1047825,15,0 0 0 0 0 0
08/03/2017,tr,1035625,14,0 0 0 0 0 0
09/03/2017,tr,1053982,10,0 1 0 0 0 0
10/03/2017,tr,1025092,10,0 1 0 0 0 0
11/03/2017,tr,991483,9,0 1 0 0 0 0
12/03/2017,tr,934691,8,0 1 0 0 0 0
13/03/2017,tr,993407,7,0 1 0 0 0 0
14/03/2017,tr,1011302,6,0 1 0 0 0 0
15/03/2017,tr,1029744,9,0 1 0 0 0 0
16/03/2017,tr,1045543,7,0 1 0 0 0 0
17/03/2017,tr,1025939,6,0 1 0 0 0 0
18/03/2017,tr,1042607,8,0 0 0 0 0 0
19/03/2017,tr,1001659,11,0 1 0 0 0 0
20/03/2017,tr,1027100,11,0 1 0 0 0 0
21/03/2017,tr,1041625,14,0 1 0 0 0 0
22/03/2017,tr,1073312,13,0 0 0 0 0 0
23/03/2017,tr,1074866,10,0 0 0 0 0 0
24/03/2017,tr,1059229,9,0 0 0 0 0 0
25/03/2017,tr,1082946,9,1 0 0 0 0 0
26/03/2017,tr,1038163,10,0 1 0 0 1 0
27/03/2017,tr,1030388,8,0 1 0 0 0 0
28/03/2017,tr,1060944,10,0 0 0 0 0 0
29/03/2017,tr,1091883,13,0 0 0 0 0 0
30/03/2017,tr,1095025,13,0 0 0 0 0 0
31/03/2017,tr,1073267,10,0 0 0 0 0 0
01/04/2017,tr,1089881,9,0 0 0 0 0 0
02/04/2017,tr,1005835,10,0 0 0 0 0 0
03/04/2017,tr,1054893,12,0 0 0 0 0 0
04/04/2017,tr,1061532,12,0 0 0 0 0 0
05/04/2017,tr,1106531,14,0 0 0 0 0 0
06/04/2017,tr,1094727,13,0 1 0 0 0 0
07/04/2017,tr,1094873,11,0 1 0 0 0 0
08/04/2017,tr,1080698,10,0 1 0 0 0 0
09/04/2017,tr,991910,10,0 1 0 0 0 0
10/04/2017,tr,1046354,10,0 0 0 0 0 0
11/04/2017,tr,1066148,12,0 0 0 0 0 0
12/04/2017,tr,1088521,12,0 0 0 0 0 0
13/04/2017,tr,1048915,12,0 0 0 0 0 0
14/04/2017,tr,1107554,14,0 0 0 0 0 0
15/04/2017,tr,1100634,18,0 1 0 0 0 0
16/04/2017,tr,924303,18,0 1 0 0 1 0
17/04/2017,tr,1065020,15,0 1 0 0 0 0
18/04/2017,tr,1040284,9,0 1 0 0 0 0
19/04/2017,tr,1117380,15,0 0 0 0 0 0
20/04/2017,tr,1059527,14,0 1 0 0 0 0
21/04/2017,tr,1078085,10,0 0 0 0 0 0
22/04/2017,tr,1083384,10,0 0 0 0 0 0
23/04/2017,tr,963305,11,0 1 0 0 0 0
24/04/2017,tr,1070816,10,0 1 0 0 0 0
25/04/2017,tr,1127521,13,0 0 0 0 0 0
26/04/2017,tr,1164092,14,0 0 0 0 0 0
27/04/2017,tr,1144638,17,0 0 0 0 0 0
28/04/2017,tr,1151912,18,0 0 0 0 0 0
29/04/2017,tr,1145965,21,0 0 0 0 0 0
30/04/2017,tr,1056711,19,0 0 0 0 0 0
01/05/2017,tr,1077592,15,0 1 0 0 0 0
02/05/2017,tr,1123346,16,0 0 0 0 0 0
03/05/2017,tr,1174174,18,0 0 0 0 0 0
04/05/2017,tr,1140915,18,0 0 0 0 0 0
05/05/2017,tr,1153752,19,0 0 0 0 1 0
06/05/2017,tr,1121997,16,0 1 0 0 0 0
07/05/2017,tr,1047143,18,0 0 0 0 1 0
08/05/2017,tr,1098103,18,0 1 0 0 1 0
09/05/2017,tr,1142149,19,0 1 0 0 1 0
10/05/2017,tr,1130077,15,0 1 0 0 1 0
11/05/2017,tr,1143648,16,0 0 0 0 0 0
12/05/2017,tr,1147813,20,0 0 0 0 0 0
13/05/2017,tr,1159108,23,0 0 0 0 0 0
14/05/2017,tr,1041111,22,0 0 0 0 1 0
15/05/2017,tr,1093263,18,0 0 0 0 0 0
16/05/2017,tr,1138683,18,0 0 0 0 0 0
17/05/2017,tr,1115439,17,0 1 0 0 0 0
18/05/2017,tr,1177102,17,0 0 0 0 0 0
19/05/2017,tr,1069330,16,0 0 0 0 0 0
20/05/2017,tr,1075826,16,0 1 0 0 0 0
21/05/2017,tr,979072,15,0 1 0 0 0 0
22/05/2017,tr,1057550,17,0 0 0 0 0 0
23/05/2017,tr,1140821,18,0 1 0 0 0 0
24/05/2017,tr,1136450,17,0 0 0 0 0 0
25/05/2017,tr,1138583,20,0 0 0 0 0 0
26/05/2017,tr,1122865,20,0 1 0 0 0 0
27/05/2017,tr,1084512,18,0 0 0 0 0 0
28/05/2017,tr,1017391,19,0 0 0 0 0 0
29/05/2017,tr,1095686,20,0 1 0 0 0 0
01/06/2017,tr,1163855,22,0 0 0 0 0 0
03/06/2017,tr,1106051,25,0 0 0 0 0 0
04/06/2017,tr,1035210,23,0 0 0 0 0 0
05/06/2017,tr,1151764,22,0 1 0 0 0 0
06/06/2017,tr,1200657,21,0 1 0 0 0 0
07/06/2017,tr,1227438,23,0 0 0 0 0 0
08/06/2017,tr,1167317,24,0 1 0 0 0 0
09/06/2017,tr,1120125,19,0 1 0 0 0 0
10/06/2017,tr,1106474,18,0 1 0 0 0 0
11/06/2017,tr,1098095,22,0 0 0 0 0 0
12/06/2017,tr,1209688,22,0 0 0 0 0 0
13/06/2017,tr,1225791,22,0 0 0 0 0 0
14/06/2017,tr,1223618,23,0 0 0 0 0 0
15/06/2017,tr,1210166,22,0 0 0 0 1 0
16/06/2017,tr,1210094,23,0 0 0 0 0 0
17/06/2017,tr,1162364,22,0 1 0 0 0 0
18/06/2017,tr,1077385,20,0 1 0 0 0 0
19/06/2017,tr,1199671,18,0 1 0 0 0 0
20/06/2017,tr,1270675,21,0 1 0 0 0 0
21/06/2017,tr,1206465,22,0 0 0 0 0 0
22/06/2017,tr,1281555,24,0 0 0 0 0 0
23/06/2017,tr,1327381,25,0 0 0 0 0 0
24/06/2017,tr,1250074,26,0 0 0 0 0 0
25/06/2017,tr,1008400,27,0 0 0 0 0 0
26/06/2017,tr,1055544,25,0 0 0 0 0 0
27/06/2017,tr,1132256,25,0 0 0 0 0 0
28/06/2017,tr,1250756,27,0 0 0 0 0 0
29/06/2017,tr,1234562,29,0 0 0 0 0 0
30/06/2017,tr,1226431,31,0 0 0 0 0 0
01/07/2017,tr,1247172,30,0 0 0 0 0 0
02/07/2017,tr,1226795,28,0 0 0 0 0 0
03/07/2017,tr,1367186,28,0 0 0 0 0 0
04/07/2017,tr,1380939,23,0 0 0 0 0 0
05/07/2017,tr,1408273,24,0 0 0 0 0 0
06/07/2017,tr,1394045,24,0 0 0 0 0 0
07/07/2017,tr,1406043,23,0 0 0 0 0 0
08/07/2017,tr,1398150,24,0 0 0 0 0 0
09/07/2017,tr,1339300,26,0 0 0 0 0 0
10/07/2017,tr,1488314,27,0 0 0 0 0 0
11/07/2017,tr,1513207,25,0 0 0 0 0 0
12/07/2017,tr,1475402,25,0 0 0 0 0 0
13/07/2017,tr,1494638,27,0 0 0 0 0 0
14/07/2017,tr,1490322,26,0 0 0 0 0 0
15/07/2017,tr,1438828,25,0 0 0 0 0 0
16/07/2017,tr,1355112,25,0 0 0 0 0 0
17/07/2017,tr,1431144,24,0 1 0 0 0 0
18/07/2017,tr,1411227,23,0 1 0 0 1 0
19/07/2017,tr,1471356,25,0 0 0 0 0 0
20/07/2017,tr,1465582,25,0 0 0 0 0 0
21/07/2017,tr,1450139,25,0 0 0 0 0 0
22/07/2017,tr,1401121,26,0 0 0 0 0 0
23/07/2017,tr,1328632,27,0 0 0 0 0 0
24/07/2017,tr,1447526,28,0 0 0 0 0 0
25/07/2017,tr,1466799,28,0 0 0 0 0 0
26/07/2017,tr,1448033,29,0 0 0 0 0 0
27/07/2017,tr,1383285,27,0 1 0 0 1 0
28/07/2017,tr,1493924,23,0 0 0 0 1 0
29/07/2017,tr,1593417,25,0 0 0 0 0 0
30/07/2017,tr,1570654,26,0 0 0 0 0 0
31/07/2017,tr,1748951,25,0 0 0 0 0 0
01/08/2017,tr,1815875,25,0 0 0 0 0 0
02/08/2017,tr,1789646,26,0 0 0 0 0 0
03/08/2017,tr,1720642,27,0 0 0 0 0 0
04/08/2017,tr,1692233,28,0 0 0 0 0 0
05/08/2017,tr,1636893,28,0 0 0 0 0 0
06/08/2017,tr,1525241,28,0 0 0 0 0 0
07/08/2017,tr,1675561,28,0 0 0 0 0 0
08/08/2017,tr,1655147,27,0 0 0 0 0 0
09/08/2017,tr,1681142,27,0 0 0 0 0 0
10/08/2017,tr,1669157,27,0 0 0 0 0 0
11/08/2017,tr,1647823,28,0 0 0 0 0 0
12/08/2017,tr,1580720,27,0 0 0 0 0 0
13/08/2017,tr,1499364,26,0 0 0 0 0 0
14/08/2017,tr,1613059,26,0 0 0 0 0 0
15/08/2017,tr,1645574,25,0 0 0 0 0 0
16/08/2017,tr,1613550,24,0 1 0 0 0 0
17/08/2017,tr,1571533,25,0 1 0 0 1 0
18/08/2017,tr,1593038,26,0 0 0 0 0 0
19/08/2017,tr,1542170,26,0 0 0 0 0 0
20/08/2017,tr,1451948,26,0 0 0 0 0 0
21/08/2017,tr,1559866,26,0 1 0 0 0 0
22/08/2017,tr,1546811,22,0 1 0 0 1 0
23/08/2017,tr,1570459,22,0 0 0 0 0 0
