Date,Country,Streams,TEMP,Indicators
01/01/2017,tw,445061,22,1 0 0 0 0 0
02/01/2017,tw,513111,20,0 1 0 0 0 0
03/01/2017,tw,544468,21,0 0 0 0 0 0
04/01/2017,tw,621294,22,0 0 0 0 0 0
05/01/2017,tw,536470,20,0 0 0 0 0 0
06/01/2017,tw,546862,21,0 1 0 0 0 0
07/01/2017,tw,548135,21,0 1 0 0 0 0
08/01/2017,tw,551931,19,0 0 0 0 0 0
09/01/2017,tw,584410,17,0 0 0 0 0 0
10/01/2017,tw,599116,19,0 0 0 0 0 0
11/01/2017,tw,650702,19,0 0 0 0 0 0
12/01/2017,tw,570421,19,0 1 0 0 0 0
13/01/2017,tw,550128,14,0 1 0 0 0 0
14/01/2017,tw,521374,15,0 1 0 0 0 0
15/01/2017,tw,520704,14,0 1 0 0 0 0
16/01/2017,tw,547281,16,0 0 0 0 0 0
17/01/2017,tw,554099,19,0 1 0 0 0 0
18/01/2017,tw,655632,19,0 1 0 0 0 0
19/01/2017,tw,569730,17,0 1 0 0 0 0
20/01/2017,tw,543031,13,0 1 0 0 0 0
21/01/2017,tw,498804,14,0 0 0 0 0 0
22/01/2017,tw,491411,15,0 0 0 0 0 0
23/01/2017,tw,543945,15,0 1 0 0 0 0
24/01/2017,tw,560017,15,0 0 0 0 0 0
25/01/2017,tw,648457,16,0 0 0 0 0 0
26/01/2017,tw,575483,17,0 0 0 0 0 0
27/01/2017,tw,448363,18,0 1 0 0 0 0
28/01/2017,tw,397629,18,1 0 0 0 0 0
29/01/2017,tw,391336,20,0 0 0 0 0 0
30/01/2017,tw,411202,15,0 0 0 0 0 0
31/01/2017,tw,450073,17,0 0 0 0 0 0
01/02/2017,tw,532823,16,0 1 0 0 0 0
02/02/2017,tw,540563,16,0 0 0 0 0 0
03/02/2017,tw,537689,19,0 0 0 0 0 0
04/02/2017,tw,488914,18,0 0 0 0 0 0
05/02/2017,tw,471162,18,0 1 0 0 0 0
06/02/2017,tw,546693,18,0 0 0 0 0 0
07/02/2017,tw,566551,18,0 0 0 0 0 0
08/02/2017,tw,646031,15,0 1 0 0 0 0
09/02/2017,tw,568981,11,0 0 0 0 0 0
10/02/2017,tw,529911,12,0 0 0 0 0 0
11/02/2017,tw,464912,13,0 0 0 0 0 0
12/02/2017,tw,464174,15,0 0 0 0 0 0
13/02/2017,tw,535389,17,0 0 0 0 0 0
14/02/2017,tw,541289,18,0 0 0 0 0 0
15/02/2017,tw,635364,18,0 0 0 0 0 0
16/02/2017,tw,574215,18,0 0 0 0 0 0
17/02/2017,tw,574753,20,0 0 0 0 0 0
18/02/2017,tw,538289,18,0 0 0 0 0 0
19/02/2017,tw,537732,19,0 1 0 0 1 0
20/02/2017,tw,580337,18,0 1 0 0 0 0
21/02/2017,tw,608149,19,0 1 0 0 0 0
22/02/2017,tw,678538,18,0 1 0 0 0 0
23/02/2017,tw,692318,13,0 1 0 0 0 0
24/02/2017,tw,645256,12,0 1 0 0 0 0
25/02/2017,tw,600529,13,0 1 0 0 0 0
26/02/2017,tw,555238,13,0 1 0 0 0 0
27/02/2017,tw,577321,16,0 1 0 0 0 0
28/02/2017,tw,631728,15,0 1 0 0 0 0
01/03/2017,tw,743981,16,0 0 0 0 0 0
02/03/2017,tw,652858,14,0 0 0 0 0 0
03/03/2017,tw,677848,17,0 1 0 0 0 0
04/03/2017,tw,623770,17,1 0 0 0 0 0
05/03/2017,tw,625296,19,0 1 0 0 0 0
06/03/2017,tw,666864,15,0 1 0 0 0 0
07/03/2017,tw,665300,14,0 1 0 0 0 0
08/03/2017,tw,753693,15,0 1 0 0 0 0
09/03/2017,tw,666924,18,0 1 0 0 0 0
10/03/2017,tw,676460,17,0 1 0 0 0 0
11/03/2017,tw,647693,19,0 0 0 0 0 0
12/03/2017,tw,642949,20,0 1 0 0 0 0
13/03/2017,tw,686035,16,0 1 0 0 0 0
14/03/2017,tw,687151,14,0 1 0 0 0 0
15/03/2017,tw,805454,16,0 1 0 0 0 0
16/03/2017,tw,683939,16,0 1 0 0 0 0
17/03/2017,tw,663094,18,0 0 0 0 0 0
18/03/2017,tw,623452,18,0 1 0 0 0 0
19/03/2017,tw,617551,19,0 1 0 0 0 0
