Date,Country,Streams,TEMP,Indicators
01/01/2017,us,25617742,10,0 1 0 0 0 0
02/01/2017,us,22631179,12,0 0 0 0 0 0
03/01/2017,us,25487748,12,0 0 0 0 0 0
04/01/2017,us,25947188,13,0 0 0 0 0 0
05/01/2017,us,25985525,14,1 1 0 0 0 0
06/01/2017,us,28554208,14,0 0 0 0 0 0
07/01/2017,us,26256999,14,0 1 0 0 0 0
08/01/2017,us,24706253,17,0 0 0 0 0 0
09/01/2017,us,27025766,16,0 1 0 0 1 0
10/01/2017,us,27921673,14,0 1 0 0 0 0
11/01/2017,us,28651375,15,0 1 0 0 0 0
12/01/2017,us,29150765,14,1 1 0 0 0 0
13/01/2017,us,30938453,12,0 0 0 0 0 0
14/01/2017,us,29209201,13,0 0 0 0 0 0
15/01/2017,us,26949860,15,0 0 0 0 0 0
16/01/2017,us,28166585,14,0 0 0 0 0 0
17/01/2017,us,29142317,13,0 0 0 0 0 0
18/01/2017,us,29646275,13,0 0 0 0 0 0
19/01/2017,us,29514408,14,0 1 0 0 0 0
20/01/2017,us,29594171,13,1 1 0 0 0 0
21/01/2017,us,28509326,13,0 0 0 0 0 0
22/01/2017,us,26053371,12,1 1 0 0 0 0
23/01/2017,us,27001960,12,0 1 0 0 0 0
24/01/2017,us,28409203,9,0 0 0 0 0 0
25/01/2017,us,28922467,10,0 0 0 0 0 0
26/01/2017,us,29410173,11,0 0 0 0 0 0
27/01/2017,us,31975736,12,0 0 0 0 0 0
28/01/2017,us,29975852,12,0 0 0 0 0 0
29/01/2017,us,26848789,15,0 0 0 0 0 0
30/01/2017,us,28257718,18,0 0 0 0 0 0
31/01/2017,us,29805080,16,0 0 0 0 0 0
01/02/2017,us,29961305,13,1 0 0 0 0 0
02/02/2017,us,29911952,13,0 0 0 0 0 0
03/02/2017,us,33159998,14,0 1 0 0 0 0
04/02/2017,us,32102995,14,0 0 0 0 0 0
05/02/2017,us,29234493,14,0 0 0 0 0 0
06/02/2017,us,27261959,13,0 1 0 0 0 0
07/02/2017,us,30091222,15,0 1 0 0 0 0
08/02/2017,us,30330610,16,1 1 0 0 0 0
09/02/2017,us,29597494,15,1 0 0 0 0 0
10/02/2017,us,30982102,15,1 1 0 0 0 0
11/02/2017,us,30009245,15,1 1 0 0 0 0
12/02/2017,us,27232447,14,0 0 0 0 0 0
13/02/2017,us,29120427,17,0 0 0 0 0 0
14/02/2017,us,29613794,15,0 0 0 0 0 0
15/02/2017,us,30043797,14,1 0 0 0 0 0
16/02/2017,us,30731749,14,1 0 0 0 0 0
17/02/2017,us,33816901,14,0 1 0 0 0 0
18/02/2017,us,31383833,12,0 1 0 0 0 0
19/02/2017,us,28310984,13,0 1 0 0 0 0
20/02/2017,us,29814095,13,0 1 0 0 0 0
21/02/2017,us,30646484,15,0 1 0 0 0 0
22/02/2017,us,31934151,14,1 0 0 0 0 0
23/02/2017,us,33378182,13,0 0 0 0 0 0
24/02/2017,us,35471224,12,0 0 0 0 0 0
25/02/2017,us,33162397,11,0 0 0 0 0 0
26/02/2017,us,29806785,11,0 1 0 0 0 0
27/02/2017,us,31482333,12,0 0 0 0 0 0
28/02/2017,us,33598766,13,0 0 0 0 0 0
01/03/2017,us,33766827,13,0 0 0 0 0 0
02/03/2017,us,34346540,16,0 0 0 0 0 0
03/03/2017,us,39789254,18,0 0 0 0 0 0
04/03/2017,us,37550888,15,0 0 0 0 0 0
05/03/2017,us,33838936,14,0 1 0 0 0 0
06/03/2017,us,38680497,12,0 0 0 0 0 0
07/03/2017,us,38463234,14,0 0 0 0 0 0
08/03/2017,us,38099188,17,0 0 0 0 0 0
09/03/2017,us,37679657,17,0 0 0 0 0 0
10/03/2017,us,38153164,18,0 0 0 0 0 0
11/03/2017,us,36036383,17,1 0 0 0 0 0
12/03/2017,us,32741894,15,1 0 0 0 0 0
13/03/2017,us,35275442,14,1 0 0 0 0 0
14/03/2017,us,33663216,14,1 0 0 0 0 0
15/03/2017,us,34253453,15,1 0 0 0 0 0
16/03/2017,us,34245627,16,0 0 0 0 0 0
17/03/2017,us,34921477,15,1 0 0 0 0 0
18/03/2017,us,32805124,15,1 0 0 0 0 0
19/03/2017,us,56534436,15,0 0 0 0 0 0
20/03/2017,us,57890375,15,0 0 0 0 0 0
21/03/2017,us,54313714,16,0 1 0 0 0 0
22/03/2017,us,49917630,15,0 1 0 0 0 0
23/03/2017,us,46853883,15,0 0 0 0 0 0
24/03/2017,us,45496580,15,0 0 0 0 0 0
25/03/2017,us,40610687,15,0 0 0 0 0 0
26/03/2017,us,35482075,15,0 0 0 0 0 0
27/03/2017,us,38588846,15,0 0 0 0 0 0
28/03/2017,us,38924373,18,0 0 0 0 0 0
29/03/2017,us,38325614,18,0 0 0 0 0 0
30/03/2017,us,37622053,17,0 0 0 0 0 0
31/03/2017,us,39926896,17,0 0 0 0 0 0
01/04/2017,us,37598870,16,0 0 0 0 0 0
02/04/2017,us,34354702,16,1 0 0 0 0 0
03/04/2017,us,36787699,15,0 0 0 0 0 0
04/04/2017,us,37164040,16,0 0 0 0 0 0
05/04/2017,us,36690139,17,0 0 0 0 0 0
06/04/2017,us,36106425,16,1 0 0 0 0 0
07/04/2017,us,40044508,16,0 0 0 0 0 0
08/04/2017,us,37317781,15,0 1 0 0 0 0
09/04/2017,us,34014882,15,0 0 0 0 0 0
10/04/2017,us,36287319,16,0 0 0 0 0 0
11/04/2017,us,36473447,16,0 0 0 0 0 0
12/04/2017,us,36591321,16,0 0 0 0 0 0
13/04/2017,us,37056455,16,0 0 0 0 0 0
14/04/2017,us,62979465,15,0 0 0 0 0 0
15/04/2017,us,52376716,16,0 0 0 0 0 0
16/04/2017,us,43144251,16,0 0 0 0 0 0
17/04/2017,us,48767197,16,0 0 0 0 0 0
18/04/2017,us,49220067,16,1 0 0 0 0 0
19/04/2017,us,47344108,17,0 1 0 0 0 0
20/04/2017,us,46210405,17,0 0 0 0 0 0
21/04/2017,us,47016225,19,0 0 0 0 0 0
22/04/2017,us,42140935,21,0 0 0 0 0 0
23/04/2017,us,37649975,19,0 0 0 0 0 0
24/04/2017,us,41469656,17,0 0 0 0 0 0
25/04/2017,us,42167476,18,0 0 0 0 0 0
26/04/2017,us,41987687,19,0 0 0 0 0 0
27/04/2017,us,41705861,17,0 0 0 0 0 0
28/04/2017,us,43538744,22,0 0 0 0 0 0
29/04/2017,us,41067292,22,0 0 0 0 0 0
30/04/2017,us,36953094,19,0 0 0 0 0 0
01/05/2017,us,40455309,18,0 0 0 0 0 0
02/05/2017,us,42148124,19,0 0 0 0 0 0
03/05/2017,us,41996500,19,1 0 0 0 0 0
04/05/2017,us,41663209,18,0 0 0 0 0 0
05/05/2017,us,45028526,16,0 0 0 0 0 0
06/05/2017,us,40515261,16,0 1 0 0 0 0
07/05/2017,us,36118024,13,0 1 0 0 0 0
08/05/2017,us,39922737,14,0 1 0 0 1 0
09/05/2017,us,41469667,16,0 0 0 0 0 0
10/05/2017,us,41241361,17,0 0 0 0 0 0
11/05/2017,us,41062208,17,0 0 0 0 0 0
12/05/2017,us,43952390,16,0 0 0 0 0 0
13/05/2017,us,40875757,17,0 0 0 0 0 0
14/05/2017,us,36383095,17,0 0 0 0 0 0
15/05/2017,us,40021962,15,0 0 0 0 0 0
16/05/2017,us,41057119,15,0 0 0 0 0 0
17/05/2017,us,40577644,16,0 0 0 0 0 0
18/05/2017,us,42184023,16,0 0 0 0 0 0
19/05/2017,us,42320911,19,0 0 0 0 0 0
20/05/2017,us,39254394,22,0 0 0 0 0 0
21/05/2017,us,35675732,20,0 0 0 0 0 0
22/05/2017,us,38921640,17,0 0 0 0 0 0
23/05/2017,us,39682926,17,1 0 0 0 0 0
24/05/2017,us,39888346,16,0 0 0 0 0 0
25/05/2017,us,40482739,16,0 0 0 0 0 0
26/05/2017,us,41867510,17,0 0 0 0 0 0
27/05/2017,us,38905183,17,0 0 0 0 0 0
28/05/2017,us,34823433,17,0 0 0 0 0 0
29/05/2017,us,34519479,17,0 0 0 0 0 0
01/06/2017,us,37980548,18,0 0 0 0 0 0
03/06/2017,us,36182535,18,0 0 0 0 0 0
