Date,Country,Streams,TEMP,Indicators
01/01/2017,uy,315699,26,0 1 0 0 1 0
02/01/2017,uy,295590,23,0 0 0 0 0 0
03/01/2017,uy,253206,22,0 1 0 0 1 0
04/01/2017,uy,258351,22,0 1 0 0 1 0
05/01/2017,uy,283913,22,1 0 0 0 0 0
06/01/2017,uy,282490,20,0 0 0 0 0 0
07/01/2017,uy,276326,25,0 0 0 0 0 0
08/01/2017,uy,248131,25,0 0 0 0 0 0
09/01/2017,uy,270944,25,0 1 0 0 1 0
10/01/2017,uy,266862,22,0 1 0 0 1 0
11/01/2017,uy,284231,21,0 0 0 0 0 0
12/01/2017,uy,287536,25,0 0 0 0 0 0
13/01/2017,uy,282896,24,0 1 0 0 1 0
14/01/2017,uy,291269,21,0 0 0 0 0 0
15/01/2017,uy,257896,21,0 0 0 0 0 0
16/01/2017,uy,270890,23,0 1 0 0 0 0
17/01/2017,uy,289256,23,1 1 0 0 0 0
18/01/2017,uy,303894,23,0 0 0 0 0 0
19/01/2017,uy,305721,24,0 0 0 0 0 0
20/01/2017,uy,314777,25,0 1 0 0 0 0
21/01/2017,uy,311550,26,0 0 0 0 0 0
22/01/2017,uy,282371,24,0 0 0 0 0 0
23/01/2017,uy,308560,23,0 0 0 0 0 0
24/01/2017,uy,306539,25,0 0 0 0 0 0
25/01/2017,uy,296552,20,0 1 0 0 0 0
26/01/2017,uy,301453,19,0 1 0 0 0 0
27/01/2017,uy,343208,21,0 0 0 0 0 0
28/01/2017,uy,343121,21,0 0 0 0 0 0
29/01/2017,uy,307498,24,0 0 0 0 0 0
30/01/2017,uy,330277,27,0 0 0 0 0 0
31/01/2017,uy,311000,26,1 1 0 0 1 0
01/02/2017,uy,328264,24,0 1 0 0 1 0
02/02/2017,uy,333746,23,0 1 0 0 0 0
03/02/2017,uy,358663,24,0 0 0 0 0 0
04/02/2017,uy,342692,23,0 0 0 0 0 0
05/02/2017,uy,266448,22,0 1 0 0 0 0
06/02/2017,uy,309363,19,0 1 0 0 0 0
07/02/2017,uy,332567,20,0 0 0 0 0 0
08/02/2017,uy,327066,19,0 0 0 0 0 0
09/02/2017,uy,329087,22,0 0 0 0 0 0
10/02/2017,uy,338034,23,0 1 0 0 0 0
11/02/2017,uy,312961,23,0 1 0 0 0 0
12/02/2017,uy,269144,23,0 1 0 0 0 0
13/02/2017,uy,284807,22,0 1 0 0 0 0
14/02/2017,uy,307375,23,1 1 0 0 0 0
15/02/2017,uy,313568,24,0 1 0 0 0 0
16/02/2017,uy,324443,25,0 1 0 0 0 0
17/02/2017,uy,331840,25,0 1 0 0 1 0
18/02/2017,uy,310817,25,0 0 0 0 1 0
19/02/2017,uy,286048,24,0 0 0 0 0 0
20/02/2017,uy,303712,26,0 0 0 0 0 0
21/02/2017,uy,301146,27,0 0 0 0 0 0
22/02/2017,uy,308659,25,0 0 0 0 0 0
23/02/2017,uy,307475,26,0 0 0 0 0 0
24/02/2017,uy,326981,26,0 0 0 0 0 0
25/02/2017,uy,327602,26,0 0 0 0 0 0
26/02/2017,uy,276230,27,0 0 0 0 0 0
27/02/2017,uy,276522,27,0 0 0 0 0 0
28/02/2017,uy,288709,26,0 0 0 0 1 0
01/03/2017,uy,310869,26,0 0 0 0 0 0
02/03/2017,uy,311893,28,0 0 0 0 1 0
03/03/2017,uy,310300,24,0 1 0 0 1 0
04/03/2017,uy,297905,23,0 0 0 0 0 0
05/03/2017,uy,284010,21,0 0 0 0 0 0
06/03/2017,uy,302074,21,0 0 0 0 0 0
07/03/2017,uy,300798,22,0 1 0 0 0 0
08/03/2017,uy,285350,23,0 0 0 0 0 0
09/03/2017,uy,276726,23,0 1 0 0 1 0
10/03/2017,uy,312496,21,0 0 0 0 0 0
11/03/2017,uy,308037,19,0 0 0 0 0 0
12/03/2017,uy,258058,19,0 1 0 0 0 0
13/03/2017,uy,277774,19,0 0 0 0 0 0
14/03/2017,uy,284701,19,0 0 0 0 0 0
15/03/2017,uy,280521,20,0 1 0 0 0 0
16/03/2017,uy,265463,18,0 1 0 0 0 0
17/03/2017,uy,298519,18,0 0 0 0 0 0
18/03/2017,uy,295228,16,0 0 0 0 0 0
19/03/2017,uy,257855,18,0 0 0 0 0 0
20/03/2017,uy,274242,19,0 0 0 0 0 0
21/03/2017,uy,281411,20,0 0 0 0 0 0
22/03/2017,uy,283488,21,0 0 0 0 0 0
23/03/2017,uy,271309,22,0 0 0 0 1 0
24/03/2017,uy,296660,21,1 0 0 0 0 0
25/03/2017,uy,305097,22,0 0 0 0 0 0
26/03/2017,uy,264571,22,0 0 0 0 0 0
27/03/2017,uy,278537,22,0 0 0 0 0 0
28/03/2017,uy,283911,21,0 0 0 0 0 0
29/03/2017,uy,275740,21,0 0 0 0 0 0
30/03/2017,uy,285406,22,0 0 0 0 0 0
31/03/2017,uy,306265,21,0 0 0 0 0 0
01/04/2017,uy,300300,22,0 0 0 0 0 0
02/04/2017,uy,266199,21,0 0 0 0 0 0
03/04/2017,uy,276238,21,0 0 0 0 0 0
04/04/2017,uy,291392,21,0 1 0 0 0 0
05/04/2017,uy,282178,21,1 0 0 0 0 0
06/04/2017,uy,282663,19,0 0 0 0 0 0
07/04/2017,uy,317512,20,0 0 0 0 0 0
08/04/2017,uy,300855,23,0 0 0 0 0 0
09/04/2017,uy,245166,23,0 1 0 0 0 0
10/04/2017,uy,266349,22,0 1 0 0 0 0
11/04/2017,uy,263671,17,0 1 0 0 0 0
12/04/2017,uy,276217,17,0 0 0 0 0 0
13/04/2017,uy,266168,15,0 0 0 0 0 0
14/04/2017,uy,253443,16,0 0 0 0 0 0
15/04/2017,uy,250621,16,0 0 0 0 0 0
16/04/2017,uy,242649,19,0 1 0 0 0 0
17/04/2017,uy,274249,18,0 0 0 0 0 0
18/04/2017,uy,277501,17,0 1 0 0 0 0
19/04/2017,uy,263420,18,0 1 0 0 0 0
20/04/2017,uy,268809,19,0 1 0 0 0 0
21/04/2017,uy,302491,17,1 0 0 0 0 0
22/04/2017,uy,287366,16,0 0 0 0 0 0
23/04/2017,uy,254325,14,0 0 0 0 0 0
24/04/2017,uy,275000,18,0 0 0 0 0 0
25/04/2017,uy,277108,18,1 1 0 0 0 0
26/04/2017,uy,259730,14,0 1 0 0 0 0
27/04/2017,uy,267989,16,0 0 0 0 0 0
28/04/2017,uy,299632,17,0 0 0 0 0 0
29/04/2017,uy,313587,17,0 0 0 0 0 0
30/04/2017,uy,277251,18,0 0 0 0 0 0
01/05/2017,uy,285805,17,0 0 0 0 0 0
02/05/2017,uy,292449,18,0 0 0 0 0 0
03/05/2017,uy,302351,18,0 0 0 0 0 0
04/05/2017,uy,314420,19,1 0 0 0 0 0
05/05/2017,uy,334801,17,1 0 0 0 0 0
06/05/2017,uy,323685,18,1 0 0 0 0 0
07/05/2017,uy,292379,20,0 0 0 0 0 0
08/05/2017,uy,281022,18,0 1 0 0 0 0
09/05/2017,uy,310862,16,0 0 0 0 0 0
10/05/2017,uy,301738,14,0 0 0 0 0 0
11/05/2017,uy,303161,12,0 0 0 0 0 0
12/05/2017,uy,319532,16,0 1 0 0 0 0
13/05/2017,uy,310364,17,1 1 0 0 0 0
14/05/2017,uy,273371,16,0 1 0 0 0 0
15/05/2017,uy,301263,14,1 0 0 0 0 0
16/05/2017,uy,311422,13,1 0 0 0 0 0
17/05/2017,uy,302755,13,1 0 0 0 0 0
18/05/2017,uy,301163,17,0 0 0 0 0 0
19/05/2017,uy,306533,18,0 1 0 0 1 0
20/05/2017,uy,310269,12,0 1 0 0 0 0
21/05/2017,uy,258688,12,0 0 0 0 0 0
22/05/2017,uy,290439,13,0 0 0 0 0 0
23/05/2017,uy,281169,16,0 0 0 0 0 0
24/05/2017,uy,272521,16,1 1 0 0 0 0
25/05/2017,uy,279373,16,1 1 0 0 1 0
26/05/2017,uy,319354,15,0 1 0 0 0 0
27/05/2017,uy,293773,13,0 0 0 0 0 0
28/05/2017,uy,245089,13,0 1 0 0 0 0
29/05/2017,uy,282010,14,0 1 0 0 0 0
01/06/2017,uy,307495,12,1 0 0 0 0 0
03/06/2017,uy,298120,12,0 0 0 0 0 0
04/06/2017,uy,259771,12,1 0 0 0 0 0
05/06/2017,uy,269884,9,1 0 0 0 0 0
06/06/2017,uy,286632,9,0 0 0 0 0 0
07/06/2017,uy,287093,9,0 0 0 0 0 0
08/06/2017,uy,277322,12,0 0 0 0 0 0
09/06/2017,uy,311094,11,0 1 0 0 0 0
10/06/2017,uy,304017,12,0 0 0 0 0 0
11/06/2017,uy,262413,11,0 0 0 0 0 0
12/06/2017,uy,272971,10,0 0 0 0 0 0
13/06/2017,uy,284217,10,0 0 0 0 0 0
14/06/2017,uy,290404,13,1 0 0 0 0 0
15/06/2017,uy,296130,15,0 0 0 0 0 0
16/06/2017,uy,323449,20,0 0 0 0 0 0
17/06/2017,uy,309484,20,0 1 0 0 0 0
18/06/2017,uy,243021,10,0 1 0 0 0 0
19/06/2017,uy,251413,8,0 1 0 0 0 0
20/06/2017,uy,256457,6,0 0 0 0 0 0
21/06/2017,uy,271294,9,0 0 0 0 0 0
22/06/2017,uy,288013,16,0 0 0 0 0 0
23/06/2017,uy,310077,20,0 0 0 0 0 0
24/06/2017,uy,304209,20,0 1 0 0 0 0
25/06/2017,uy,269691,22,0 0 0 0 0 0
26/06/2017,uy,278983,20,0 0 0 0 0 0
27/06/2017,uy,268823,18,0 1 0 0 0 0
28/06/2017,uy,267220,13,0 1 0 0 0 0
29/06/2017,uy,269128,11,1 0 0 0 0 0
30/06/2017,uy,286287,11,1 0 0 0 0 0
01/07/2017,uy,296959,10,1 0 0 0 0 0
02/07/2017,uy,256028,10,0 0 0 0 0 0
03/07/2017,uy,276082,13,0 0 0 0 0 0
04/07/2017,uy,281520,14,0 0 0 0 0 0
05/07/2017,uy,283550,15,0 0 0 0 0 0
06/07/2017,uy,270216,13,0 1 0 0 1 0
07/07/2017,uy,285166,14,1 1 0 0 0 0
08/07/2017,uy,282835,15,0 1 0 0 0 0
09/07/2017,uy,243496,12,0 1 0 0 1 0
10/07/2017,uy,259682,12,0 1 0 0 1 0
11/07/2017,uy,276642,12,0 0 0 0 0 0
12/07/2017,uy,273484,14,0 1 0 0 0 0
13/07/2017,uy,306986,19,0 0 0 0 0 0
14/07/2017,uy,319075,15,0 0 0 0 0 0
15/07/2017,uy,305901,16,0 1 0 0 1 0
