Position,TrackName,Artist,Date,Country,Indicators
1,Chantaje                                                                    ,Shakira          ,01-01-17,ar,0 1 0 0 0 0
2,Vente Pa' Ca                                                                ,Ricky Martin     ,01-01-17,ar,0 1 0 0 0 0
3,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,01-01-17,ar,0 1 0 0 0 0
4,Safari                                                                      ,J Balvin         ,01-01-17,ar,0 1 0 0 0 0
5,Shaky Shaky                                                                 ,Daddy Yankee     ,01-01-17,ar,0 1 0 0 0 0
6,Traicionera                                                                 ,Sebastian Yatra  ,01-01-17,ar,0 1 0 0 0 0
7,Cuando Se Pone a Bailar                                                     ,Rombai           ,01-01-17,ar,0 1 0 0 0 0
8,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01-01-17,ar,0 1 0 0 0 0
9,La Bicicleta                                                                ,Carlos Vives     ,01-01-17,ar,0 1 0 0 0 0
10,Dile Que Tu Me Quieres                                                      ,Ozuna            ,01-01-17,ar,0 1 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,02-01-17,ar,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,02-01-17,ar,0 0 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,02-01-17,ar,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,02-01-17,ar,0 0 0 0 0 0
5,Traicionera                                                                 ,Sebastian Yatra  ,02-01-17,ar,0 0 0 0 0 0
6,Cuando Se Pone a Bailar                                                     ,Rombai           ,02-01-17,ar,0 0 0 0 0 0
7,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,02-01-17,ar,0 0 0 0 0 0
8,Shaky Shaky                                                                 ,Daddy Yankee     ,02-01-17,ar,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,02-01-17,ar,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,02-01-17,ar,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,03-01-17,ar,0 1 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,03-01-17,ar,0 1 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,03-01-17,ar,0 1 0 0 0 0
4,Safari                                                                      ,J Balvin         ,03-01-17,ar,0 1 0 0 0 0
5,Cuando Se Pone a Bailar                                                     ,Rombai           ,03-01-17,ar,0 1 0 0 0 0
6,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,03-01-17,ar,0 1 0 0 0 0
7,Traicionera                                                                 ,Sebastian Yatra  ,03-01-17,ar,0 1 0 0 0 0
8,Shaky Shaky                                                                 ,Daddy Yankee     ,03-01-17,ar,0 1 0 0 0 0
