Position,TrackName,Artist,Date,Country,Indicators
1,Alone                                                                       ,Alan Walker      ,01-01-17,at,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01-01-17,at,0 0 0 0 0 0
3,Chöre                                                                      ,Mark Forster     ,01-01-17,at,0 0 0 0 0 0
4,Bad Ideas                                                                   ,Alle Farben      ,01-01-17,at,0 0 0 0 0 0
5,Closer                                                                      ,The Chainsmokers ,01-01-17,at,0 0 0 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01-01-17,at,0 0 0 0 0 0
7,Starboy                                                                     ,The Weeknd       ,01-01-17,at,0 0 0 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01-01-17,at,0 0 0 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,01-01-17,at,0 0 0 0 0 0
10,Shed a Light                                                                ,Robin Schulz     ,01-01-17,at,0 0 0 0 0 0
1,Alone                                                                       ,Alan Walker      ,02-01-17,at,0 1 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02-01-17,at,0 1 0 0 0 0
3,Chöre                                                                      ,Mark Forster     ,02-01-17,at,0 1 0 0 0 0
4,Bad Ideas                                                                   ,Alle Farben      ,02-01-17,at,0 1 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02-01-17,at,0 1 0 0 0 0
6,Closer                                                                      ,The Chainsmokers ,02-01-17,at,0 1 0 0 0 0
7,Say You Won't Let Go                                                        ,James Arthur     ,02-01-17,at,0 1 0 0 0 0
8,Shed a Light                                                                ,Robin Schulz     ,02-01-17,at,0 1 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,02-01-17,at,0 1 0 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02-01-17,at,0 1 0 0 0 0
1,Alone                                                                       ,Alan Walker      ,03-01-17,at,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03-01-17,at,0 0 0 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03-01-17,at,0 0 0 0 0 0
4,Bad Ideas                                                                   ,Alle Farben      ,03-01-17,at,0 0 0 0 0 0
5,Chöre                                                                      ,Mark Forster     ,03-01-17,at,0 0 0 0 0 0
6,Closer                                                                      ,The Chainsmokers ,03-01-17,at,0 0 0 0 0 0
7,Say You Won't Let Go                                                        ,James Arthur     ,03-01-17,at,0 0 0 0 0 0
8,Shed a Light                                                                ,Robin Schulz     ,03-01-17,at,0 0 0 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03-01-17,at,0 0 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,03-01-17,at,0 0 0 0 0 0
1,Alone                                                                       ,Alan Walker      ,04-01-17,at,0 1 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04-01-17,at,0 1 0 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04-01-17,at,0 1 0 0 0 0
4,Bad Ideas                                                                   ,Alle Farben      ,04-01-17,at,0 1 0 0 0 0
5,Chöre                                                                      ,Mark Forster     ,04-01-17,at,0 1 0 0 0 0
6,Shed a Light                                                                ,Robin Schulz     ,04-01-17,at,0 1 0 0 0 0
7,Say You Won't Let Go                                                        ,James Arthur     ,04-01-17,at,0 1 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,04-01-17,at,0 1 0 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04-01-17,at,0 1 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,04-01-17,at,0 1 0 0 0 0
1,Alone                                                                       ,Alan Walker      ,05-01-17,at,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05-01-17,at,0 0 0 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05-01-17,at,0 0 0 0 0 0
4,Bad Ideas                                                                   ,Alle Farben      ,05-01-17,at,0 0 0 0 0 0
5,Shed a Light                                                                ,Robin Schulz     ,05-01-17,at,0 0 0 0 0 0
6,Chöre                                                                      ,Mark Forster     ,05-01-17,at,0 0 0 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,05-01-17,at,0 0 0 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,05-01-17,at,0 0 0 0 0 0
9,Closer                                                                      ,The Chainsmokers ,05-01-17,at,0 0 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,05-01-17,at,0 0 0 0 0 0
1,Castle on the Hill                                                          ,Ed Sheeran       ,06-01-17,at,0 0 0 0 0 0
2,Shape of You                                                                ,Ed Sheeran       ,06-01-17,at,0 0 0 0 0 0
3,Alone                                                                       ,Alan Walker      ,06-01-17,at,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06-01-17,at,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06-01-17,at,0 0 0 0 0 0
6,Bad Ideas                                                                   ,Alle Farben      ,06-01-17,at,0 0 0 0 0 0
7,Shed a Light                                                                ,Robin Schulz     ,06-01-17,at,0 0 0 0 0 0
8,Chöre                                                                      ,Mark Forster     ,06-01-17,at,0 0 0 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,06-01-17,at,0 0 0 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,06-01-17,at,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,07-01-17,at,0 0 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,07-01-17,at,0 0 1 0 0 0
3,Alone                                                                       ,Alan Walker      ,07-01-17,at,0 0 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07-01-17,at,0 0 1 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,07-01-17,at,0 0 1 0 0 0
6,Bad Ideas                                                                   ,Alle Farben      ,07-01-17,at,0 0 1 0 0 0
7,Shed a Light                                                                ,Robin Schulz     ,07-01-17,at,0 0 1 0 0 0
8,Chöre                                                                      ,Mark Forster     ,07-01-17,at,0 0 1 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,07-01-17,at,0 0 1 0 0 0
10,Closer                                                                      ,The Chainsmokers ,07-01-17,at,0 0 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08-01-17,at,0 1 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,08-01-17,at,0 1 1 0 0 0
3,Alone                                                                       ,Alan Walker      ,08-01-17,at,0 1 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08-01-17,at,0 1 1 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08-01-17,at,0 1 1 0 0 0
6,Bad Ideas                                                                   ,Alle Farben      ,08-01-17,at,0 1 1 0 0 0
7,Shed a Light                                                                ,Robin Schulz     ,08-01-17,at,0 1 1 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,08-01-17,at,0 1 1 0 0 0
9,Chöre                                                                      ,Mark Forster     ,08-01-17,at,0 1 1 0 0 0
10,Say You Won't Let Go                                                        ,James Arthur     ,08-01-17,at,0 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,09-01-17,at,0 1 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,09-01-17,at,0 1 1 0 0 0
3,Alone                                                                       ,Alan Walker      ,09-01-17,at,0 1 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09-01-17,at,0 1 1 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09-01-17,at,0 1 1 0 0 0
6,Shed a Light                                                                ,Robin Schulz     ,09-01-17,at,0 1 1 0 0 0
7,Bad Ideas                                                                   ,Alle Farben      ,09-01-17,at,0 1 1 0 0 0
8,Chöre                                                                      ,Mark Forster     ,09-01-17,at,0 1 1 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,09-01-17,at,0 1 1 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09-01-17,at,0 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,10-01-17,at,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,10-01-17,at,0 0 0 0 0 0
3,Alone                                                                       ,Alan Walker      ,10-01-17,at,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10-01-17,at,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10-01-17,at,0 0 0 0 0 0
6,Shed a Light                                                                ,Robin Schulz     ,10-01-17,at,0 0 0 0 0 0
7,Bad Ideas                                                                   ,Alle Farben      ,10-01-17,at,0 0 0 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,10-01-17,at,0 0 0 0 0 0
9,Chöre                                                                      ,Mark Forster     ,10-01-17,at,0 0 0 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10-01-17,at,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,11-01-17,at,0 0 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,11-01-17,at,0 0 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11-01-17,at,0 0 1 0 0 0
4,Alone                                                                       ,Alan Walker      ,11-01-17,at,0 0 1 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11-01-17,at,0 0 1 0 0 0
