Position,TrackName,Artist,Date,Country,Indicators
1,Starboy                                                                     ,The Weeknd       ,01-01-17,au,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01-01-17,au,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,01-01-17,au,0 0 0 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01-01-17,au,0 0 0 0 0 0
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01-01-17,au,0 0 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,01-01-17,au,0 0 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,01-01-17,au,0 0 0 0 0 0
8,Sexual                                                                      ,NEIKED           ,01-01-17,au,0 0 0 0 0 0
9,Let Me Love You                                                             ,DJ Snake         ,01-01-17,au,0 0 0 0 0 0
10,The Mack                                                                    ,Nevada           ,01-01-17,au,0 0 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,02-01-17,au,0 1 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02-01-17,au,0 1 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,02-01-17,au,0 1 0 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02-01-17,au,0 1 0 0 0 0
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02-01-17,au,0 1 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,02-01-17,au,0 1 0 0 0 0
7,Sexual                                                                      ,NEIKED           ,02-01-17,au,0 1 0 0 0 0
8,I Feel It Coming                                                            ,The Weeknd       ,02-01-17,au,0 1 0 0 0 0
9,The Mack                                                                    ,Nevada           ,02-01-17,au,0 1 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,02-01-17,au,0 1 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,03-01-17,au,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03-01-17,au,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,03-01-17,au,0 0 0 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03-01-17,au,0 0 0 0 0 0
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03-01-17,au,0 0 0 0 0 0
