Position,TrackName,Artist,Date,Country,Indicators
1,Hey Baby                                                                    ,Dimitri Vegas & L,01-01-17,be,1 1 1 0 0 0
2,Closer                                                                      ,The Chainsmokers ,01-01-17,be,1 1 1 0 0 0
3,Starboy                                                                     ,The Weeknd       ,01-01-17,be,1 1 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01-01-17,be,1 1 1 0 0 0
5,What Is Love 2016                                                           ,Lost Frequencies ,01-01-17,be,1 1 1 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,01-01-17,be,1 1 1 0 0 0
7,Until the End                                                               ,Henri PFR        ,01-01-17,be,1 1 1 0 0 0
8,One Dance                                                                   ,Drake            ,01-01-17,be,1 1 1 0 0 0
9,24K Magic                                                                   ,Bruno Mars       ,01-01-17,be,1 1 1 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01-01-17,be,1 1 1 0 0 0
1,Hey Baby                                                                    ,Dimitri Vegas & L,02-01-17,be,1 1 1 0 0 0
2,Starboy                                                                     ,The Weeknd       ,02-01-17,be,1 1 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02-01-17,be,1 1 1 0 0 0
4,Closer                                                                      ,The Chainsmokers ,02-01-17,be,1 1 1 0 0 0
5,What Is Love 2016                                                           ,Lost Frequencies ,02-01-17,be,1 1 1 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,02-01-17,be,1 1 1 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02-01-17,be,1 1 1 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,02-01-17,be,1 1 1 0 0 0
9,Until the End                                                               ,Henri PFR        ,02-01-17,be,1 1 1 0 0 0
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02-01-17,be,1 1 1 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03-01-17,be,0 0 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,03-01-17,be,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,03-01-17,be,0 0 0 0 0 0
4,Hey Baby                                                                    ,Dimitri Vegas & L,03-01-17,be,0 0 0 0 0 0
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03-01-17,be,0 0 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,03-01-17,be,0 0 0 0 0 0
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03-01-17,be,0 0 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,03-01-17,be,0 0 0 0 0 0
9,What Is Love 2016                                                           ,Lost Frequencies ,03-01-17,be,0 0 0 0 0 0
10,Don't Wanna Know                                                            ,Maroon 5         ,03-01-17,be,0 0 0 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04-01-17,be,0 1 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,04-01-17,be,0 1 0 0 0 0
3,Hey Baby                                                                    ,Dimitri Vegas & L,04-01-17,be,0 1 0 0 0 0
4,Closer                                                                      ,The Chainsmokers ,04-01-17,be,0 1 0 0 0 0
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04-01-17,be,0 1 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,04-01-17,be,0 1 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,04-01-17,be,0 1 0 0 0 0
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04-01-17,be,0 1 0 0 0 0
9,What Is Love 2016                                                           ,Lost Frequencies ,04-01-17,be,0 1 0 0 0 0
10,Until the End                                                               ,Henri PFR        ,04-01-17,be,0 1 0 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05-01-17,be,0 1 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,05-01-17,be,0 1 0 0 0 0
3,Hey Baby                                                                    ,Dimitri Vegas & L,05-01-17,be,0 1 0 0 0 0
4,Closer                                                                      ,The Chainsmokers ,05-01-17,be,0 1 0 0 0 0
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,05-01-17,be,0 1 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,05-01-17,be,0 1 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,05-01-17,be,0 1 0 0 0 0
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05-01-17,be,0 1 0 0 0 0
9,What Is Love 2016                                                           ,Lost Frequencies ,05-01-17,be,0 1 0 0 0 0
10,Until the End                                                               ,Henri PFR        ,05-01-17,be,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,06-01-17,be,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,06-01-17,be,0 0 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06-01-17,be,0 0 0 0 0 0
4,Starboy                                                                     ,The Weeknd       ,06-01-17,be,0 0 0 0 0 0
5,Hey Baby                                                                    ,Dimitri Vegas & L,06-01-17,be,0 0 0 0 0 0
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,06-01-17,be,0 0 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,06-01-17,be,0 0 0 0 0 0
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06-01-17,be,0 0 0 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,06-01-17,be,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,06-01-17,be,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,07-01-17,be,1 1 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,07-01-17,be,1 1 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07-01-17,be,1 1 1 0 0 0
4,Hey Baby                                                                    ,Dimitri Vegas & L,07-01-17,be,1 1 1 0 0 0
5,Starboy                                                                     ,The Weeknd       ,07-01-17,be,1 1 1 0 0 0
6,Closer                                                                      ,The Chainsmokers ,07-01-17,be,1 1 1 0 0 0
7,What Is Love 2016                                                           ,Lost Frequencies ,07-01-17,be,1 1 1 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,07-01-17,be,1 1 1 0 0 0
9,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,07-01-17,be,1 1 1 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,07-01-17,be,1 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08-01-17,be,1 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,08-01-17,be,1 0 0 0 0 0
3,Hey Baby                                                                    ,Dimitri Vegas & L,08-01-17,be,1 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08-01-17,be,1 0 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,08-01-17,be,1 0 0 0 0 0
6,What Is Love 2016                                                           ,Lost Frequencies ,08-01-17,be,1 0 0 0 0 0
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08-01-17,be,1 0 0 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,08-01-17,be,1 0 0 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,08-01-17,be,1 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,08-01-17,be,1 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,09-01-17,be,0 1 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,09-01-17,be,0 1 0 0 0 0
3,Hey Baby                                                                    ,Dimitri Vegas & L,09-01-17,be,0 1 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09-01-17,be,0 1 0 0 0 0
5,What Is Love 2016                                                           ,Lost Frequencies ,09-01-17,be,0 1 0 0 0 0
6,Starboy                                                                     ,The Weeknd       ,09-01-17,be,0 1 0 0 0 0
7,Ziet Em Duun                                                                ,Van Echelpoel    ,09-01-17,be,0 1 0 0 0 0
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09-01-17,be,0 1 0 0 0 0
9,Until the End                                                               ,Henri PFR        ,09-01-17,be,0 1 0 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09-01-17,be,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,10-01-17,be,0 1 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,10-01-17,be,0 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10-01-17,be,0 1 0 0 0 0
4,Hey Baby                                                                    ,Dimitri Vegas & L,10-01-17,be,0 1 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,10-01-17,be,0 1 0 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10-01-17,be,0 1 0 0 0 0
7,What Is Love 2016                                                           ,Lost Frequencies ,10-01-17,be,0 1 0 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,10-01-17,be,0 1 0 0 0 0
9,Until the End                                                               ,Henri PFR        ,10-01-17,be,0 1 0 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10-01-17,be,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,11-01-17,be,0 1 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,11-01-17,be,0 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11-01-17,be,0 1 0 0 0 0
4,Hey Baby                                                                    ,Dimitri Vegas & L,11-01-17,be,0 1 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,11-01-17,be,0 1 0 0 0 0
6,What Is Love 2016                                                           ,Lost Frequencies ,11-01-17,be,0 1 0 0 0 0
7,Until the End                                                               ,Henri PFR        ,11-01-17,be,0 1 0 0 0 0
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11-01-17,be,0 1 0 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,11-01-17,be,0 1 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,11-01-17,be,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,12-01-17,be,0 1 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,12-01-17,be,0 1 1 0 0 0
3,Hey Baby                                                                    ,Dimitri Vegas & L,12-01-17,be,0 1 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12-01-17,be,0 1 1 0 0 0
5,Starboy                                                                     ,The Weeknd       ,12-01-17,be,0 1 1 0 0 0
6,What Is Love 2016                                                           ,Lost Frequencies ,12-01-17,be,0 1 1 0 0 0
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12-01-17,be,0 1 1 0 0 0
8,Until the End                                                               ,Henri PFR        ,12-01-17,be,0 1 1 0 0 0
9,Ziet Em Duun                                                                ,Van Echelpoel    ,12-01-17,be,0 1 1 0 0 0
10,Say You Won't Let Go                                                        ,James Arthur     ,12-01-17,be,0 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,13-01-17,be,0 1 1 1 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,13-01-17,be,0 1 1 1 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13-01-17,be,0 1 1 1 0 0
4,Hey Baby                                                                    ,Dimitri Vegas & L,13-01-17,be,0 1 1 1 0 0
5,Starboy                                                                     ,The Weeknd       ,13-01-17,be,0 1 1 1 0 0
6,What Is Love 2016                                                           ,Lost Frequencies ,13-01-17,be,0 1 1 1 0 0
7,Ziet Em Duun                                                                ,Van Echelpoel    ,13-01-17,be,0 1 1 1 0 0
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13-01-17,be,0 1 1 1 0 0
9,Until the End                                                               ,Henri PFR        ,13-01-17,be,0 1 1 1 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,13-01-17,be,0 1 1 1 0 0
1,Shape of You                                                                ,Ed Sheeran       ,14-01-17,be,0 1 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,14-01-17,be,0 1 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,14-01-17,be,0 1 1 0 0 0
4,Hey Baby                                                                    ,Dimitri Vegas & L,14-01-17,be,0 1 1 0 0 0
5,Starboy                                                                     ,The Weeknd       ,14-01-17,be,0 1 1 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14-01-17,be,0 1 1 0 0 0
7,What Is Love 2016                                                           ,Lost Frequencies ,14-01-17,be,0 1 1 0 0 0
8,Ziet Em Duun                                                                ,Van Echelpoel    ,14-01-17,be,0 1 1 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,14-01-17,be,0 1 1 0 0 0
10,Closer                                                                      ,The Chainsmokers ,14-01-17,be,0 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,15-01-17,be,0 1 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,15-01-17,be,0 1 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15-01-17,be,0 1 1 0 0 0
4,Hey Baby                                                                    ,Dimitri Vegas & L,15-01-17,be,0 1 1 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15-01-17,be,0 1 1 0 0 0
6,Starboy                                                                     ,The Weeknd       ,15-01-17,be,0 1 1 0 0 0
7,Paris                                                                       ,The Chainsmokers ,15-01-17,be,0 1 1 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,15-01-17,be,0 1 1 0 0 0
9,What Is Love 2016                                                           ,Lost Frequencies ,15-01-17,be,0 1 1 0 0 0
10,Ziet Em Duun                                                                ,Van Echelpoel    ,15-01-17,be,0 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,16-01-17,be,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,16-01-17,be,0 0 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16-01-17,be,0 0 0 0 0 0
4,Paris                                                                       ,The Chainsmokers ,16-01-17,be,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16-01-17,be,0 0 0 0 0 0
6,Starboy                                                                     ,The Weeknd       ,16-01-17,be,0 0 0 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,16-01-17,be,0 0 0 0 0 0
8,Hey Baby                                                                    ,Dimitri Vegas & L,16-01-17,be,0 0 0 0 0 0
9,Ziet Em Duun                                                                ,Van Echelpoel    ,16-01-17,be,0 0 0 0 0 0
10,Say You Won't Let Go                                                        ,James Arthur     ,16-01-17,be,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,17-01-17,be,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,17-01-17,be,0 0 0 0 0 0
3,Paris                                                                       ,The Chainsmokers ,17-01-17,be,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,17-01-17,be,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17-01-17,be,0 0 0 0 0 0
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,17-01-17,be,0 0 0 0 0 0
7,Starboy                                                                     ,The Weeknd       ,17-01-17,be,0 0 0 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,17-01-17,be,0 0 0 0 0 0
9,Ziet Em Duun                                                                ,Van Echelpoel    ,17-01-17,be,0 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,17-01-17,be,0 0 0 0 0 0
