Position,TrackName,Artist,Date,Country,Indicators
1,Deu Onda                                                                    ,MC G15           ,01-01-17,br,0 0 0 0 0 0
2,Hear Me Now                                                                 ,Alok             ,01-01-17,br,0 0 0 0 0 0
3,10% - Ao Vivo                                                               ,Maiara & Maraisa ,01-01-17,br,0 0 0 0 0 0
4,Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,01-01-17,br,0 0 0 0 0 0
5,Meu Coração Deu PT - Ao Vivo                                              ,Wesley Safadão  ,01-01-17,br,0 0 0 0 0 0
6,Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,01-01-17,br,0 0 0 0 0 0
7,Sim ou não (Participação especial Maluma)                                ,Anitta           ,01-01-17,br,0 0 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,01-01-17,br,0 0 0 0 0 0
9,50 Reais                                                                    ,Naiara Azevedo   ,01-01-17,br,0 0 0 0 0 0
10,Infiel - Ao Vivo                                                            ,Marília Mendonç,01-01-17,br,0 0 0 0 0 0
1,Deu Onda                                                                    ,MC G15           ,02-01-17,br,0 0 0 0 0 0
2,Hear Me Now                                                                 ,Alok             ,02-01-17,br,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,02-01-17,br,0 0 0 0 0 0
4,Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,02-01-17,br,0 0 0 0 0 0
5,Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,02-01-17,br,0 0 0 0 0 0
6,10% - Ao Vivo                                                               ,Maiara & Maraisa ,02-01-17,br,0 0 0 0 0 0
7,Starboy                                                                     ,The Weeknd       ,02-01-17,br,0 0 0 0 0 0
8,Meu Coração Deu PT - Ao Vivo                                              ,Wesley Safadão  ,02-01-17,br,0 0 0 0 0 0
9,Te Assumi Pro Brasil - Ao Vivo                                              ,Matheus & Kauan  ,02-01-17,br,0 0 0 0 0 0
10,Sim ou não (Participação especial Maluma)                                ,Anitta           ,02-01-17,br,0 0 0 0 0 0
1,Deu Onda                                                                    ,MC G15           ,03-01-17,br,0 0 0 0 0 0
2,Hear Me Now                                                                 ,Alok             ,03-01-17,br,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,03-01-17,br,0 0 0 0 0 0
4,Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,03-01-17,br,0 0 0 0 0 0
5,Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,03-01-17,br,0 0 0 0 0 0
6,Starboy                                                                     ,The Weeknd       ,03-01-17,br,0 0 0 0 0 0
7,Te Assumi Pro Brasil - Ao Vivo                                              ,Matheus & Kauan  ,03-01-17,br,0 0 0 0 0 0
8,10% - Ao Vivo                                                               ,Maiara & Maraisa ,03-01-17,br,0 0 0 0 0 0
9,Meu Coração Deu PT - Ao Vivo                                              ,Wesley Safadão  ,03-01-17,br,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,03-01-17,br,0 0 0 0 0 0
1,Deu Onda                                                                    ,MC G15           ,04-01-17,br,0 0 0 0 0 0
2,Hear Me Now                                                                 ,Alok             ,04-01-17,br,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,04-01-17,br,0 0 0 0 0 0
4,Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,04-01-17,br,0 0 0 0 0 0
5,Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,04-01-17,br,0 0 0 0 0 0
6,Starboy                                                                     ,The Weeknd       ,04-01-17,br,0 0 0 0 0 0
