Position,Track Name,Artist,Date,Country
1,Starboy                                                                     ,The Weeknd       ,01/01/2017,ca
2,Closer                                                                      ,The Chainsmokers ,01/01/2017,ca
3,Fake Love                                                                   ,Drake            ,01/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,01/01/2017,ca
5,One Dance                                                                   ,Drake            ,01/01/2017,ca
6,Black Beatles                                                               ,Rae Sremmurd     ,01/01/2017,ca
7,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,ca
8,I Feel It Coming                                                            ,The Weeknd       ,01/01/2017,ca
9,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,ca
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,ca
1,Starboy                                                                     ,The Weeknd       ,02/01/2017,ca
2,Fake Love                                                                   ,Drake            ,02/01/2017,ca
3,Closer                                                                      ,The Chainsmokers ,02/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,02/01/2017,ca
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,ca
6,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,ca
7,Black Beatles                                                               ,Rae Sremmurd     ,02/01/2017,ca
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,ca
9,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,ca
10,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,ca
1,Starboy                                                                     ,The Weeknd       ,03/01/2017,ca
2,Fake Love                                                                   ,Drake            ,03/01/2017,ca
3,Closer                                                                      ,The Chainsmokers ,03/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,03/01/2017,ca
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,ca
6,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,ca
7,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,ca
8,I Feel It Coming                                                            ,The Weeknd       ,03/01/2017,ca
9,Black Beatles                                                               ,Rae Sremmurd     ,03/01/2017,ca
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,ca
1,Starboy                                                                     ,The Weeknd       ,04/01/2017,ca
2,Fake Love                                                                   ,Drake            ,04/01/2017,ca
3,Closer                                                                      ,The Chainsmokers ,04/01/2017,ca
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,ca
5,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,04/01/2017,ca
6,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,ca
7,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,ca
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,ca
9,Don't Wanna Know                                                            ,Maroon 5         ,04/01/2017,ca
10,I Feel It Coming                                                            ,The Weeknd       ,04/01/2017,ca
1,Starboy                                                                     ,The Weeknd       ,05/01/2017,ca
2,Fake Love                                                                   ,Drake            ,05/01/2017,ca
3,Closer                                                                      ,The Chainsmokers ,05/01/2017,ca
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,ca
5,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,05/01/2017,ca
6,Say You Won't Let Go                                                        ,James Arthur     ,05/01/2017,ca
7,Let Me Love You                                                             ,DJ Snake         ,05/01/2017,ca
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,ca
9,I Feel It Coming                                                            ,The Weeknd       ,05/01/2017,ca
10,Don't Wanna Know                                                            ,Maroon 5         ,05/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,ca
2,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,ca
3,Starboy                                                                     ,The Weeknd       ,06/01/2017,ca
4,Fake Love                                                                   ,Drake            ,06/01/2017,ca
5,Closer                                                                      ,The Chainsmokers ,06/01/2017,ca
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06/01/2017,ca
7,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,06/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,06/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/01/2017,ca
10,I Feel It Coming                                                            ,The Weeknd       ,06/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,ca
2,Castle on the Hill                                                          ,Ed Sheeran       ,07/01/2017,ca
3,Starboy                                                                     ,The Weeknd       ,07/01/2017,ca
4,Fake Love                                                                   ,Drake            ,07/01/2017,ca
5,Closer                                                                      ,The Chainsmokers ,07/01/2017,ca
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,07/01/2017,ca
7,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,07/01/2017,ca
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07/01/2017,ca
9,Say You Won't Let Go                                                        ,James Arthur     ,07/01/2017,ca
10,Don't Wanna Know                                                            ,Maroon 5         ,07/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,08/01/2017,ca
2,Castle on the Hill                                                          ,Ed Sheeran       ,08/01/2017,ca
3,Starboy                                                                     ,The Weeknd       ,08/01/2017,ca
4,Fake Love                                                                   ,Drake            ,08/01/2017,ca
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08/01/2017,ca
6,Closer                                                                      ,The Chainsmokers ,08/01/2017,ca
7,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,08/01/2017,ca
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08/01/2017,ca
9,Say You Won't Let Go                                                        ,James Arthur     ,08/01/2017,ca
10,Don't Wanna Know                                                            ,Maroon 5         ,08/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,09/01/2017,ca
2,Castle on the Hill                                                          ,Ed Sheeran       ,09/01/2017,ca
3,Starboy                                                                     ,The Weeknd       ,09/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,09/01/2017,ca
5,Fake Love                                                                   ,Drake            ,09/01/2017,ca
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09/01/2017,ca
7,Closer                                                                      ,The Chainsmokers ,09/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,09/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09/01/2017,ca
10,I Feel It Coming                                                            ,The Weeknd       ,09/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,ca
2,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,ca
3,Starboy                                                                     ,The Weeknd       ,10/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,10/01/2017,ca
5,Fake Love                                                                   ,Drake            ,10/01/2017,ca
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,ca
7,Closer                                                                      ,The Chainsmokers ,10/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,10/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10/01/2017,ca
10,I Feel It Coming                                                            ,The Weeknd       ,10/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,ca
2,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,ca
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,11/01/2017,ca
4,Starboy                                                                     ,The Weeknd       ,11/01/2017,ca
5,Fake Love                                                                   ,Drake            ,11/01/2017,ca
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,ca
7,Closer                                                                      ,The Chainsmokers ,11/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,11/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11/01/2017,ca
10,I Feel It Coming                                                            ,The Weeknd       ,11/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,ca
2,Castle on the Hill                                                          ,Ed Sheeran       ,12/01/2017,ca
3,Starboy                                                                     ,The Weeknd       ,12/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,12/01/2017,ca
5,Fake Love                                                                   ,Drake            ,12/01/2017,ca
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12/01/2017,ca
7,Closer                                                                      ,The Chainsmokers ,12/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,12/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12/01/2017,ca
10,I Feel It Coming                                                            ,The Weeknd       ,12/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,13/01/2017,ca
2,Starboy                                                                     ,The Weeknd       ,13/01/2017,ca
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,13/01/2017,ca
4,Castle on the Hill                                                          ,Ed Sheeran       ,13/01/2017,ca
5,Fake Love                                                                   ,Drake            ,13/01/2017,ca
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13/01/2017,ca
7,Paris                                                                       ,The Chainsmokers ,13/01/2017,ca
8,Closer                                                                      ,The Chainsmokers ,13/01/2017,ca
9,Say You Won't Let Go                                                        ,James Arthur     ,13/01/2017,ca
10,I Feel It Coming                                                            ,The Weeknd       ,13/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,14/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,14/01/2017,ca
3,Starboy                                                                     ,The Weeknd       ,14/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,14/01/2017,ca
5,Fake Love                                                                   ,Drake            ,14/01/2017,ca
6,Castle on the Hill                                                          ,Ed Sheeran       ,14/01/2017,ca
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14/01/2017,ca
8,Closer                                                                      ,The Chainsmokers ,14/01/2017,ca
9,I Feel It Coming                                                            ,The Weeknd       ,14/01/2017,ca
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,14/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,15/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,15/01/2017,ca
3,Starboy                                                                     ,The Weeknd       ,15/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,15/01/2017,ca
5,Fake Love                                                                   ,Drake            ,15/01/2017,ca
6,Castle on the Hill                                                          ,Ed Sheeran       ,15/01/2017,ca
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15/01/2017,ca
8,Closer                                                                      ,The Chainsmokers ,15/01/2017,ca
9,Say You Won't Let Go                                                        ,James Arthur     ,15/01/2017,ca
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,16/01/2017,ca
3,Castle on the Hill                                                          ,Ed Sheeran       ,16/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,16/01/2017,ca
5,Starboy                                                                     ,The Weeknd       ,16/01/2017,ca
