Position,Track Name,Artist,Date,Country
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,ch
2,Starboy                                                                     ,The Weeknd       ,01/01/2017,ch
3,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,ch
4,Closer                                                                      ,The Chainsmokers ,01/01/2017,ch
5,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,ch
6,One Dance                                                                   ,Drake            ,01/01/2017,ch
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01/01/2017,ch
8,Alone                                                                       ,Alan Walker      ,01/01/2017,ch
9,I Feel It Coming                                                            ,The Weeknd       ,01/01/2017,ch
10,Don't Wanna Know                                                            ,Maroon 5         ,01/01/2017,ch
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,ch
2,Starboy                                                                     ,The Weeknd       ,02/01/2017,ch
3,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,ch
4,Closer                                                                      ,The Chainsmokers ,02/01/2017,ch
5,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,ch
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02/01/2017,ch
7,Alone                                                                       ,Alan Walker      ,02/01/2017,ch
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,ch
9,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,ch
10,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,ch
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,ch
2,Starboy                                                                     ,The Weeknd       ,03/01/2017,ch
3,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,ch
4,Closer                                                                      ,The Chainsmokers ,03/01/2017,ch
5,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,ch
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,ch
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03/01/2017,ch
8,Alone                                                                       ,Alan Walker      ,03/01/2017,ch
9,I Feel It Coming                                                            ,The Weeknd       ,03/01/2017,ch
10,Don't Wanna Know                                                            ,Maroon 5         ,03/01/2017,ch
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,ch
2,Starboy                                                                     ,The Weeknd       ,04/01/2017,ch
3,Closer                                                                      ,The Chainsmokers ,04/01/2017,ch
4,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,ch
5,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,ch
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04/01/2017,ch
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,ch
8,I Feel It Coming                                                            ,The Weeknd       ,04/01/2017,ch
9,Alone                                                                       ,Alan Walker      ,04/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,04/01/2017,ch
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,ch
2,Starboy                                                                     ,The Weeknd       ,05/01/2017,ch
3,Let Me Love You                                                             ,DJ Snake         ,05/01/2017,ch
4,Closer                                                                      ,The Chainsmokers ,05/01/2017,ch
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,05/01/2017,ch
6,Say You Won't Let Go                                                        ,James Arthur     ,05/01/2017,ch
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,ch
8,Alone                                                                       ,Alan Walker      ,05/01/2017,ch
9,I Feel It Coming                                                            ,The Weeknd       ,05/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,05/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,ch
2,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,ch
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/01/2017,ch
4,Starboy                                                                     ,The Weeknd       ,06/01/2017,ch
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,06/01/2017,ch
6,Let Me Love You                                                             ,DJ Snake         ,06/01/2017,ch
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06/01/2017,ch
8,Alone                                                                       ,Alan Walker      ,06/01/2017,ch
9,Closer                                                                      ,The Chainsmokers ,06/01/2017,ch
10,Say You Won't Let Go                                                        ,James Arthur     ,06/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,ch
2,Castle on the Hill                                                          ,Ed Sheeran       ,07/01/2017,ch
