Position,TrackName,Artist,Date,Country,Indicators
1,Chantaje                                                                    ,Shakira          ,01-01-17,cl,0 0 0 0 0 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01-01-17,cl,0 0 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,01-01-17,cl,0 0 0 0 0 0
4,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,01-01-17,cl,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,01-01-17,cl,0 0 0 0 0 0
6,Shaky Shaky                                                                 ,Daddy Yankee     ,01-01-17,cl,0 0 0 0 0 0
7,Andas En Mi Cabeza                                                          ,Chino & Nacho    ,01-01-17,cl,0 0 0 0 0 0
8,Noche Loca                                                                  ,Marama           ,01-01-17,cl,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,01-01-17,cl,0 0 0 0 0 0
10,Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,01-01-17,cl,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,02-01-17,cl,0 0 0 0 0 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,02-01-17,cl,0 0 0 0 0 0
3,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,02-01-17,cl,0 0 0 0 0 0
4,Vente Pa' Ca                                                                ,Ricky Martin     ,02-01-17,cl,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,02-01-17,cl,0 0 0 0 0 0
6,Shaky Shaky                                                                 ,Daddy Yankee     ,02-01-17,cl,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,02-01-17,cl,0 0 0 0 0 0
8,One Dance                                                                   ,Drake            ,02-01-17,cl,0 0 0 0 0 0
9,Andas En Mi Cabeza                                                          ,Chino & Nacho    ,02-01-17,cl,0 0 0 0 0 0
10,Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,02-01-17,cl,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,03-01-17,cl,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,03-01-17,cl,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,03-01-17,cl,0 0 0 0 0 0
4,Vente Pa' Ca                                                                ,Ricky Martin     ,03-01-17,cl,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,03-01-17,cl,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,03-01-17,cl,0 0 0 0 0 0
7,Shaky Shaky                                                                 ,Daddy Yankee     ,03-01-17,cl,0 0 0 0 0 0
8,One Dance                                                                   ,Drake            ,03-01-17,cl,0 0 0 0 0 0
9,Don't Wanna Know                                                            ,Maroon 5         ,03-01-17,cl,0 0 0 0 0 0
10,Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,03-01-17,cl,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,04-01-17,cl,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,04-01-17,cl,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,04-01-17,cl,0 0 0 0 0 0
4,Vente Pa' Ca                                                                ,Ricky Martin     ,04-01-17,cl,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,04-01-17,cl,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,04-01-17,cl,0 0 0 0 0 0
7,Vacaciones                                                                  ,Wisin            ,04-01-17,cl,0 0 0 0 0 0
8,Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,04-01-17,cl,0 0 0 0 0 0
9,Ay Mi Dios                                                                  ,IAmChino         ,04-01-17,cl,0 0 0 0 0 0
10,24K Magic                                                                   ,Bruno Mars       ,04-01-17,cl,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,05-01-17,cl,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,05-01-17,cl,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,05-01-17,cl,0 0 0 0 0 0
4,Vente Pa' Ca                                                                ,Ricky Martin     ,05-01-17,cl,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,05-01-17,cl,0 0 0 0 0 0
6,Vacaciones                                                                  ,Wisin            ,05-01-17,cl,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,05-01-17,cl,0 0 0 0 0 0
8,Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,05-01-17,cl,0 0 0 0 0 0
9,Ay Mi Dios                                                                  ,IAmChino         ,05-01-17,cl,0 0 0 0 0 0
10,Shaky Shaky                                                                 ,Daddy Yankee     ,05-01-17,cl,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,06-01-17,cl,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,06-01-17,cl,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,06-01-17,cl,0 0 0 0 0 0
4,Vente Pa' Ca                                                                ,Ricky Martin     ,06-01-17,cl,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,06-01-17,cl,0 0 0 0 0 0
6,Vacaciones                                                                  ,Wisin            ,06-01-17,cl,0 0 0 0 0 0
7,Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,06-01-17,cl,0 0 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,06-01-17,cl,0 0 0 0 0 0
9,Ay Mi Dios                                                                  ,IAmChino         ,06-01-17,cl,0 0 0 0 0 0
10,Dile Que Tu Me Quieres                                                      ,Ozuna            ,06-01-17,cl,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,07-01-17,cl,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,07-01-17,cl,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,07-01-17,cl,0 0 0 0 0 0
4,Vente Pa' Ca                                                                ,Ricky Martin     ,07-01-17,cl,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,07-01-17,cl,0 0 0 0 0 0
6,Vacaciones                                                                  ,Wisin            ,07-01-17,cl,0 0 0 0 0 0
7,Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,07-01-17,cl,0 0 0 0 0 0
8,Ay Mi Dios                                                                  ,IAmChino         ,07-01-17,cl,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,07-01-17,cl,0 0 0 0 0 0
10,Shaky Shaky                                                                 ,Daddy Yankee     ,07-01-17,cl,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,08-01-17,cl,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,08-01-17,cl,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,08-01-17,cl,0 0 0 0 0 0
4,Vente Pa' Ca                                                                ,Ricky Martin     ,08-01-17,cl,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,08-01-17,cl,0 0 0 0 0 0
6,Vacaciones                                                                  ,Wisin            ,08-01-17,cl,0 0 0 0 0 0
7,Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,08-01-17,cl,0 0 0 0 0 0
8,Dile Que Tu Me Quieres                                                      ,Ozuna            ,08-01-17,cl,0 0 0 0 0 0
9,Ay Mi Dios                                                                  ,IAmChino         ,08-01-17,cl,0 0 0 0 0 0
10,Shaky Shaky                                                                 ,Daddy Yankee     ,08-01-17,cl,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,09-01-17,cl,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,09-01-17,cl,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,09-01-17,cl,0 0 0 0 0 0
