Position,Track Name,Artist,Date,Country
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,de
2,Alone                                                                       ,Alan Walker      ,01/01/2017,de
3,Chöre                                                                      ,Mark Forster     ,01/01/2017,de
4,Starboy                                                                     ,The Weeknd       ,01/01/2017,de
5,Closer                                                                      ,The Chainsmokers ,01/01/2017,de
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01/01/2017,de
7,Bad Ideas                                                                   ,Alle Farben      ,01/01/2017,de
8,Ohne mein Team                                                              ,Bonez MC         ,01/01/2017,de
9,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,01/01/2017,de
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,de
2,Alone                                                                       ,Alan Walker      ,02/01/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,de
4,Starboy                                                                     ,The Weeknd       ,02/01/2017,de
5,Chöre                                                                      ,Mark Forster     ,02/01/2017,de
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02/01/2017,de
7,Shed a Light                                                                ,Robin Schulz     ,02/01/2017,de
8,Closer                                                                      ,The Chainsmokers ,02/01/2017,de
9,Ohne mein Team                                                              ,Bonez MC         ,02/01/2017,de
10,Now and Later                                                               ,Sage The Gemini  ,02/01/2017,de
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,de
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,de
3,Alone                                                                       ,Alan Walker      ,03/01/2017,de
4,Starboy                                                                     ,The Weeknd       ,03/01/2017,de
5,Shed a Light                                                                ,Robin Schulz     ,03/01/2017,de
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03/01/2017,de
7,Chöre                                                                      ,Mark Forster     ,03/01/2017,de
8,Now and Later                                                               ,Sage The Gemini  ,03/01/2017,de
9,Closer                                                                      ,The Chainsmokers ,03/01/2017,de
10,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,de
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,de
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,de
3,Alone                                                                       ,Alan Walker      ,04/01/2017,de
4,Starboy                                                                     ,The Weeknd       ,04/01/2017,de
5,Shed a Light                                                                ,Robin Schulz     ,04/01/2017,de
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,04/01/2017,de
