Position,Track Name,Artist,Date,Country
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,dk
2,Ked Af Det                                                                  ,Gulddreng        ,01/01/2017,dk
3,KranAlarm                                                                   ,Jesu Brødre     ,01/01/2017,dk
4,Helwa                                                                       ,Gilli            ,01/01/2017,dk
5,Starboy                                                                     ,The Weeknd       ,01/01/2017,dk
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01/01/2017,dk
7,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,dk
8,I Feel It Coming                                                            ,The Weeknd       ,01/01/2017,dk
9,Pakker Bar                                                                  ,NODE             ,01/01/2017,dk
10,Black Beatles                                                               ,Rae Sremmurd     ,01/01/2017,dk
1,Ked Af Det                                                                  ,Gulddreng        ,02/01/2017,dk
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,dk
3,Helwa                                                                       ,Gilli            ,02/01/2017,dk
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02/01/2017,dk
5,Starboy                                                                     ,The Weeknd       ,02/01/2017,dk
6,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,dk
7,KranAlarm                                                                   ,Jesu Brødre     ,02/01/2017,dk
8,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,dk
9,Pakker Bar                                                                  ,NODE             ,02/01/2017,dk
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,dk
1,Ked Af Det                                                                  ,Gulddreng        ,03/01/2017,dk
2,Helwa                                                                       ,Gilli            ,03/01/2017,dk
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,dk
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03/01/2017,dk
5,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,dk
6,Starboy                                                                     ,The Weeknd       ,03/01/2017,dk
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,dk
8,KranAlarm                                                                   ,Jesu Brødre     ,03/01/2017,dk
9,Pakker Bar                                                                  ,NODE             ,03/01/2017,dk
10,Giv Mig Noget                                                               ,Jimilian         ,03/01/2017,dk
1,Ked Af Det                                                                  ,Gulddreng        ,04/01/2017,dk
2,Helwa                                                                       ,Gilli            ,04/01/2017,dk
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,dk
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04/01/2017,dk
5,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,dk
6,Starboy                                                                     ,The Weeknd       ,04/01/2017,dk
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,dk
8,KranAlarm                                                                   ,Jesu Brødre     ,04/01/2017,dk
9,Giv Mig Noget                                                               ,Jimilian         ,04/01/2017,dk
10,Pakker Bar                                                                  ,NODE             ,04/01/2017,dk
1,Helwa                                                                       ,Gilli            ,05/01/2017,dk
2,Ked Af Det                                                                  ,Gulddreng        ,05/01/2017,dk
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,dk
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,05/01/2017,dk
5,Say You Won't Let Go                                                        ,James Arthur     ,05/01/2017,dk
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,dk
7,KranAlarm                                                                   ,Jesu Brødre     ,05/01/2017,dk
8,Starboy                                                                     ,The Weeknd       ,05/01/2017,dk
9,Giv Mig Noget                                                               ,Jimilian         ,05/01/2017,dk
10,Pakker Bar                                                                  ,NODE             ,05/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,dk
3,Helwa                                                                       ,Gilli            ,06/01/2017,dk
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/01/2017,dk
5,Ked Af Det                                                                  ,Gulddreng        ,06/01/2017,dk
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,06/01/2017,dk
7,KranAlarm                                                                   ,Jesu Brødre     ,06/01/2017,dk
8,Say You Won't Let Go                                                        ,James Arthur     ,06/01/2017,dk
9,Pakker Bar                                                                  ,NODE             ,06/01/2017,dk
10,Starboy                                                                     ,The Weeknd       ,06/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,07/01/2017,dk
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07/01/2017,dk
4,Helwa                                                                       ,Gilli            ,07/01/2017,dk
5,Ked Af Det                                                                  ,Gulddreng        ,07/01/2017,dk
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,07/01/2017,dk
7,KranAlarm                                                                   ,Jesu Brødre     ,07/01/2017,dk
8,Say You Won't Let Go                                                        ,James Arthur     ,07/01/2017,dk
9,Starboy                                                                     ,The Weeknd       ,07/01/2017,dk
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,07/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,08/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,08/01/2017,dk
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08/01/2017,dk
4,Helwa                                                                       ,Gilli            ,08/01/2017,dk
5,Say You Won't Let Go                                                        ,James Arthur     ,08/01/2017,dk
6,Ked Af Det                                                                  ,Gulddreng        ,08/01/2017,dk
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,08/01/2017,dk
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08/01/2017,dk
9,Starboy                                                                     ,The Weeknd       ,08/01/2017,dk
10,KranAlarm                                                                   ,Jesu Brødre     ,08/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,09/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,09/01/2017,dk
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09/01/2017,dk
4,Helwa                                                                       ,Gilli            ,09/01/2017,dk
5,Ked Af Det                                                                  ,Gulddreng        ,09/01/2017,dk
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09/01/2017,dk
7,Say You Won't Let Go                                                        ,James Arthur     ,09/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09/01/2017,dk
9,Giv Mig Noget                                                               ,Jimilian         ,09/01/2017,dk
10,Starboy                                                                     ,The Weeknd       ,09/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,dk
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,dk
5,Helwa                                                                       ,Gilli            ,10/01/2017,dk
6,Ked Af Det                                                                  ,Gulddreng        ,10/01/2017,dk
7,Say You Won't Let Go                                                        ,James Arthur     ,10/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10/01/2017,dk
9,Giv Mig Noget                                                               ,Jimilian         ,10/01/2017,dk
10,Starboy                                                                     ,The Weeknd       ,10/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,dk
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,dk
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11/01/2017,dk
5,Helwa                                                                       ,Gilli            ,11/01/2017,dk
6,Ked Af Det                                                                  ,Gulddreng        ,11/01/2017,dk
7,Say You Won't Let Go                                                        ,James Arthur     ,11/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,11/01/2017,dk
9,Giv Mig Noget                                                               ,Jimilian         ,11/01/2017,dk
10,Starboy                                                                     ,The Weeknd       ,11/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,12/01/2017,dk
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12/01/2017,dk
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12/01/2017,dk
5,Helwa                                                                       ,Gilli            ,12/01/2017,dk
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,12/01/2017,dk
7,Ked Af Det                                                                  ,Gulddreng        ,12/01/2017,dk
8,Say You Won't Let Go                                                        ,James Arthur     ,12/01/2017,dk
9,Giv Mig Noget                                                               ,Jimilian         ,12/01/2017,dk
10,Pakker Bar                                                                  ,NODE             ,12/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,13/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,13/01/2017,dk
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13/01/2017,dk
5,Helwa                                                                       ,Gilli            ,13/01/2017,dk
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,13/01/2017,dk
7,Ked Af Det                                                                  ,Gulddreng        ,13/01/2017,dk
8,Giv Mig Noget                                                               ,Jimilian         ,13/01/2017,dk
9,Say You Won't Let Go                                                        ,James Arthur     ,13/01/2017,dk
10,Pakker Bar                                                                  ,NODE             ,13/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,14/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,14/01/2017,dk
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,14/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14/01/2017,dk
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,14/01/2017,dk
6,Helwa                                                                       ,Gilli            ,14/01/2017,dk
7,Ked Af Det                                                                  ,Gulddreng        ,14/01/2017,dk
8,Say You Won't Let Go                                                        ,James Arthur     ,14/01/2017,dk
9,Giv Mig Noget                                                               ,Jimilian         ,14/01/2017,dk
10,Starboy                                                                     ,The Weeknd       ,14/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,15/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,15/01/2017,dk
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15/01/2017,dk
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15/01/2017,dk
5,Say You Won't Let Go                                                        ,James Arthur     ,15/01/2017,dk
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,15/01/2017,dk
7,Helwa                                                                       ,Gilli            ,15/01/2017,dk
8,Ked Af Det                                                                  ,Gulddreng        ,15/01/2017,dk
9,Paris                                                                       ,The Chainsmokers ,15/01/2017,dk
10,Starboy                                                                     ,The Weeknd       ,15/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,16/01/2017,dk
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16/01/2017,dk
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16/01/2017,dk
5,Paris                                                                       ,The Chainsmokers ,16/01/2017,dk
6,Say You Won't Let Go                                                        ,James Arthur     ,16/01/2017,dk
7,Helwa                                                                       ,Gilli            ,16/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,16/01/2017,dk
9,Ked Af Det                                                                  ,Gulddreng        ,16/01/2017,dk
10,Giv Mig Noget                                                               ,Jimilian         ,16/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,17/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,17/01/2017,dk
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17/01/2017,dk
4,Paris                                                                       ,The Chainsmokers ,17/01/2017,dk
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,17/01/2017,dk
6,Say You Won't Let Go                                                        ,James Arthur     ,17/01/2017,dk
7,Helwa                                                                       ,Gilli            ,17/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,17/01/2017,dk
9,Ked Af Det                                                                  ,Gulddreng        ,17/01/2017,dk
10,Giv Mig Noget                                                               ,Jimilian         ,17/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,18/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,18/01/2017,dk
3,Paris                                                                       ,The Chainsmokers ,18/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18/01/2017,dk
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,18/01/2017,dk
6,Say You Won't Let Go                                                        ,James Arthur     ,18/01/2017,dk
7,Helwa                                                                       ,Gilli            ,18/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,18/01/2017,dk
9,Starboy                                                                     ,The Weeknd       ,18/01/2017,dk
10,Ked Af Det                                                                  ,Gulddreng        ,18/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,19/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,19/01/2017,dk
3,Paris                                                                       ,The Chainsmokers ,19/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19/01/2017,dk
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,19/01/2017,dk
6,Say You Won't Let Go                                                        ,James Arthur     ,19/01/2017,dk
7,Helwa                                                                       ,Gilli            ,19/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,19/01/2017,dk
9,Pakker Bar                                                                  ,NODE             ,19/01/2017,dk
10,Starboy                                                                     ,The Weeknd       ,19/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,20/01/2017,dk
2,Castle on the Hill                                                          ,Ed Sheeran       ,20/01/2017,dk
3,Paris                                                                       ,The Chainsmokers ,20/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,20/01/2017,dk
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,20/01/2017,dk
6,Helwa                                                                       ,Gilli            ,20/01/2017,dk
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,20/01/2017,dk
8,God Dag                                                                     ,KESI             ,20/01/2017,dk
9,Say You Won't Let Go                                                        ,James Arthur     ,20/01/2017,dk
10,Pakker Bar                                                                  ,NODE             ,20/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,21/01/2017,dk
2,Paris                                                                       ,The Chainsmokers ,21/01/2017,dk
3,Castle on the Hill                                                          ,Ed Sheeran       ,21/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,21/01/2017,dk
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,21/01/2017,dk
6,God Dag                                                                     ,KESI             ,21/01/2017,dk
7,Helwa                                                                       ,Gilli            ,21/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,21/01/2017,dk
9,Say You Won't Let Go                                                        ,James Arthur     ,21/01/2017,dk
10,I Feel It Coming                                                            ,The Weeknd       ,21/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,22/01/2017,dk
2,Paris                                                                       ,The Chainsmokers ,22/01/2017,dk
3,Castle on the Hill                                                          ,Ed Sheeran       ,22/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,22/01/2017,dk
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,22/01/2017,dk
6,God Dag                                                                     ,KESI             ,22/01/2017,dk
7,Say You Won't Let Go                                                        ,James Arthur     ,22/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,22/01/2017,dk
9,Helwa                                                                       ,Gilli            ,22/01/2017,dk
10,I Feel It Coming                                                            ,The Weeknd       ,22/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,23/01/2017,dk
2,Paris                                                                       ,The Chainsmokers ,23/01/2017,dk
3,Castle on the Hill                                                          ,Ed Sheeran       ,23/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,23/01/2017,dk
5,God Dag                                                                     ,KESI             ,23/01/2017,dk
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23/01/2017,dk
7,Say You Won't Let Go                                                        ,James Arthur     ,23/01/2017,dk
8,Helwa                                                                       ,Gilli            ,23/01/2017,dk
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,23/01/2017,dk
10,Elsk Mig                                                                    ,Medina           ,23/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,24/01/2017,dk
2,Paris                                                                       ,The Chainsmokers ,24/01/2017,dk
3,Castle on the Hill                                                          ,Ed Sheeran       ,24/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,24/01/2017,dk
5,God Dag                                                                     ,KESI             ,24/01/2017,dk
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,24/01/2017,dk
7,Say You Won't Let Go                                                        ,James Arthur     ,24/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,24/01/2017,dk
9,Helwa                                                                       ,Gilli            ,24/01/2017,dk
10,Elsk Mig                                                                    ,Medina           ,24/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,25/01/2017,dk
2,Paris                                                                       ,The Chainsmokers ,25/01/2017,dk
3,Castle on the Hill                                                          ,Ed Sheeran       ,25/01/2017,dk
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,25/01/2017,dk
5,God Dag                                                                     ,KESI             ,25/01/2017,dk
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,25/01/2017,dk
7,Say You Won't Let Go                                                        ,James Arthur     ,25/01/2017,dk
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,25/01/2017,dk
9,Helwa                                                                       ,Gilli            ,25/01/2017,dk
10,I Feel It Coming                                                            ,The Weeknd       ,25/01/2017,dk
1,Shape of You                                                                ,Ed Sheeran       ,26/01/2017,dk
2,Paris                                                                       ,The Chainsmokers ,26/01/2017,dk
3,Castle on the Hill                                                          ,Ed Sheeran       ,26/01/2017,dk
