Position,TrackName,Artist,Date,Country,Indicators
1,Chantaje                                                                    ,Shakira          ,01-01-17,do,0 1 0 0 0 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01-01-17,do,0 1 0 0 0 0
3,Dile Que Tu Me Quieres                                                      ,Ozuna            ,01-01-17,do,0 1 0 0 0 0
4,Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,01-01-17,do,0 1 0 0 0 0
5,Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,01-01-17,do,0 1 0 0 0 0
6,Safari                                                                      ,J Balvin         ,01-01-17,do,0 1 0 0 0 0
7,Soy Peor                                                                    ,Bad Bunny        ,01-01-17,do,0 1 0 0 0 0
8,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,01-01-17,do,0 1 0 0 0 0
9,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,01-01-17,do,0 1 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,01-01-17,do,0 1 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,02-01-17,do,0 0 0 0 0 0
2,Soy Peor                                                                    ,Bad Bunny        ,02-01-17,do,0 0 0 0 0 0
3,Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,02-01-17,do,0 0 0 0 0 0
4,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,02-01-17,do,0 0 0 0 0 0
5,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,02-01-17,do,0 0 0 0 0 0
6,Dile Que Tu Me Quieres                                                      ,Ozuna            ,02-01-17,do,0 0 0 0 0 0
7,Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,02-01-17,do,0 0 0 0 0 0
8,Safari                                                                      ,J Balvin         ,02-01-17,do,0 0 0 0 0 0
9,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,02-01-17,do,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,02-01-17,do,0 0 0 0 0 0
1,Soy Peor                                                                    ,Bad Bunny        ,03-01-17,do,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,03-01-17,do,0 0 0 0 0 0
3,Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,03-01-17,do,0 0 0 0 0 0
4,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,03-01-17,do,0 0 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,03-01-17,do,0 0 0 0 0 0
6,Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,03-01-17,do,0 0 0 0 0 0
7,Dile Que Tu Me Quieres                                                      ,Ozuna            ,03-01-17,do,0 0 0 0 0 0
8,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,03-01-17,do,0 0 0 0 0 0
9,Safari                                                                      ,J Balvin         ,03-01-17,do,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,03-01-17,do,0 0 0 0 0 0
1,Soy Peor                                                                    ,Bad Bunny        ,04-01-17,do,0 1 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,04-01-17,do,0 1 0 0 0 0
3,Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,04-01-17,do,0 1 0 0 0 0
4,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,04-01-17,do,0 1 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,04-01-17,do,0 1 0 0 0 0
6,Dile Que Tu Me Quieres                                                      ,Ozuna            ,04-01-17,do,0 1 0 0 0 0
7,Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,04-01-17,do,0 1 0 0 0 0
8,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,04-01-17,do,0 1 0 0 0 0
9,Safari                                                                      ,J Balvin         ,04-01-17,do,0 1 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,04-01-17,do,0 1 0 0 0 0
1,Soy Peor                                                                    ,Bad Bunny        ,05-01-17,do,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,05-01-17,do,0 0 0 0 0 0
3,Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,05-01-17,do,0 0 0 0 0 0
4,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,05-01-17,do,0 0 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,05-01-17,do,0 0 0 0 0 0
6,Dile Que Tu Me Quieres                                                      ,Ozuna            ,05-01-17,do,0 0 0 0 0 0
7,Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,05-01-17,do,0 0 0 0 0 0
8,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,05-01-17,do,0 0 0 0 0 0
9,Safari                                                                      ,J Balvin         ,05-01-17,do,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,05-01-17,do,0 0 0 0 0 0
1,Soy Peor                                                                    ,Bad Bunny        ,06-01-17,do,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,06-01-17,do,0 0 0 0 0 0
3,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,06-01-17,do,0 0 0 0 0 0
4,Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,06-01-17,do,0 0 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,06-01-17,do,0 0 0 0 0 0
6,Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,06-01-17,do,0 0 0 0 0 0
7,Dile Que Tu Me Quieres                                                      ,Ozuna            ,06-01-17,do,0 0 0 0 0 0
8,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,06-01-17,do,0 0 0 0 0 0
9,Safari                                                                      ,J Balvin         ,06-01-17,do,0 0 0 0 0 0
10,Me Llamas                                                                   ,Arcangel         ,06-01-17,do,0 0 0 0 0 0
1,Soy Peor                                                                    ,Bad Bunny        ,07-01-17,do,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,07-01-17,do,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,07-01-17,do,0 0 0 0 0 0
4,Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,07-01-17,do,0 0 0 0 0 0
5,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,07-01-17,do,0 0 0 0 0 0
6,Dile Que Tu Me Quieres                                                      ,Ozuna            ,07-01-17,do,0 0 0 0 0 0
7,Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,07-01-17,do,0 0 0 0 0 0
8,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,07-01-17,do,0 0 0 0 0 0
9,Safari                                                                      ,J Balvin         ,07-01-17,do,0 0 0 0 0 0
10,Shape of You                                                                ,Ed Sheeran       ,07-01-17,do,0 0 0 0 0 0
1,Soy Peor                                                                    ,Bad Bunny        ,08-01-17,do,0 1 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,08-01-17,do,0 1 0 0 0 0
3,Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,08-01-17,do,0 1 0 0 0 0
4,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,08-01-17,do,0 1 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,08-01-17,do,0 1 0 0 0 0
6,Dile Que Tu Me Quieres                                                      ,Ozuna            ,08-01-17,do,0 1 0 0 0 0
7,Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,08-01-17,do,0 1 0 0 0 0
8,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,08-01-17,do,0 1 0 0 0 0
