Position,TrackName,Artist,Date,Country,Indicators
1,Chantaje                                                                    ,Shakira          ,01-01-17,es,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,01-01-17,es,0 0 0 0 0 0
3,Safari                                                                      ,J Balvin         ,01-01-17,es,0 0 0 0 0 0
4,Vente Pa' Ca                                                                ,Ricky Martin     ,01-01-17,es,0 0 0 0 0 0
5,La Bicicleta                                                                ,Carlos Vives     ,01-01-17,es,0 0 0 0 0 0
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01-01-17,es,0 0 0 0 0 0
7,Traicionera                                                                 ,Sebastian Yatra  ,01-01-17,es,0 0 0 0 0 0
8,Gyal You A Party Animal - Remix                                             ,Charly Black     ,01-01-17,es,0 0 0 0 0 0
9,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01-01-17,es,0 0 0 0 0 0
10,24K Magic                                                                   ,Bruno Mars       ,01-01-17,es,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,02-01-17,es,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,02-01-17,es,0 0 0 0 0 0
3,Safari                                                                      ,J Balvin         ,02-01-17,es,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02-01-17,es,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,02-01-17,es,0 0 0 0 0 0
6,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,02-01-17,es,0 0 0 0 0 0
7,Traicionera                                                                 ,Sebastian Yatra  ,02-01-17,es,0 0 0 0 0 0
8,Gyal You A Party Animal - Remix                                             ,Charly Black     ,02-01-17,es,0 0 0 0 0 0
9,Let Me Love You                                                             ,DJ Snake         ,02-01-17,es,0 0 0 0 0 0
10,24K Magic                                                                   ,Bruno Mars       ,02-01-17,es,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,03-01-17,es,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,03-01-17,es,0 0 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03-01-17,es,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,03-01-17,es,0 0 0 0 0 0
