Position,TrackName,Artist,Date,Country,Indicators
1,One Dance                                                                   ,Drake            ,01-01-17,fr,0 0 1 0 0 0
2,Starboy                                                                     ,The Weeknd       ,01-01-17,fr,0 0 1 0 0 0
3,24K Magic                                                                   ,Bruno Mars       ,01-01-17,fr,0 0 1 0 0 0
4,My Way                                                                      ,Calvin Harris    ,01-01-17,fr,0 0 1 0 0 0
5,Mauvaise graine                                                             ,Nekfeu           ,01-01-17,fr,0 0 1 0 0 0
6,Squa                                                                        ,Nekfeu           ,01-01-17,fr,0 0 1 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,01-01-17,fr,0 0 1 0 0 0
8,Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,01-01-17,fr,0 0 1 0 0 0
9,Black Beatles                                                               ,Rae Sremmurd     ,01-01-17,fr,0 0 1 0 0 0
10,Tchoin                                                                      ,Kaaris           ,01-01-17,fr,0 0 1 0 0 0
1,Mauvaise graine                                                             ,Nekfeu           ,02-01-17,fr,0 1 0 0 0 0
2,Squa                                                                        ,Nekfeu           ,02-01-17,fr,0 1 0 0 0 0
3,Starboy                                                                     ,The Weeknd       ,02-01-17,fr,0 1 0 0 0 0
4,One Dance                                                                   ,Drake            ,02-01-17,fr,0 1 0 0 0 0
5,Saturne                                                                     ,Nekfeu           ,02-01-17,fr,0 1 0 0 0 0
6,Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,02-01-17,fr,0 1 0 0 0 0
7,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02-01-17,fr,0 1 0 0 0 0
8,24K Magic                                                                   ,Bruno Mars       ,02-01-17,fr,0 1 0 0 0 0
9,Sunset Lover                                                                ,Petit Biscuit    ,02-01-17,fr,0 1 0 0 0 0
10,My Way                                                                      ,Calvin Harris    ,02-01-17,fr,0 1 0 0 0 0
1,Mauvaise graine                                                             ,Nekfeu           ,03-01-17,fr,0 0 0 0 0 0
2,Squa                                                                        ,Nekfeu           ,03-01-17,fr,0 0 0 0 0 0
3,Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,03-01-17,fr,0 0 0 0 0 0
4,Starboy                                                                     ,The Weeknd       ,03-01-17,fr,0 0 0 0 0 0
5,Saturne                                                                     ,Nekfeu           ,03-01-17,fr,0 0 0 0 0 0
6,Tchoin                                                                      ,Kaaris           ,03-01-17,fr,0 0 0 0 0 0
7,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03-01-17,fr,0 0 0 0 0 0
8,One Dance                                                                   ,Drake            ,03-01-17,fr,0 0 0 0 0 0
9,Human                                                                       ,Rag'n'Bone Man   ,03-01-17,fr,0 0 0 0 0 0
10,24K Magic                                                                   ,Bruno Mars       ,03-01-17,fr,0 0 0 0 0 0
1,Mauvaise graine                                                             ,Nekfeu           ,04-01-17,fr,0 1 0 0 0 0
2,Squa                                                                        ,Nekfeu           ,04-01-17,fr,0 1 0 0 0 0
3,Starboy                                                                     ,The Weeknd       ,04-01-17,fr,0 1 0 0 0 0
4,Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,04-01-17,fr,0 1 0 0 0 0
5,Saturne                                                                     ,Nekfeu           ,04-01-17,fr,0 1 0 0 0 0
6,One Dance                                                                   ,Drake            ,04-01-17,fr,0 1 0 0 0 0
7,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04-01-17,fr,0 1 0 0 0 0
8,Human                                                                       ,Rag'n'Bone Man   ,04-01-17,fr,0 1 0 0 0 0
9,Sunset Lover                                                                ,Petit Biscuit    ,04-01-17,fr,0 1 0 0 0 0
10,Tchoin                                                                      ,Kaaris           ,04-01-17,fr,0 1 0 0 0 0
1,Mauvaise graine                                                             ,Nekfeu           ,05-01-17,fr,0 0 0 0 0 0
2,Squa                                                                        ,Nekfeu           ,05-01-17,fr,0 0 0 0 0 0
3,Starboy                                                                     ,The Weeknd       ,05-01-17,fr,0 0 0 0 0 0
4,Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,05-01-17,fr,0 0 0 0 0 0
5,Saturne                                                                     ,Nekfeu           ,05-01-17,fr,0 0 0 0 0 0
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05-01-17,fr,0 0 0 0 0 0
7,Human                                                                       ,Rag'n'Bone Man   ,05-01-17,fr,0 0 0 0 0 0
8,One Dance                                                                   ,Drake            ,05-01-17,fr,0 0 0 0 0 0
9,Tchoin                                                                      ,Kaaris           ,05-01-17,fr,0 0 0 0 0 0
10,I Feel It Coming                                                            ,The Weeknd       ,05-01-17,fr,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,06-01-17,fr,0 0 0 0 0 0
2,Mauvaise graine                                                             ,Nekfeu           ,06-01-17,fr,0 0 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,06-01-17,fr,0 0 0 0 0 0
4,Squa                                                                        ,Nekfeu           ,06-01-17,fr,0 0 0 0 0 0
5,Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,06-01-17,fr,0 0 0 0 0 0
6,Saturne                                                                     ,Nekfeu           ,06-01-17,fr,0 0 0 0 0 0
7,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06-01-17,fr,0 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,06-01-17,fr,0 0 0 0 0 0
9,Tchoin                                                                      ,Kaaris           ,06-01-17,fr,0 0 0 0 0 0
10,Onizuka                                                                     ,PNL              ,06-01-17,fr,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,07-01-17,fr,0 1 0 0 0 0
2,Mauvaise graine                                                             ,Nekfeu           ,07-01-17,fr,0 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07-01-17,fr,0 1 0 0 0 0
4,Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,07-01-17,fr,0 1 0 0 0 0
5,Squa                                                                        ,Nekfeu           ,07-01-17,fr,0 1 0 0 0 0
6,Starboy                                                                     ,The Weeknd       ,07-01-17,fr,0 1 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,07-01-17,fr,0 1 0 0 0 0
8,Sunset Lover                                                                ,Petit Biscuit    ,07-01-17,fr,0 1 0 0 0 0
9,Tchoin                                                                      ,Kaaris           ,07-01-17,fr,0 1 0 0 0 0
10,Castle on the Hill                                                          ,Ed Sheeran       ,07-01-17,fr,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08-01-17,fr,0 1 0 0 0 0
2,Mauvaise graine                                                             ,Nekfeu           ,08-01-17,fr,0 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08-01-17,fr,0 1 0 0 0 0
4,Squa                                                                        ,Nekfeu           ,08-01-17,fr,0 1 0 0 0 0
5,Castle on the Hill                                                          ,Ed Sheeran       ,08-01-17,fr,0 1 0 0 0 0
6,Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,08-01-17,fr,0 1 0 0 0 0
7,Starboy                                                                     ,The Weeknd       ,08-01-17,fr,0 1 0 0 0 0
8,Sunset Lover                                                                ,Petit Biscuit    ,08-01-17,fr,0 1 0 0 0 0
9,Saturne                                                                     ,Nekfeu           ,08-01-17,fr,0 1 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,08-01-17,fr,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,09-01-17,fr,1 1 0 0 0 0
2,Mauvaise graine                                                             ,Nekfeu           ,09-01-17,fr,1 1 0 0 0 0
3,Squa                                                                        ,Nekfeu           ,09-01-17,fr,1 1 0 0 0 0
4,Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,09-01-17,fr,1 1 0 0 0 0
5,Castle on the Hill                                                          ,Ed Sheeran       ,09-01-17,fr,1 1 0 0 0 0
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09-01-17,fr,1 1 0 0 0 0
7,Saturne                                                                     ,Nekfeu           ,09-01-17,fr,1 1 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,09-01-17,fr,1 1 0 0 0 0
9,Tchoin                                                                      ,Kaaris           ,09-01-17,fr,1 1 0 0 0 0
10,Sunset Lover                                                                ,Petit Biscuit    ,09-01-17,fr,1 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,10-01-17,fr,0 1 0 0 0 0
2,Mauvaise graine                                                             ,Nekfeu           ,10-01-17,fr,0 1 0 0 0 0
