Position,Track Name,Artist,Date,Country
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,gb
2,Starboy                                                                     ,The Weeknd       ,01/01/2017,gb
3,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,gb
4,Sexual                                                                      ,NEIKED           ,01/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,01/01/2017,gb
6,Touch                                                                       ,Little Mix       ,01/01/2017,gb
7,Closer                                                                      ,The Chainsmokers ,01/01/2017,gb
8,One Dance                                                                   ,Drake            ,01/01/2017,gb
9,Don't Wanna Know                                                            ,Maroon 5         ,01/01/2017,gb
10,Black Beatles                                                               ,Rae Sremmurd     ,01/01/2017,gb
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,gb
2,Touch                                                                       ,Little Mix       ,02/01/2017,gb
3,I Would Like                                                                ,Zara Larsson     ,02/01/2017,gb
4,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,gb
5,Starboy                                                                     ,The Weeknd       ,02/01/2017,gb
6,Sexual                                                                      ,NEIKED           ,02/01/2017,gb
7,Just Hold On                                                                ,Steve Aoki       ,02/01/2017,gb
8,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,gb
9,Human                                                                       ,Rag'n'Bone Man   ,02/01/2017,gb
10,Closer                                                                      ,The Chainsmokers ,02/01/2017,gb
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,gb
2,Touch                                                                       ,Little Mix       ,03/01/2017,gb
3,I Would Like                                                                ,Zara Larsson     ,03/01/2017,gb
4,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,gb
5,Starboy                                                                     ,The Weeknd       ,03/01/2017,gb
6,Sexual                                                                      ,NEIKED           ,03/01/2017,gb
7,Just Hold On                                                                ,Steve Aoki       ,03/01/2017,gb
8,Human                                                                       ,Rag'n'Bone Man   ,03/01/2017,gb
9,Don't Wanna Know                                                            ,Maroon 5         ,03/01/2017,gb
10,Closer                                                                      ,The Chainsmokers ,03/01/2017,gb
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,gb
2,Touch                                                                       ,Little Mix       ,04/01/2017,gb
3,I Would Like                                                                ,Zara Larsson     ,04/01/2017,gb
4,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,gb
5,Starboy                                                                     ,The Weeknd       ,04/01/2017,gb
6,Sexual                                                                      ,NEIKED           ,04/01/2017,gb
7,Just Hold On                                                                ,Steve Aoki       ,04/01/2017,gb
8,Human                                                                       ,Rag'n'Bone Man   ,04/01/2017,gb
9,Don't Wanna Know                                                            ,Maroon 5         ,04/01/2017,gb
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,gb
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,gb
2,Touch                                                                       ,Little Mix       ,05/01/2017,gb
3,I Would Like                                                                ,Zara Larsson     ,05/01/2017,gb
4,Say You Won't Let Go                                                        ,James Arthur     ,05/01/2017,gb
5,Starboy                                                                     ,The Weeknd       ,05/01/2017,gb
6,Just Hold On                                                                ,Steve Aoki       ,05/01/2017,gb
7,Human                                                                       ,Rag'n'Bone Man   ,05/01/2017,gb
8,Sexual                                                                      ,NEIKED           ,05/01/2017,gb
9,Don't Wanna Know                                                            ,Maroon 5         ,05/01/2017,gb
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/01/2017,gb
4,Touch                                                                       ,Little Mix       ,06/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,06/01/2017,gb
6,Starboy                                                                     ,The Weeknd       ,06/01/2017,gb
7,Say You Won't Let Go                                                        ,James Arthur     ,06/01/2017,gb
8,Human                                                                       ,Rag'n'Bone Man   ,06/01/2017,gb
9,Just Hold On                                                                ,Steve Aoki       ,06/01/2017,gb
10,Sexual                                                                      ,NEIKED           ,06/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,07/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07/01/2017,gb
4,Touch                                                                       ,Little Mix       ,07/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,07/01/2017,gb
6,Just Hold On                                                                ,Steve Aoki       ,07/01/2017,gb
7,Human                                                                       ,Rag'n'Bone Man   ,07/01/2017,gb
8,Say You Won't Let Go                                                        ,James Arthur     ,07/01/2017,gb
9,Starboy                                                                     ,The Weeknd       ,07/01/2017,gb
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,07/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,08/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,08/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08/01/2017,gb
4,Touch                                                                       ,Little Mix       ,08/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,08/01/2017,gb
6,Say You Won't Let Go                                                        ,James Arthur     ,08/01/2017,gb
7,Starboy                                                                     ,The Weeknd       ,08/01/2017,gb
8,Just Hold On                                                                ,Steve Aoki       ,08/01/2017,gb
9,Human                                                                       ,Rag'n'Bone Man   ,08/01/2017,gb
10,Sexual                                                                      ,NEIKED           ,08/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,09/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,09/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09/01/2017,gb
4,Touch                                                                       ,Little Mix       ,09/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,09/01/2017,gb
6,Say You Won't Let Go                                                        ,James Arthur     ,09/01/2017,gb
7,Just Hold On                                                                ,Steve Aoki       ,09/01/2017,gb
8,Human                                                                       ,Rag'n'Bone Man   ,09/01/2017,gb
9,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,09/01/2017,gb
10,Starboy                                                                     ,The Weeknd       ,09/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10/01/2017,gb
4,Touch                                                                       ,Little Mix       ,10/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,10/01/2017,gb
