Position,TrackName,Artist,Date,Country,Indicators
1,Starboy                                                                     ,The Weeknd       ,01/01/2017,gr,0 0 0 0 0 0
2,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,gr,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,01/01/2017,gr,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,gr,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,gr,0 0 0 0 0 0
6,One Dance                                                                   ,Drake            ,01/01/2017,gr,0 0 0 0 0 0
7,Fake Love                                                                   ,Drake            ,01/01/2017,gr,0 0 0 0 0 0
8,Black Beatles                                                               ,Rae Sremmurd     ,01/01/2017,gr,0 0 0 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,01/01/2017,gr,0 0 0 0 0 0
10,Don't Wanna Know                                                            ,Maroon 5         ,01/01/2017,gr,0 0 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,02/01/2017,gr,0 0 0 0 0 0
2,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,gr,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,02/01/2017,gr,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,gr,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,gr,0 0 0 0 0 0
6,Fake Love                                                                   ,Drake            ,02/01/2017,gr,0 0 0 0 0 0
7,One Dance                                                                   ,Drake            ,02/01/2017,gr,0 0 0 0 0 0
8,Black Beatles                                                               ,Rae Sremmurd     ,02/01/2017,gr,0 0 0 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,gr,0 0 0 0 0 0
10,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,gr,0 0 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,03/01/2017,gr,0 0 0 0 0 0
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,gr,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,03/01/2017,gr,0 0 0 0 0 0
4,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,gr,0 0 0 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,gr,0 0 0 0 0 0
6,Fake Love                                                                   ,Drake            ,03/01/2017,gr,0 0 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,03/01/2017,gr,0 0 0 0 0 0
8,Don't Wanna Know                                                            ,Maroon 5         ,03/01/2017,gr,0 0 0 0 0 0
9,Black Beatles                                                               ,Rae Sremmurd     ,03/01/2017,gr,0 0 0 0 0 0
10,Just Hold On                                                                ,Steve Aoki       ,03/01/2017,gr,0 0 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,04/01/2017,gr,0 1 0 0 0 0
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,gr,0 1 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,04/01/2017,gr,0 1 0 0 0 0
4,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,gr,0 1 0 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,gr,0 1 0 0 0 0
6,Fake Love                                                                   ,Drake            ,04/01/2017,gr,0 1 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,04/01/2017,gr,0 1 0 0 0 0
8,Black Beatles                                                               ,Rae Sremmurd     ,04/01/2017,gr,0 1 0 0 0 0
9,One Dance                                                                   ,Drake            ,04/01/2017,gr,0 1 0 0 0 0
10,Don't Wanna Know                                                            ,Maroon 5         ,04/01/2017,gr,0 1 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,05/01/2017,gr,0 1 0 0 0 0
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,gr,0 1 0 0 0 0
3,Let Me Love You                                                             ,DJ Snake         ,05/01/2017,gr,0 1 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,gr,0 1 0 0 0 0
5,Closer                                                                      ,The Chainsmokers ,05/01/2017,gr,0 1 0 0 0 0
6,Fake Love                                                                   ,Drake            ,05/01/2017,gr,0 1 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,05/01/2017,gr,0 1 0 0 0 0
8,Don't Wanna Know                                                            ,Maroon 5         ,05/01/2017,gr,0 1 0 0 0 0
9,Black Beatles                                                               ,Rae Sremmurd     ,05/01/2017,gr,0 1 0 0 0 0
10,One Dance                                                                   ,Drake            ,05/01/2017,gr,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,gr,0 1 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,gr,0 1 0 0 0 0
3,Starboy                                                                     ,The Weeknd       ,06/01/2017,gr,0 1 0 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06/01/2017,gr,0 1 0 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/01/2017,gr,0 1 0 0 0 0
