Position,TrackName,Artist,Date,Country,Indicators
1,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01/01/2017,hn,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,01/01/2017,hn,0 0 0 0 0 0
3,Safari                                                                      ,J Balvin         ,01/01/2017,hn,0 0 0 0 0 0
4,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,01/01/2017,hn,0 0 0 0 0 0
5,Shaky Shaky                                                                 ,Daddy Yankee     ,01/01/2017,hn,0 0 0 0 0 0
6,Vente Pa' Ca                                                                ,Ricky Martin     ,01/01/2017,hn,0 0 0 0 0 0
7,La Bicicleta                                                                ,Carlos Vives     ,01/01/2017,hn,0 0 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,01/01/2017,hn,0 0 0 0 0 0
9,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,hn,0 0 0 0 0 0
10,Dile Que Tu Me Quieres                                                      ,Ozuna            ,01/01/2017,hn,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,02/01/2017,hn,0 0 0 0 0 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,02/01/2017,hn,0 0 0 0 0 0
3,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,02/01/2017,hn,0 0 0 0 0 0
4,Closer                                                                      ,The Chainsmokers ,02/01/2017,hn,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,02/01/2017,hn,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,hn,0 0 0 0 0 0
7,Starboy                                                                     ,The Weeknd       ,02/01/2017,hn,0 0 0 0 0 0
8,Vente Pa' Ca                                                                ,Ricky Martin     ,02/01/2017,hn,0 0 0 0 0 0
9,One Dance                                                                   ,Drake            ,02/01/2017,hn,0 0 0 0 0 0
10,Dile Que Tu Me Quieres                                                      ,Ozuna            ,02/01/2017,hn,0 0 0 0 0 0
1,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,03/01/2017,hn,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,03/01/2017,hn,0 0 0 0 0 0
3,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,03/01/2017,hn,0 0 0 0 0 0
4,Closer                                                                      ,The Chainsmokers ,03/01/2017,hn,0 0 0 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,hn,0 0 0 0 0 0
