Position,TrackName,Artist,Date,Country,Indicators
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01-01-17,hu,1 0 1 0 0 0
2,Starboy                                                                     ,The Weeknd       ,01-01-17,hu,1 0 1 0 0 0
3,Closer                                                                      ,The Chainsmokers ,01-01-17,hu,1 0 1 0 0 0
4,Let Me Love You                                                             ,DJ Snake         ,01-01-17,hu,1 0 1 0 0 0
5,Don't Wanna Know                                                            ,Maroon 5         ,01-01-17,hu,1 0 1 0 0 0
6,Heathens                                                                    ,Twenty One Pilots,01-01-17,hu,1 0 1 0 0 0
7,Cheap Thrills                                                               ,Sia              ,01-01-17,hu,1 0 1 0 0 0
8,In the Name of Love                                                         ,Martin Garrix    ,01-01-17,hu,1 0 1 0 0 0
9,Treat You Better                                                            ,Shawn Mendes     ,01-01-17,hu,1 0 1 0 0 0
10,Just Hold On                                                                ,Steve Aoki       ,01-01-17,hu,1 0 1 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02-01-17,hu,1 0 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,02-01-17,hu,1 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,02-01-17,hu,1 0 0 0 0 0
4,Let Me Love You                                                             ,DJ Snake         ,02-01-17,hu,1 0 0 0 0 0
5,Don't Wanna Know                                                            ,Maroon 5         ,02-01-17,hu,1 0 0 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02-01-17,hu,1 0 0 0 0 0
7,Just Hold On                                                                ,Steve Aoki       ,02-01-17,hu,1 0 0 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02-01-17,hu,1 0 0 0 0 0
9,In the Name of Love                                                         ,Martin Garrix    ,02-01-17,hu,1 0 0 0 0 0
10,Human                                                                       ,Rag'n'Bone Man   ,02-01-17,hu,1 0 0 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03-01-17,hu,0 0 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,03-01-17,hu,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,03-01-17,hu,0 0 0 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03-01-17,hu,0 0 0 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,03-01-17,hu,0 0 0 0 0 0
6,Don't Wanna Know                                                            ,Maroon 5         ,03-01-17,hu,0 0 0 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03-01-17,hu,0 0 0 0 0 0
8,Just Hold On                                                                ,Steve Aoki       ,03-01-17,hu,0 0 0 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,03-01-17,hu,0 0 0 0 0 0
10,Human                                                                       ,Rag'n'Bone Man   ,03-01-17,hu,0 0 0 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04-01-17,hu,0 0 1 0 0 0
2,Starboy                                                                     ,The Weeknd       ,04-01-17,hu,0 0 1 0 0 0
3,Closer                                                                      ,The Chainsmokers ,04-01-17,hu,0 0 1 0 0 0
4,Let Me Love You                                                             ,DJ Snake         ,04-01-17,hu,0 0 1 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04-01-17,hu,0 0 1 0 0 0
6,Don't Wanna Know                                                            ,Maroon 5         ,04-01-17,hu,0 0 1 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04-01-17,hu,0 0 1 0 0 0
8,Just Hold On                                                                ,Steve Aoki       ,04-01-17,hu,0 0 1 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,04-01-17,hu,0 0 1 0 0 0
10,In the Name of Love                                                         ,Martin Garrix    ,04-01-17,hu,0 0 1 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05-01-17,hu,0 0 1 0 0 0
2,Starboy                                                                     ,The Weeknd       ,05-01-17,hu,0 0 1 0 0 0
3,Let Me Love You                                                             ,DJ Snake         ,05-01-17,hu,0 0 1 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05-01-17,hu,0 0 1 0 0 0
5,Closer                                                                      ,The Chainsmokers ,05-01-17,hu,0 0 1 0 0 0
6,Don't Wanna Know                                                            ,Maroon 5         ,05-01-17,hu,0 0 1 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,05-01-17,hu,0 0 1 0 0 0
8,I Feel It Coming                                                            ,The Weeknd       ,05-01-17,hu,0 0 1 0 0 0
9,Human                                                                       ,Rag'n'Bone Man   ,05-01-17,hu,0 0 1 0 0 0
10,Just Hold On                                                                ,Steve Aoki       ,05-01-17,hu,0 0 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,06-01-17,hu,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,06-01-17,hu,0 0 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06-01-17,hu,0 0 0 0 0 0
4,Starboy                                                                     ,The Weeknd       ,06-01-17,hu,0 0 0 0 0 0
