Position,TrackName,Artist,Date,Country,Indicators
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01-01-17,ie,0 1 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,01-01-17,ie,0 1 0 0 0 0
3,Say You Won't Let Go                                                        ,James Arthur     ,01-01-17,ie,0 1 0 0 0 0
4,Sexual                                                                      ,NEIKED           ,01-01-17,ie,0 1 0 0 0 0
5,All Night                                                                   ,The Vamps        ,01-01-17,ie,0 1 0 0 0 0
6,Closer                                                                      ,The Chainsmokers ,01-01-17,ie,0 1 0 0 0 0
7,Don't Wanna Know                                                            ,Maroon 5         ,01-01-17,ie,0 1 0 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01-01-17,ie,0 1 0 0 0 0
9,Just Hold On                                                                ,Steve Aoki       ,01-01-17,ie,0 1 0 0 0 0
10,One Dance                                                                   ,Drake            ,01-01-17,ie,0 1 0 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02-01-17,ie,0 1 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,02-01-17,ie,0 1 0 0 0 0
3,Say You Won't Let Go                                                        ,James Arthur     ,02-01-17,ie,0 1 0 0 0 0
4,Sexual                                                                      ,NEIKED           ,02-01-17,ie,0 1 0 0 0 0
5,All Night                                                                   ,The Vamps        ,02-01-17,ie,0 1 0 0 0 0
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02-01-17,ie,0 1 0 0 0 0
7,Don't Wanna Know                                                            ,Maroon 5         ,02-01-17,ie,0 1 0 0 0 0
8,Just Hold On                                                                ,Steve Aoki       ,02-01-17,ie,0 1 0 0 0 0
9,Closer                                                                      ,The Chainsmokers ,02-01-17,ie,0 1 0 0 0 0
10,I Would Like                                                                ,Zara Larsson     ,02-01-17,ie,0 1 0 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03-01-17,ie,0 1 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,03-01-17,ie,0 1 0 0 0 0
3,Say You Won't Let Go                                                        ,James Arthur     ,03-01-17,ie,0 1 0 0 0 0
4,Sexual                                                                      ,NEIKED           ,03-01-17,ie,0 1 0 0 0 0
5,All Night                                                                   ,The Vamps        ,03-01-17,ie,0 1 0 0 0 0
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03-01-17,ie,0 1 0 0 0 0
7,Don't Wanna Know                                                            ,Maroon 5         ,03-01-17,ie,0 1 0 0 0 0
8,Just Hold On                                                                ,Steve Aoki       ,03-01-17,ie,0 1 0 0 0 0
