Position,TrackName,Artist,Date,Country,Indicators
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,it,0 1 0 0 0 0
2,Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,01/01/2017,it,0 1 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,01/01/2017,it,0 1 0 0 0 0
4,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,it,0 1 0 0 0 0
5,Human                                                                       ,Rag'n'Bone Man   ,01/01/2017,it,0 1 0 0 0 0
6,Assenzio                                                                    ,J-AX             ,01/01/2017,it,0 1 0 0 0 0
7,Don't Wanna Know                                                            ,Maroon 5         ,01/01/2017,it,0 1 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,01/01/2017,it,0 1 0 0 0 0
9,Don't Let Me Down                                                           ,The Chainsmokers ,01/01/2017,it,0 1 0 0 0 0
10,Chantaje                                                                    ,Shakira          ,01/01/2017,it,0 1 0 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,it,0 1 0 0 0 0
2,Closer                                                                      ,The Chainsmokers ,02/01/2017,it,0 1 0 0 0 0
3,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,it,0 1 0 0 0 0
4,Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,02/01/2017,it,0 1 0 0 0 0
5,Assenzio                                                                    ,J-AX             ,02/01/2017,it,0 1 0 0 0 0
6,Human                                                                       ,Rag'n'Bone Man   ,02/01/2017,it,0 1 0 0 0 0
7,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,it,0 1 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,02/01/2017,it,0 1 0 0 0 0
9,Chantaje                                                                    ,Shakira          ,02/01/2017,it,0 1 0 0 0 0
10,In the Name of Love                                                         ,Martin Garrix    ,02/01/2017,it,0 1 0 0 0 0
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,it,0 1 0 0 1 0
2,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,it,0 1 0 0 1 0
3,Closer                                                                      ,The Chainsmokers ,03/01/2017,it,0 1 0 0 1 0
