Position,TrackName,Artist,Date,Country,Indicators
1,Closer                                                                      ,The Chainsmokers ,01-01-17,jp,0 0 0 0 0 0
2,I Feel It Coming                                                            ,The Weeknd       ,01-01-17,jp,0 0 0 0 0 0
3,Let Me Love You                                                             ,DJ Snake         ,01-01-17,jp,0 0 0 0 0 0
4,24K Magic                                                                   ,Bruno Mars       ,01-01-17,jp,0 0 0 0 0 0
5,Don't Wanna Know                                                            ,Maroon 5         ,01-01-17,jp,0 0 0 0 0 0
6,Starboy                                                                     ,The Weeknd       ,01-01-17,jp,0 0 0 0 0 0
7,Cold Water (feat. Justin Bieber & MØ)                                      ,Major Lazer      ,01-01-17,jp,0 0 0 0 0 0
8,Wherever you are                                                            ,ONE OK ROCK      ,01-01-17,jp,0 0 0 0 0 0
9,My Boo                                                                      ,Shota Shimizu    ,01-01-17,jp,0 0 0 0 0 0
10,Side To Side                                                                ,Ariana Grande    ,01-01-17,jp,0 0 0 0 0 0
1,Closer                                                                      ,The Chainsmokers ,02-01-17,jp,0 0 0 0 0 0
2,Let Me Love You                                                             ,DJ Snake         ,02-01-17,jp,0 0 0 0 0 0
3,24K Magic                                                                   ,Bruno Mars       ,02-01-17,jp,0 0 0 0 0 0
4,Don't Wanna Know                                                            ,Maroon 5         ,02-01-17,jp,0 0 0 0 0 0
5,I Feel It Coming                                                            ,The Weeknd       ,02-01-17,jp,0 0 0 0 0 0
6,Starboy                                                                     ,The Weeknd       ,02-01-17,jp,0 0 0 0 0 0
7,Cold Water (feat. Justin Bieber & MØ)                                      ,Major Lazer      ,02-01-17,jp,0 0 0 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02-01-17,jp,0 0 0 0 0 0
9,Side To Side                                                                ,Ariana Grande    ,02-01-17,jp,0 0 0 0 0 0
10,My Boo                                                                      ,Shota Shimizu    ,02-01-17,jp,0 0 0 0 0 0
1,Closer                                                                      ,The Chainsmokers ,03-01-17,jp,0 0 0 0 0 0
2,Let Me Love You                                                             ,DJ Snake         ,03-01-17,jp,0 0 0 0 0 0
3,Don't Wanna Know                                                            ,Maroon 5         ,03-01-17,jp,0 0 0 0 0 0
4,I Feel It Coming                                                            ,The Weeknd       ,03-01-17,jp,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03-01-17,jp,0 0 0 0 0 0
6,24K Magic                                                                   ,Bruno Mars       ,03-01-17,jp,0 0 0 0 0 0
