Position,TrackName,Artist,Date,Country,Indicators
1,Starboy                                                                     ,The Weeknd       ,01-01-17,lv,0 1 0 0 0 0
2,Closer                                                                      ,The Chainsmokers ,01-01-17,lv,0 1 0 0 0 0
3,Let Me Love You                                                             ,DJ Snake         ,01-01-17,lv,0 1 0 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01-01-17,lv,0 1 0 0 0 0
5,Black Beatles                                                               ,Rae Sremmurd     ,01-01-17,lv,0 1 0 0 0 0
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01-01-17,lv,0 1 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,01-01-17,lv,0 1 0 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,01-01-17,lv,0 1 0 0 0 0
9,Fake Love                                                                   ,Drake            ,01-01-17,lv,0 1 0 0 0 0
10,One Dance                                                                   ,Drake            ,01-01-17,lv,0 1 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,02-01-17,lv,0 1 1 0 0 0
2,Closer                                                                      ,The Chainsmokers ,02-01-17,lv,0 1 1 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02-01-17,lv,0 1 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02-01-17,lv,0 1 1 0 0 0
5,I Feel It Coming                                                            ,The Weeknd       ,02-01-17,lv,0 1 1 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,02-01-17,lv,0 1 1 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02-01-17,lv,0 1 1 0 0 0
8,Fake Love                                                                   ,Drake            ,02-01-17,lv,0 1 1 0 0 0
9,Black Beatles                                                               ,Rae Sremmurd     ,02-01-17,lv,0 1 1 0 0 0
10,Say You Won't Let Go                                                        ,James Arthur     ,02-01-17,lv,0 1 1 0 0 0
1,Starboy                                                                     ,The Weeknd       ,03-01-17,lv,0 0 1 0 0 0
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03-01-17,lv,0 0 1 0 0 0
3,Closer                                                                      ,The Chainsmokers ,03-01-17,lv,0 0 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03-01-17,lv,0 0 1 0 0 0
5,Say You Won't Let Go                                                        ,James Arthur     ,03-01-17,lv,0 0 1 0 0 0
6,I Feel It Coming                                                            ,The Weeknd       ,03-01-17,lv,0 0 1 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03-01-17,lv,0 0 1 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,03-01-17,lv,0 0 1 0 0 0
9,Don't Wanna Know                                                            ,Maroon 5         ,03-01-17,lv,0 0 1 0 0 0
10,All We Know                                                                 ,The Chainsmokers ,03-01-17,lv,0 0 1 0 0 0
1,Starboy                                                                     ,The Weeknd       ,04-01-17,lv,0 0 1 0 0 0
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04-01-17,lv,0 0 1 0 0 0
3,Closer                                                                      ,The Chainsmokers ,04-01-17,lv,0 0 1 0 0 0
4,I Feel It Coming                                                            ,The Weeknd       ,04-01-17,lv,0 0 1 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04-01-17,lv,0 0 1 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,04-01-17,lv,0 0 1 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,04-01-17,lv,0 0 1 0 0 0
8,All We Know                                                                 ,The Chainsmokers ,04-01-17,lv,0 0 1 0 0 0
9,Fake Love                                                                   ,Drake            ,04-01-17,lv,0 0 1 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04-01-17,lv,0 0 1 0 0 0
1,Starboy                                                                     ,The Weeknd       ,05-01-17,lv,0 0 1 0 0 0
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05-01-17,lv,0 0 1 0 0 0
3,I Feel It Coming                                                            ,The Weeknd       ,05-01-17,lv,0 0 1 0 0 0
4,Closer                                                                      ,The Chainsmokers ,05-01-17,lv,0 0 1 0 0 0
