Position,TrackName,Artist,Date,Country,Indicators
1,Chantaje                                                                    ,Shakira          ,01-01-17,mx,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,01-01-17,mx,0 0 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,01-01-17,mx,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,01-01-17,mx,0 0 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01-01-17,mx,0 0 0 0 0 0
6,La Bicicleta                                                                ,Carlos Vives     ,01-01-17,mx,0 0 0 0 0 0
7,Traicionera                                                                 ,Sebastian Yatra  ,01-01-17,mx,0 0 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,01-01-17,mx,0 0 0 0 0 0
9,Shaky Shaky                                                                 ,Daddy Yankee     ,01-01-17,mx,0 0 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,01-01-17,mx,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,02-01-17,mx,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,02-01-17,mx,0 0 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,02-01-17,mx,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,02-01-17,mx,0 0 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,02-01-17,mx,0 0 0 0 0 0
6,Closer                                                                      ,The Chainsmokers ,02-01-17,mx,0 0 0 0 0 0
7,Traicionera                                                                 ,Sebastian Yatra  ,02-01-17,mx,0 0 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,02-01-17,mx,0 0 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,02-01-17,mx,0 0 0 0 0 0
10,La Bicicleta                                                                ,Carlos Vives     ,02-01-17,mx,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,03-01-17,mx,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,03-01-17,mx,0 0 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,03-01-17,mx,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,03-01-17,mx,0 0 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,03-01-17,mx,0 0 0 0 0 0
6,Closer                                                                      ,The Chainsmokers ,03-01-17,mx,0 0 0 0 0 0
7,Traicionera                                                                 ,Sebastian Yatra  ,03-01-17,mx,0 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,03-01-17,mx,0 0 0 0 0 0
9,Let Me Love You                                                             ,DJ Snake         ,03-01-17,mx,0 0 0 0 0 0
10,La Bicicleta                                                                ,Carlos Vives     ,03-01-17,mx,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,04-01-17,mx,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,04-01-17,mx,0 0 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,04-01-17,mx,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,04-01-17,mx,0 0 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,04-01-17,mx,0 0 0 0 0 0
6,Traicionera                                                                 ,Sebastian Yatra  ,04-01-17,mx,0 0 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,04-01-17,mx,0 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,04-01-17,mx,0 0 0 0 0 0
9,Let Me Love You                                                             ,DJ Snake         ,04-01-17,mx,0 0 0 0 0 0
10,La Bicicleta                                                                ,Carlos Vives     ,04-01-17,mx,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,05-01-17,mx,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,05-01-17,mx,0 0 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,05-01-17,mx,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,05-01-17,mx,0 0 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,05-01-17,mx,0 0 0 0 0 0
6,Traicionera                                                                 ,Sebastian Yatra  ,05-01-17,mx,0 0 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,05-01-17,mx,0 0 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,05-01-17,mx,0 0 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,05-01-17,mx,0 0 0 0 0 0
10,La Bicicleta                                                                ,Carlos Vives     ,05-01-17,mx,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,06-01-17,mx,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,06-01-17,mx,0 0 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,06-01-17,mx,0 0 0 0 0 0
4,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,06-01-17,mx,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,06-01-17,mx,0 0 0 0 0 0
6,Traicionera                                                                 ,Sebastian Yatra  ,06-01-17,mx,0 0 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,06-01-17,mx,0 0 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,06-01-17,mx,0 0 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,06-01-17,mx,0 0 0 0 0 0
10,Ay Mi Dios                                                                  ,IAmChino         ,06-01-17,mx,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,07-01-17,mx,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,07-01-17,mx,0 0 0 0 0 0
3,Vente Pa' Ca                                                                ,Ricky Martin     ,07-01-17,mx,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,07-01-17,mx,0 0 0 0 0 0
5,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,07-01-17,mx,0 0 0 0 0 0
6,Traicionera                                                                 ,Sebastian Yatra  ,07-01-17,mx,0 0 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,07-01-17,mx,0 0 0 0 0 0
8,Ay Mi Dios                                                                  ,IAmChino         ,07-01-17,mx,0 0 0 0 0 0
9,Let Me Love You                                                             ,DJ Snake         ,07-01-17,mx,0 0 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,07-01-17,mx,0 0 0 0 0 0
