Position,Track Name,Artist,Date,Country
1,Closer                                                                      ,The Chainsmokers ,01/01/2017,my
2,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,my
3,Starboy                                                                     ,The Weeknd       ,01/01/2017,my
4,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,my
5,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,01/01/2017,my
6,Don't Wanna Know                                                            ,Maroon 5         ,01/01/2017,my
7,All We Know                                                                 ,The Chainsmokers ,01/01/2017,my
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,my
9,Starving                                                                    ,Hailee Steinfeld ,01/01/2017,my
10,Cold Water (feat. Justin Bieber & MØ)                                      ,Major Lazer      ,01/01/2017,my
1,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,my
2,Closer                                                                      ,The Chainsmokers ,02/01/2017,my
3,Wanita Terakhir                                                             ,Fattah Amin      ,02/01/2017,my
4,Starboy                                                                     ,The Weeknd       ,02/01/2017,my
5,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,02/01/2017,my
6,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,my
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,my
8,All We Know                                                                 ,The Chainsmokers ,02/01/2017,my
9,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,my
10,Starving                                                                    ,Hailee Steinfeld ,02/01/2017,my
1,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,my
2,Closer                                                                      ,The Chainsmokers ,03/01/2017,my
3,Starboy                                                                     ,The Weeknd       ,03/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,my
5,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,03/01/2017,my
6,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,my
7,Don't Wanna Know                                                            ,Maroon 5         ,03/01/2017,my
8,All We Know                                                                 ,The Chainsmokers ,03/01/2017,my
9,Wanita Terakhir                                                             ,Fattah Amin      ,03/01/2017,my
10,Starving                                                                    ,Hailee Steinfeld ,03/01/2017,my
1,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,my
2,Closer                                                                      ,The Chainsmokers ,04/01/2017,my
3,Starboy                                                                     ,The Weeknd       ,04/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,my
5,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,my
6,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,04/01/2017,my
7,Don't Wanna Know                                                            ,Maroon 5         ,04/01/2017,my
8,All We Know                                                                 ,The Chainsmokers ,04/01/2017,my
9,Starving                                                                    ,Hailee Steinfeld ,04/01/2017,my
10,Wanita Terakhir                                                             ,Fattah Amin      ,04/01/2017,my
1,Say You Won't Let Go                                                        ,James Arthur     ,05/01/2017,my
2,Closer                                                                      ,The Chainsmokers ,05/01/2017,my
3,Starboy                                                                     ,The Weeknd       ,05/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,my
5,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,05/01/2017,my
6,Let Me Love You                                                             ,DJ Snake         ,05/01/2017,my
7,Don't Wanna Know                                                            ,Maroon 5         ,05/01/2017,my
8,All We Know                                                                 ,The Chainsmokers ,05/01/2017,my
9,How Far I'll Go - From "Moana"                                              ,Alessia Cara     ,05/01/2017,my
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,my
2,Say You Won't Let Go                                                        ,James Arthur     ,06/01/2017,my
3,Closer                                                                      ,The Chainsmokers ,06/01/2017,my
4,Starboy                                                                     ,The Weeknd       ,06/01/2017,my
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06/01/2017,my
6,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,my
7,Let Me Love You                                                             ,DJ Snake         ,06/01/2017,my
8,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,06/01/2017,my
9,All We Know                                                                 ,The Chainsmokers ,06/01/2017,my
10,Don't Wanna Know                                                            ,Maroon 5         ,06/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,my
2,Say You Won't Let Go                                                        ,James Arthur     ,07/01/2017,my
3,Closer                                                                      ,The Chainsmokers ,07/01/2017,my
4,Castle on the Hill                                                          ,Ed Sheeran       ,07/01/2017,my
