Position,TrackName,Artist,Date,Country,Indicators
1,Alone                                                                       ,Alan Walker      ,01/01/2017,no,0 1 1 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,no,0 1 1 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,no,0 1 1 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01/01/2017,no,0 1 1 0 0 0
5,I Feel It Coming                                                            ,The Weeknd       ,01/01/2017,no,0 1 1 0 0 0
6,Solo Dance                                                                  ,Martin Jensen    ,01/01/2017,no,0 1 1 0 0 0
7,Make Me (Cry)                                                               ,Noah Cyrus       ,01/01/2017,no,0 1 1 0 0 0
8,Move Your Body - Alan Walker Remix                                          ,Sia              ,01/01/2017,no,0 1 1 0 0 0
9,Starboy                                                                     ,The Weeknd       ,01/01/2017,no,0 1 1 0 0 0
10,All Night                                                                   ,The Vamps        ,01/01/2017,no,0 1 1 0 0 0
1,Alone                                                                       ,Alan Walker      ,02/01/2017,no,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,no,0 0 0 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,no,0 0 0 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02/01/2017,no,0 0 0 0 0 0
5,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,no,0 0 0 0 0 0
6,Solo Dance                                                                  ,Martin Jensen    ,02/01/2017,no,0 0 0 0 0 0
7,Make Me (Cry)                                                               ,Noah Cyrus       ,02/01/2017,no,0 0 0 0 0 0
8,Hear Me Now                                                                 ,Alok             ,02/01/2017,no,0 0 0 0 0 0
9,Move Your Body - Alan Walker Remix                                          ,Sia              ,02/01/2017,no,0 0 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,02/01/2017,no,0 0 0 0 0 0
1,Alone                                                                       ,Alan Walker      ,03/01/2017,no,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,no,0 0 0 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,no,0 0 0 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03/01/2017,no,0 0 0 0 0 0
5,I Feel It Coming                                                            ,The Weeknd       ,03/01/2017,no,0 0 0 0 0 0
6,Make Me (Cry)                                                               ,Noah Cyrus       ,03/01/2017,no,0 0 0 0 0 0
7,Solo Dance                                                                  ,Martin Jensen    ,03/01/2017,no,0 0 0 0 0 0
8,Hear Me Now                                                                 ,Alok             ,03/01/2017,no,0 0 0 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,no,0 0 0 0 0 0
10,Move Your Body - Alan Walker Remix                                          ,Sia              ,03/01/2017,no,0 0 0 0 0 0
1,Alone                                                                       ,Alan Walker      ,04/01/2017,no,0 0 1 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,no,0 0 1 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,no,0 0 1 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04/01/2017,no,0 0 1 0 0 0
5,I Feel It Coming                                                            ,The Weeknd       ,04/01/2017,no,0 0 1 0 0 0
6,Hear Me Now                                                                 ,Alok             ,04/01/2017,no,0 0 1 0 0 0
7,Solo Dance                                                                  ,Martin Jensen    ,04/01/2017,no,0 0 1 0 0 0
8,Make Me (Cry)                                                               ,Noah Cyrus       ,04/01/2017,no,0 0 1 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,no,0 0 1 0 0 0
10,Move Your Body - Alan Walker Remix                                          ,Sia              ,04/01/2017,no,0 0 1 0 0 0
1,Alone                                                                       ,Alan Walker      ,05/01/2017,no,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,no,0 0 0 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,no,0 0 0 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,05/01/2017,no,0 0 0 0 0 0
