Position,Track Name,Artist,Date,Country
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,nz
2,Starboy                                                                     ,The Weeknd       ,01/01/2017,nz
3,Closer                                                                      ,The Chainsmokers ,01/01/2017,nz
4,24K Magic                                                                   ,Bruno Mars       ,01/01/2017,nz
5,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,nz
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,nz
7,Fake Love                                                                   ,Drake            ,01/01/2017,nz
8,Don't Wanna Know                                                            ,Maroon 5         ,01/01/2017,nz
9,Sexual                                                                      ,NEIKED           ,01/01/2017,nz
10,The Mack                                                                    ,Nevada           ,01/01/2017,nz
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,nz
2,Starboy                                                                     ,The Weeknd       ,02/01/2017,nz
3,Closer                                                                      ,The Chainsmokers ,02/01/2017,nz
4,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,nz
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,nz
6,24K Magic                                                                   ,Bruno Mars       ,02/01/2017,nz
7,Sexual                                                                      ,NEIKED           ,02/01/2017,nz
8,Fake Love                                                                   ,Drake            ,02/01/2017,nz
9,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,nz
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02/01/2017,nz
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,nz
2,Starboy                                                                     ,The Weeknd       ,03/01/2017,nz
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,nz
4,Closer                                                                      ,The Chainsmokers ,03/01/2017,nz
5,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,nz
6,24K Magic                                                                   ,Bruno Mars       ,03/01/2017,nz
7,Fake Love                                                                   ,Drake            ,03/01/2017,nz
8,Sexual                                                                      ,NEIKED           ,03/01/2017,nz
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03/01/2017,nz
