Position,TrackName,Artist,Date,Country,Indicators
1,Chantaje                                                                    ,Shakira          ,01-01-17,pa,0 0 0 0 0 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01-01-17,pa,0 0 0 0 0 0
3,Safari                                                                      ,J Balvin         ,01-01-17,pa,0 0 0 0 0 0
4,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,01-01-17,pa,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,01-01-17,pa,0 0 0 0 0 0
6,La Bicicleta                                                                ,Carlos Vives     ,01-01-17,pa,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,01-01-17,pa,0 0 0 0 0 0
8,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,01-01-17,pa,0 0 0 0 0 0
9,Andas En Mi Cabeza                                                          ,Chino & Nacho    ,01-01-17,pa,0 0 0 0 0 0
10,Shaky Shaky                                                                 ,Daddy Yankee     ,01-01-17,pa,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,02-01-17,pa,0 0 0 0 0 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,02-01-17,pa,0 0 0 0 0 0
3,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,02-01-17,pa,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,02-01-17,pa,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,02-01-17,pa,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,02-01-17,pa,0 0 0 0 0 0
7,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,02-01-17,pa,0 0 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,02-01-17,pa,0 0 0 0 0 0
9,One Dance                                                                   ,Drake            ,02-01-17,pa,0 0 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,02-01-17,pa,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,03-01-17,pa,0 0 0 0 0 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,03-01-17,pa,0 0 0 0 0 0
3,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,03-01-17,pa,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,03-01-17,pa,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,03-01-17,pa,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,03-01-17,pa,0 0 0 0 0 0
7,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,03-01-17,pa,0 0 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,03-01-17,pa,0 0 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,03-01-17,pa,0 0 0 0 0 0
10,One Dance                                                                   ,Drake            ,03-01-17,pa,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,04-01-17,pa,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,04-01-17,pa,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,04-01-17,pa,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,04-01-17,pa,0 0 0 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,04-01-17,pa,0 0 0 0 0 0
6,Vente Pa' Ca                                                                ,Ricky Martin     ,04-01-17,pa,0 0 0 0 0 0
7,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,04-01-17,pa,0 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,04-01-17,pa,0 0 0 0 0 0
9,Closer                                                                      ,The Chainsmokers ,04-01-17,pa,0 0 0 0 0 0
10,24K Magic                                                                   ,Bruno Mars       ,04-01-17,pa,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,05-01-17,pa,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,05-01-17,pa,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,05-01-17,pa,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,05-01-17,pa,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,05-01-17,pa,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,05-01-17,pa,0 0 0 0 0 0
7,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,05-01-17,pa,0 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,05-01-17,pa,0 0 0 0 0 0
9,Closer                                                                      ,The Chainsmokers ,05-01-17,pa,0 0 0 0 0 0
10,24K Magic                                                                   ,Bruno Mars       ,05-01-17,pa,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,06-01-17,pa,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,06-01-17,pa,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,06-01-17,pa,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,06-01-17,pa,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,06-01-17,pa,0 0 0 0 0 0
6,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,06-01-17,pa,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,06-01-17,pa,0 0 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,06-01-17,pa,0 0 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,06-01-17,pa,0 0 0 0 0 0
10,Dile Que Tu Me Quieres                                                      ,Ozuna            ,06-01-17,pa,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,07-01-17,pa,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,07-01-17,pa,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,07-01-17,pa,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,07-01-17,pa,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,07-01-17,pa,0 0 0 0 0 0
6,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,07-01-17,pa,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,07-01-17,pa,0 0 0 0 0 0
8,Shape of You                                                                ,Ed Sheeran       ,07-01-17,pa,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,07-01-17,pa,0 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,07-01-17,pa,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,08-01-17,pa,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,08-01-17,pa,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,08-01-17,pa,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,08-01-17,pa,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,08-01-17,pa,0 0 0 0 0 0
6,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,08-01-17,pa,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,08-01-17,pa,0 0 0 0 0 0
8,Shape of You                                                                ,Ed Sheeran       ,08-01-17,pa,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,08-01-17,pa,0 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,08-01-17,pa,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,09-01-17,pa,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,09-01-17,pa,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,09-01-17,pa,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,09-01-17,pa,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,09-01-17,pa,0 0 0 0 0 0
6,Shape of You                                                                ,Ed Sheeran       ,09-01-17,pa,0 0 0 0 0 0
7,Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,09-01-17,pa,0 0 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,09-01-17,pa,0 0 0 0 0 0
9,Closer                                                                      ,The Chainsmokers ,09-01-17,pa,0 0 0 0 0 0
10,Dile Que Tu Me Quieres                                                      ,Ozuna            ,09-01-17,pa,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,10-01-17,pa,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,10-01-17,pa,0 0 0 0 0 0
